round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,300524382.60936177,0.0005565963763194699,243214564.68575796,109801265.04188499,1.0000002431424695,167111077.2244069,ok,347449378.1225114
1,166683890.94282228,0.0005886994645587529,229883131.50284433,591779873.0383387,0.19423027207952312,144358759.35367715,ok,328404473.5754919
2,144711613.39441586,0.0010205716932114013,16498757.376983609,6549345.804869633,1.0000043226922133,134762187.12498644,ok,23569653.39569087
3,134888873.61100483,0.0013160443855575947,12678355.060416665,5006089.987842247,1.0000001961688105,127216608.01541021,ok,18111935.800589874
4,127015417.78068331,0.0013745407144860463,11668870.633158036,4696734.459573356,1.0000000420971045,120043281.51131082,ok,16669815.190225767
5,120203094.20422816,0.00155780661921468,10580063.193520647,5905257.210684559,0.89581730448403,115464192.35858297,ok,15114375.990743779
6,115470847.21395645,0.0014881998253369784,10156820.833796207,5493687.477080384,0.9244083210202959,110776322.3670197,ok,14509744.048280297
7,110724280.13264151,0.001695061131473891,9554145.421783756,7077980.731337917,0.6749202763072358,107500136.8986666,ok,13648779.173973229
8,107445051.91036364,0.001878520409183734,7952715.935192928,2793595.721668184,1.0000000241166351,102285931.63979042,ok,11361022.764558489
9,102289840.05372092,0.001979127093305096,8033363.571780582,6604006.559706083,0.6082189273399294,99846818.1664409,ok,11476233.673969338
10,100021026.5777058,0.002161252705992516,6786932.607456584,2564632.3855903326,1.000000011857231,95798726.3361842,ok,9695618.01065
11,95863361.84291467,0.0021626278943771625,7420899.782175367,6891693.570304357,0.5383944966844803,93865676.04132953,ok,10601285.403104903
12,93880682.91369921,0.0026222238114800393,5584653.959638856,1427806.846576119,1.0000000000002198,89723835.80063587,ok,7978077.085198365
13,89717548.08922827,0.002693761959511728,5725424.9424104225,2896833.444779059,0.9882212856816661,86888554.69039692,ok,8179178.489157746
14,86939485.68058425,0.001711710294040812,7510887.484180206,7187431.188619512,0.5225015229413849,84977260.60602148,ok,10729839.26311458
15,85070452.134868,0.002892872015502203,4707625.447825275,1490395.291855665,1.0000000292840772,81853221.92832962,ok,6725179.211178965
16,81823381.84936278,0.0023823329117392705,5477978.213927955,4037139.4445979325,0.6784479814362121,79965120.21856728,ok,7825683.162754192
17,80090844.04466379,0.00280894450666305,5170162.399766387,4569749.394724228,0.5656943032516548,78628478.33644691,ok,7385946.285380553
18,78617980.26140228,0.00289562644803052,4558714.212699538,2369827.22369434,0.961824171635797,76425639.50072525,ok,6512448.875285053
19,76315608.48145148,0.0022822043087329666,6951411.195486775,12539349.917196542,0.2771838748176876,75352198.93614344,ok,9930587.422123965
20,75333003.87658185,0.003780373955688855,3608726.007682964,269847.238589036,1.000000000001287,71994125.10748397,ok,5155322.86811852
21,71991435.96492764,0.00395740637258735,3497015.925177248,412958.5093011701,1.0000000001286684,68907378.54870789,ok,4995737.035967486
22,68920151.99981026,0.0037276230038143596,3611271.6480981293,1073554.95156935,1.000000000051582,66382435.30320596,ok,5158959.497281821
23,66475247.80924054,0.0028484543444013298,5445048.121524157,10418563.943711666,0.2613147143378923,65763812.212024465,ok,7778640.173605928
24,65878263.797558464,0.004493676446602866,2927373.4965679096,399592.71005283867,1.000000000000117,63350483.01104314,ok,4181962.137954157
25,63331805.62692376,0.0042329003209962005,3228837.2348666196,1487973.5588332058,1.0000000000000604,61590941.95089033,ok,4612624.621237083
26,61570295.998731226,0.0021065655774192516,5272472.136401073,7455255.388018419,0.353607747956873,60638102.49957216,ok,7532103.051999677
27,60622502.12573582,0.0049994260575487144,2518032.3183319396,305755.16635835834,1.0000000001515108,58410224.97347338,ok,3597189.0261884853
28,58444602.17585312,0.003947835264754594,3169926.6148666497,2801656.719981574,0.5657235935185339,57547951.03797691,ok,4528466.592665534
29,57553499.0233306,0.0037852417644048844,3689222.7431204487,5336937.394633089,0.34563106800075927,56915944.02493189,ok,5270318.204457784
30,56837605.70438967,0.005447049964018924,2339520.3275404833,392899.7786440569,1.0000000000025677,54890985.15548925,ok,3342171.8964864053
31,54903381.65371621,0.004413153819319757,3103180.0371038616,3349073.1599121676,0.46328937722955643,54184546.48030569,ok,4433114.338719802
32,54203011.66087044,0.00342077763588945,3147043.0803091847,3926068.1403844175,0.4007881381295951,53572362.89248507,ok,4495775.829013121
33,53586522.70126019,0.004742630984568318,2540065.835017576,1700590.423134575,0.7468188108267882,52638038.2280954,ok,3628665.478596524
34,52654192.001354754,0.002601188225536834,3947827.1370058297,6106066.438404146,0.32327089598763165,52016083.19346268,ok,5639753.052865472
35,52030212.53320618,0.005825777061478302,2056216.7470970084,559237.4262270379,1.0000000000000024,50533233.212336205,ok,2937452.495852869
36,50530720.05710925,0.0030503661284911657,3585047.798574784,6030931.127696103,0.2972217492346261,49997942.968218185,ok,5121496.855106833
37,50009408.13195777,0.0063831543093999955,1942876.5127082309,496256.8762966024,1.0000000000000355,48562788.49554611,ok,2775537.8752974533
38,48569211.611228675,0.0032523775352511007,3302289.6235940326,5519494.686189975,0.2991478216163982,48075275.237606384,ok,4717556.6051343
39,48084989.00130476,0.006552533494781905,1854446.2785047642,698721.2192879095,1.0000000000008424,46929263.94208752,ok,2649208.96929252
40,46916558.279185705,0.0028592971474821743,3695942.726686404,6655175.148644336,0.2776743394529046,46403424.05154149,ok,5279918.1809805725
41,46396483.778299615,0.006847748342757108,1756573.1798498144,408326.51439889584,1.0000000000067366,45048237.11284236,ok,2509390.256928306
42,45046557.64833194,0.003486752180040309,3116680.5492306314,6256203.753764996,0.24908719983384545,44658395.03293971,ok,4452400.784615163
43,44664482.71057977,0.007530752816254778,1644700.080130246,564759.8262036303,1.0000000000042464,43584542.456650965,ok,2349571.543043209
44,43571678.51748703,0.003126322273067144,3363119.2612231197,6549832.370950481,0.2567332315357469,43139966.27950006,ok,4804456.0874616
45,43144047.984768376,0.007791328985166106,1497811.6268139211,241400.88046800843,1.0000000000012697,41887637.23842117,ok,2139730.895448059
46,41877129.7291435,0.005279896642251391,2285450.423123398,3679625.933034416,0.3105547227783958,41522251.01785508,ok,3264929.1758905677
47,41508156.75013822,0.007842807202979037,1640165.0833075468,1305360.5097445992,0.6282421871443215,40992946.300530784,ok,2343092.976153229
48,40979511.392683424,0.003439388748393866,2863382.049596578,5670036.741573176,0.25250119003656757,40618007.70515718,ok,4090545.7851379546
49,40588320.23382734,0.008248730075360937,1388908.135164004,274363.8471784647,1.0000000000177687,39473775.945826866,ok,1984154.4788057199
50,39463810.638678305,0.004217484007514612,2617080.4488040395,6123805.24042542,0.21368090150285635,39184200.583875336,ok,3738686.3554343423
51,39177249.12945874,0.009010465850678506,1468963.8163590878,715517.2011093945,1.0000000000000526,38423802.51420905,ok,2098519.7376558394
52,38416086.90795325,0.0027894256189202127,4138246.062772232,9279357.075272955,0.22298129219531648,37954711.180703685,ok,5911780.08967314
53,37939596.110651985,0.0087552257100463,1415496.9400243498,788277.1558262995,0.8978421672898644,37304149.69044016,ok,2022138.485749071
54,37281046.645220116,0.003741856257953261,3860133.7866386874,13298288.934704756,0.1451364835578521,37000923.52329232,ok,5514476.838055268
55,37012236.95316023,0.009938010493874131,1396483.4720305423,392593.8640886693,1.0000000000000002,36008347.34521835,ok,1994976.3886150606
56,36026038.40766175,0.004613257487217835,2995735.025355652,9353502.652686147,0.1601397431846205,35786170.28885694,ok,4279621.46479279
57,35763923.69800024,0.009572386267955356,1282860.522751526,271946.887637905,1.000000000000022,34753010.062886596,ok,1832657.8896450351
58,34767454.20447556,0.006159889709522504,2282943.176810086,5485129.872237681,0.20810292827932164,34529910.62438082,ok,3261347.39544298
59,34520738.760978356,0.010772876609600928,1161823.0465651206,374518.1575633714,1.0,33733433.87197661,ok,1659747.2093787324
60,33719019.41097717,0.0035552937413087116,2772823.307795749,7441903.2609471,0.18629799465055552,33460733.700095836,ok,3961176.1539939237
61,33479671.81488838,0.010519137072958382,1116714.293464827,673269.9378063959,0.8293213693033974,33016614.30139992,ok,1595306.1335211804
62,33000700.183085516,0.00292825354798153,3227961.0148506085,9148470.77271887,0.17642079725917287,32715960.455204777,ok,4611372.878356803
63,32732206.09623733,0.012340668470030852,948172.1354252263,43128.78751598823,1.0,31827162.748328093,ok,1354531.6220360375
64,31818383.606975812,0.01206857265934034,1206432.4132186486,783259.9927626421,0.7701353473726087,31353825.484157953,ok,1723474.876026641
65,31278224.861082286,0.004428611080743513,3050996.1639006212,11714883.880012788,0.1302187966671203,31079576.336532716,ok,4358565.948428375
66,31073914.0379446,0.010893027862010615,1088520.4925360526,590810.873625724,0.9212089190707967,30572536.644786824,ok,1555029.2750515034
67,30545991.086559035,0.004496630740504271,3009838.9052353185,8970837.93883718,0.16775684310408245,30293530.550061975,ok,4299769.864620397
68,30286371.47979129,0.014271802695887114,886144.9178871906,56239.77076123938,0.9999999999999998,29456466.332665343,ok,1265921.311267214
69,29457459.749766,0.010723198965651498,1118760.288344878,911788.1783643102,0.6134979126137952,29114281.1989586,ok,1598228.9833498253
70,29085189.64900669,0.005346200893963944,2305827.639377708,9722257.942886036,0.1185849857576,28948471.38011915,ok,3294039.484824525
71,28932082.51602519,0.014754174997929876,852043.0415462173,85834.11308533745,1.0000000000000002,28165873.58756431,ok,1217204.3450658112
72,28178887.445328034,0.00918432204965649,1441107.7453314676,5049557.1073043905,0.14269644987744037,28076066.965753194,ok,2058725.350473019
73,28059629.717442065,0.013617643713448445,891625.9490637267,775430.6427032909,0.5749230814218007,27803321.548386388,ok,1273751.355805093
74,27764150.909294277,0.006330702898690569,1826839.809774201,7730834.043202043,0.11815282798500873,27656227.76439407,ok,2609771.156820287
75,27643128.130982958,0.016730196467633192,770060.9480516675,69146.54398263535,1.0,26942213.726913925,ok,1100087.06864504
