round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,281189463.22586536,0.00044179616048361777,158564269.34748638,60566603.48415928,1.0000098311934678,183191429.37637624,ok
1,183947546.10898948,0.00036501949795824843,186083157.21038622,428282643.68173975,0.21724340217329247,163734877.0292235,ok
2,163653705.18921345,0.0007471839756800251,94747976.61440384,69111879.35159612,0.6854680953790013,131180347.65376867,ok
3,131314276.82872397,0.0005697780664825012,124808394.5944126,334539663.9269627,0.1865375141610428,119673552.99168783,ok
4,119447797.62924966,0.0008433422310137418,9971479.914861731,3050785.458889168,1.0004100687739605,112525516.75744842,ok
5,112562839.6253909,0.0011883043567737332,7214222.311649637,1808445.0323541278,1.0000899880071128,107156738.64398006,ok
6,107060214.28833702,0.0013714163316665155,5916859.976091318,1315946.6861526587,1.0000156421201731,102459249.61487797,ok
7,102519776.18259484,0.0015312452644946127,5535662.379778741,1154837.2571167615,1.0000255186846538,98138868.73771785,ok
8,98152762.53672588,0.0015932941496842336,4899675.646854183,1224089.8075466587,1.0000188556144867,94477130.47338948,ok
9,94531485.7488782,0.0016198587975023394,5158585.074385041,2467316.512367415,1.0000254492192677,91840211.48905374,ok
10,91861659.84047541,0.0011840297323467313,5978697.334215237,4873809.895478705,0.6133494599124091,90028144.45001508,ok
11,90002984.21334581,0.0019287332968602338,4124494.307514986,745049.120919918,1.0000103367802484,86623511.79565713,ok
12,86662986.56493297,0.0019139356910572508,3810357.0438327612,701386.9615422601,1.0000019537770672,83554011.77876446,ok
13,83607653.12802643,0.0020837013874096914,3851590.1211557374,1077410.8081934112,1.0000030549582095,80833468.63151728,ok
14,80804691.96740879,0.001712736312610535,4046471.5585979056,2131203.5496681016,0.949339531465231,78883954.26064543,ok
15,78936628.03800887,0.0015057922059396195,5137443.13042277,7180941.679301477,0.3577137484092833,78017761.01829734,ok
16,78026823.22978848,0.002341526733400646,2932051.2478484716,191236.5215191444,1.000000162091532,75286008.09019412,ok
17,75256492.71195269,0.0024345854305117946,2824707.398989596,86454.40003262348,1.000000406589413,72518238.63480249,ok
18,72498806.40475602,0.002410783745509019,2663200.9189675422,47079.19221125819,1.0000000550580592,69882684.53655323,ok
19,69958074.04786071,0.002594708359966994,2464500.1672029886,38929.556052360385,1.000001399948334,67532500.095536,ok
20,67540148.4694035,0.00268303503004267,2398611.775855161,42828.336446901696,1.0000016413748927,65184361.23356893,ok
21,65173919.16434114,0.002819455827982504,2267038.6639380786,34722.50294726339,1.000000053742934,62941602.8852452,ok
22,62986723.34259328,0.0028505323617809943,2196750.3987894324,31343.327941904354,1.0000008058462002,60821314.55201861,ok
23,60845679.97374305,0.002866552600075617,2110414.564871022,30244.985655055483,1.00000081537,58765508.723080084,ok
24,58798673.46228672,0.003105065996289591,2008237.6014581888,30540.14322987449,1.0000061268557305,56820964.074107595,ok
25,56766930.24545142,0.0032077380331220714,1933863.1725384123,28905.58884985502,1.0000007100084634,54861971.32975008,ok
26,54885905.39128595,0.003305290623384901,1813529.9459656111,24968.29226887861,1.0000002307328444,53097343.330670305,ok
27,53110114.3761807,0.003431687101375414,1758004.795817377,23339.432560085355,1.000000047355131,51375448.93188334,ok
28,51370061.79322675,0.003438409883472788,1732274.3932679095,30718.2440776152,1.0000004659177184,49668504.865563475,ok
29,49710760.98784149,0.003650467340711404,1665254.565988414,25110.29640703872,1.000001489586555,48070614.31252728,ok
30,48047582.66324479,0.0038255704532895746,1553755.9268661123,20975.17300232224,1.000000187240998,46514801.626309015,ok
31,46544775.533622496,0.003977054159057246,1504561.121464308,21239.938264602235,1.00000013444312,45061454.15385603,ok
32,45049409.161259755,0.004047425777570888,1482206.9077758552,25871.40692516751,1.000000483750556,43593072.96842127,ok
33,43589605.45922754,0.004076062869136006,1408781.3527453882,21492.794474271446,1.000000490209989,42202316.2314297,ok
34,42249300.489600904,0.004222534165147851,1354954.6087019392,18662.51995524756,1.0000000935584035,40913008.2775789,ok
35,40896782.75621486,0.004402507828600003,1292304.069989813,20170.14601869607,1.0000005297854493,39624648.16897155,ok
36,39600810.46760374,0.004688045934433779,1245732.300180836,16860.442007874713,1.000000000043208,38371938.60937841,ok
37,38374912.26015355,0.004815897535524659,1215831.5911259865,21238.190915599665,1.0000000153527473,37180318.84192893,ok
38,37157356.92898832,0.005061730805345351,1165706.33600903,18012.61759419899,1.0000001033999684,36009663.0937645,ok
39,36028620.09261307,0.0048746713741581,1205046.3915937683,21803.21274061994,1.0000004661849633,34845376.37231408,ok
40,34835814.08636734,0.005239416399612336,1126671.0764150159,19277.163182218825,1.000000050678648,33728420.117990255,ok
41,33739749.63828487,0.005560961249226141,1103414.2317353499,22009.74074559102,1.00000000066989,32658345.14658543,ok
42,32645770.865799464,0.0057891119555770225,1048908.3677624543,23596.266829854474,1.0000002782963011,31620458.486093055,ok
43,31634597.78769643,0.006067414745405723,983222.1837511611,16187.346953234623,1.0000000003030836,30667562.950610317,ok
44,30658003.068338387,0.006179930341366224,969776.0393127464,17764.035557041283,1.0000000019277024,29705991.06278173,ok
45,29691325.182815548,0.006282877473466046,930901.6509733901,15403.448451140075,1.0000001450004143,28775826.849779185,ok
46,28775342.073462896,0.006691973880762362,875500.6249958063,15108.866170954403,1.0000001871969515,27914950.156403664,ok
47,27906420.977326993,0.006702926951204277,849191.54870119,16158.560333712972,1.0000006097429874,27073387.490876067,ok
48,27070026.93636413,0.006990412324800787,820904.4216171876,11863.53444235766,1.0000003420018293,26260985.776553188,ok
49,26262450.793354575,0.00750337412714512,761611.2361243498,11775.90812901745,1.0000000379354137,25512615.43736065,ok
50,25501959.957164332,0.007702800579747675,755372.4654559728,14436.82726336183,1.0000000000019023,24761024.31897034,ok
51,24760336.2491545,0.00802466590394361,715120.4164493111,13511.764632128423,1.0000000000001055,24058727.597337246,ok
52,24046127.190154318,0.008337485900540242,699567.3403643172,17576.912599387993,1.0000000032562,23364136.760225926,ok
53,23366495.347212948,0.008573362212717414,666242.0883420298,13357.002838759146,1.0000000007773409,22713610.261212546,ok
54,22699883.719493262,0.008826540679918357,675624.0097763243,23362.045434220192,1.0000000635972592,22047621.715154845,ok
55,22060695.720807206,0.009478621967153114,659447.6454661591,73124.59648733721,1.000000007355033,21474372.668053795,ok
56,21468833.43019423,0.007125756249867598,847133.198382917,1544507.4533992996,0.2742405666345168,21352674.286024507,ok
57,21334762.776872113,0.008087699629908072,719764.1765188683,1064353.7226451356,0.33812263780602364,21213078.495890696,ok
58,21209425.74081301,0.006218634303514031,933666.79429508,2845421.543380089,0.16406475807903897,21132834.83244678,ok
59,21137561.126885243,0.009624366259694829,592348.7576174869,324540.0528998224,0.9125973085983481,20867273.185908593,ok
60,20851251.51336021,0.0032101332659525365,1543867.4229797274,4054760.6573609924,0.19037713362649386,20704292.986017108,ok
61,20696312.49795288,0.010472628112477187,519836.01836034766,12484.32488176287,1.000000000785048,20188960.8040858,ok
62,20191535.49950833,0.010810559607225103,546933.9819962735,20491.47646656804,1.0000000000244065,19665092.993966274,ok
63,19651819.55776135,0.010660394278805947,580997.1709739473,139219.04451867344,1.00000000308158,19210041.430373717,ok
64,19182598.466420565,0.005991398045732651,1130014.9562683492,4409089.0400576275,0.12814608029027008,19110194.97276298,ok
65,19114786.717447728,0.010789954077811937,524505.0199204067,93318.23973639775,1.0000000068578043,18683599.934946682,ok
66,18674322.84963133,0.0067253206930502065,987381.0512585929,4038794.3337546564,0.12223710464858906,18613975.54918597,ok
67,18611851.88773673,0.012503995339419566,462626.0992676117,20037.03724281855,1.00000000000461,18169262.82570999,ok
