round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,300524382.60936177,0.0006061716540533689,173724689.06125572,61203026.230141036,0.5000002098294274,228962771.02591577,ok,347449378.1225114
1,230500316.64207637,0.0007768767645534223,137331746.55360532,103496902.38249442,0.3317291227858858,196332611.78091556,ok,274663493.10701203
2,196922893.50659832,0.0008997247888688739,112172312.63282466,86854739.71794827,0.3228733198588027,169759808.2745986,ok,224344625.2656493
3,170017641.09941772,0.0010445865277337002,99996855.29820642,137450337.53182393,0.18187815521925166,156377208.42239454,ok,199993710.59641284
4,156061825.80549043,0.0012948481761610783,9366529.500842677,731017.823133123,0.5000000070968897,151561315.4495671,ok,18733059.00168535
5,151376300.3204496,0.0014365096116332077,8265378.308052093,366553.6904385834,0.5000000727677771,147335249.0142533,ok,16530756.616104186
6,147550217.12666976,0.0014925179905168084,7755429.581180943,273192.6201650946,0.5000004346636768,143740797.238864,ok,15510859.162361776
7,143639102.26839638,0.0016305120574427658,7149129.637986803,236203.40485656576,0.5000000016950888,140123588.2888991,ok,14298259.275973607
8,140188281.71669054,0.0017087842389120686,6674943.375948291,163397.12411345768,0.5000000435930375,136891659.02588668,ok,13349886.75189656
9,136595410.01577535,0.0018623272007682189,6189270.217164356,146295.85060488852,0.5000000187833821,133537348.7563369,ok,12378540.434328713
10,133600057.33581588,0.0019456235889587928,5788982.375814782,122653.63993029707,0.5000000005276495,130736229.55490123,ok,11577964.751629561
11,130632506.39660549,0.0020498073329320177,5492768.164864879,113842.32720929936,0.5000000750744982,127914582.49215521,ok,10985536.329729754
12,128055306.26939368,0.00210535670724542,5263689.845106101,101073.27211100138,0.5000002019538052,125448728.62225832,ok,10527379.690212201
13,125413698.99263726,0.0022221192096088557,5049891.617982695,99506.75477622416,0.5000000003018695,122913629.8708456,ok,10099783.23596539
14,122828558.02719963,0.0022998310794343584,4863591.460621217,97075.86496932273,0.5000000001222239,120421031.26254876,ok,9727182.921242435
15,120404217.70853433,0.0024060230042396366,4565272.154489217,84909.20357778722,0.5000000002569778,118142808.93103282,ok,9130544.308978433
16,118088251.14699373,0.0024092269462964834,4519725.209145933,83330.85154126595,0.5000000000001535,115849221.2553054,ok,9039450.418291867
17,115884066.95530754,0.002509129117920374,4307877.381647905,79638.9212992716,0.5000000053407208,113750037.97222656,ok,8615754.76329581
18,113779899.79259086,0.0026052283169223246,4113501.2289258027,72903.56989159631,0.5000000006667653,111741375.06790674,ok,8227002.4578484455
