round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,311807116.80444133,0.0005780929192889722,180592810.64357927,75040679.74864885,0.5000001976179252,240270860.5608237,ok,361185621.2871584
1,240130472.12107694,0.0007240050169155931,147810426.8902396,131770311.8376308,0.2804319592723846,209042396.41078883,ok,295620853.7804792
2,209200545.37074834,0.0008819699578629323,116043547.79790884,65858652.10660748,0.44050228818100273,170862459.12053305,ok,232087095.5958177
3,170865265.05397406,0.0009742394765531182,107402050.2336525,198404711.41994944,0.13533203100999208,159964061.85940602,ok,214804100.467305
4,160057028.72924274,0.0013401498669256284,7372318.139604178,255784.53454961802,0.5000009304938685,156434809.1711874,ok,14744636.279199708
5,156480283.79600075,0.0014488429855302372,6726281.727719016,238371.3766975581,0.5000000673284823,153176735.33949447,ok,13452563.455438029
6,153181852.6205166,0.0015187299971341156,6229064.919913666,161851.74023281963,0.5000011589997969,150107776.06371933,ok,12458129.839827321
7,149956187.49099365,0.0016127950521123893,5774331.550742233,121494.62885134507,0.5000002107733469,147099394.18136802,ok,11548663.101484314
8,146996349.1494801,0.0017261740692679714,5406626.543781597,119654.67493853766,0.5000002598494618,144322948.17250714,ok,10813253.087562978
9,144272103.17099202,0.0018028790884234546,5169642.406887728,110157.46227222262,0.5000000203040099,141714821.2303884,ok,10339284.813775454
10,141464827.57259777,0.0019258423364598369,4750707.166245778,84816.86037772994,0.5000000010266406,139110678.19977912,ok,9501414.332491541
11,139051305.4243061,0.002017575594031815,4561605.496570396,78545.17444343575,0.500000021436772,136790138.8735294,ok,9123210.993136646
12,136765283.91731542,0.001977225674463809,4476645.037976442,77074.2749449109,0.5000000003035797,134546229.9657278,ok,8953290.075952884
13,134581926.11296296,0.00207691680870964,4228478.229261448,68402.84248799727,0.5000000007506756,132484787.70583136,ok,8456956.458522895
14,132355726.28387757,0.002164463409565743,4055694.3231710102,63495.89952424896,0.5000000007651058,130343753.09411867,ok,8111388.6463420205
15,130327771.602849,0.0022485809628912693,3934429.548113947,60182.04768000437,0.5000000019629451,128375602.3331071,ok,7868859.096227893
16,128371755.88743815,0.0022700968845833914,3829016.771988778,62156.41754234594,0.5000000002320981,126472786.60495506,ok,7658033.543977482
