round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,328470237.3701141,0.0005432152319593226,191414604.71894744,65167275.69916418,1.0000018408424578,202222795.91179615,ok,382829209.4378948
1,200511091.67862993,0.0006436385746972193,156905229.08481205,288847255.9969121,0.27160588481839243,179202899.88952345,ok,313810458.169624
2,178744548.65296698,0.0009819963588583865,102478866.63577631,114325155.05215594,0.4481903680297863,155779528.176585,ok,204957733.27155262
3,155484368.24213552,0.0006533912005589179,145771016.82121128,581668507.7906879,0.1253042023668115,146351507.74664503,ok,291542033.64223945
4,146312821.93014282,0.0013493567005588162,7326741.015285937,467995.30889298057,1.0000000060671308,139454076.18497637,ok,14653482.030571867
5,139543611.2580855,0.0016198305351069963,5842678.9359200895,171576.53915385407,1.0000002711909224,133872507.36989777,ok,11685357.871840179
6,133878902.43374278,0.0018641584612030407,5064749.71378157,131695.92641841553,1.0000000214474085,128945848.54340294,ok,10129499.427558
7,128971295.86931674,0.002022525565001058,4569018.571076332,93634.66583370311,1.000000001928858,124495911.95562235,ok,9138037.142152503
8,124384312.17133191,0.002153200463033956,4243377.680119138,77199.63662242136,1.0000001050961402,120218133.69809934,ok,8486755.360238243
9,120301303.67066363,0.0023028967127763944,3979165.6359441523,67927.41343230716,1.000000079073725,116390065.14424689,ok,7958331.271888294
10,116367208.0062134,0.002390431606971879,3698666.751492404,60632.30045915063,1.0000000013048915,112729173.55051202,ok,7397333.502984725
11,112617055.01762214,0.002497990132701228,3552559.867385433,60818.66620308037,1.0000000000240392,109125313.81635731,ok,7105119.734770866
12,109126371.15704483,0.0025862187881618387,3353178.5694762636,52524.86924864787,1.0000000002182432,105825717.45610833,ok,6706357.138952527
13,105801172.82211125,0.0026782183018840425,3190486.0657454813,49086.11520412196,1.0000000003025882,102659772.87063418,ok,6380972.131490962
14,102698216.95452291,0.0027816597519891694,3047739.5434483145,48272.67932600588,1.0000000004619558,99698750.08903728,ok,6095479.086896628
15,99666244.5189622,0.00280233771627527,2955551.3658196507,40603.09508718329,1.0000001139119181,96751295.92080757,ok,5911102.731639262
16,96728823.94646578,0.0030051578966543498,2843972.7604028597,40335.26968724064,1.000000000392455,93925186.45466569,ok,5687945.520805718
17,93871836.90727226,0.002979246323986051,2785498.827108198,38165.854288820854,1.000000006469515,91124503.91692589,ok,5570997.654216317
18,91161694.3947005,0.0031208332268467523,2628638.5436751256,34697.8145109857,1.000000000000047,88567753.66553624,ok,5257277.087350251
19,88587795.70912156,0.0031823522639171987,2512426.1347347856,29502.53260124243,1.0000000006713505,86104872.10534091,ok,5024852.269469571
20,86132785.57380486,0.0033852460927844023,2397282.34459258,29094.303285436516,1.0000000001641298,83764597.53211379,ok,4794564.689185158
21,83721225.73484753,0.0033895397560284256,2345620.3159852624,31909.13728200694,1.0000000000164075,81407514.55610684,ok,4691240.631970525
22,81373322.8257258,0.0035552957000758137,2220336.8353127,24450.09298288402,1.000000001888634,79177436.07929493,ok,4440673.6706254
23,79173814.83382674,0.0037651060701298805,2145293.4386865166,26345.761404014134,1.000000000266036,77054867.15598752,ok,4290586.877373032
24,77073497.26121017,0.0037831290197589853,2102944.8344775434,25541.443398704552,1.000000000037743,74996093.8700539,ok,4205889.668955085
25,74977872.75285786,0.003877090263545795,2021811.4517224832,23029.00574574981,1.0000000000468614,72979090.30678855,ok,4043622.903443245
