round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,318301819.6202389,0.0005446712555038668,185575494.66301155,65017479.67179451,1.000000027836914,197743803.08294478,ok,371150989.32582235
1,197900488.58135808,0.000600081846680926,162891362.3030489,456269419.00247437,0.17850348447543615,183362150.7003356,ok,325782724.6060978
2,183261170.33689708,0.0009914796246531501,9720358.602480501,852812.3284076845,1.0000019358758607,174393608.54729748,ok,19440717.204961002
3,174438334.0441049,0.0012252491033776347,7704553.987835379,383577.7313195559,1.0000000368658624,167117357.5318359,ok,15409107.975670755
4,167063556.74086913,0.0013638459987767837,6375300.3189290445,147805.18261743337,1.0000000007413143,160836061.60005054,ok,12750600.63785139
5,160767801.24712318,0.0014670748240761529,5761049.684021192,108756.63698175907,1.000000006710612,155115508.16288322,ok,11522099.368036712
6,155156686.2496407,0.0016095303034133546,5201230.206640396,81300.09231999773,1.000000055325676,150036755.85655472,ok,10402460.41328079
7,150068543.00102907,0.001737056567835418,4842371.476681821,72799.70699250206,1.000000036311231,145298971.0607942,ok,9684742.95336346
8,145268447.79637763,0.001834659673201451,4463958.050805676,63078.1086838449,1.0000000929592026,140867567.4510172,ok,8927916.101611346
9,140859324.38069463,0.0019126225503925392,4190747.9401960163,60096.17261372664,1.000000002290087,136728672.6037904,ok,8381495.880392032
10,136753541.5586254,0.0019688867371533596,4017976.645460491,53691.28689049533,1.000000005037682,132789256.18035507,ok,8035953.290920982
11,132816906.89371628,0.0020202363661842694,3928394.1533344104,56390.669379497296,1.0000000001649472,128944903.40913199,ok,7856788.30666882
12,128958505.80070907,0.0020474541653733576,3845707.8381452123,50067.451633734745,1.0000000016009098,125162865.40820126,ok,7691415.676290424
13,125104149.52548605,0.002125285170172909,3641904.936814886,51099.44502454276,1.0000000005980092,121513344.03157893,ok,7283809.873627036
14,121463068.83407153,0.0022764562634286834,3473763.4487481713,44645.31821450827,1.0000000051622802,118033950.68606628,ok,6947526.897496339
15,117980009.66468629,0.0023649142036115977,3391232.177819941,45822.32124046698,1.0000000050793891,114634599.79134694,ok,6782464.355639882
16,114639870.82771134,0.002502236737044273,3186663.3560312646,39290.022549147936,1.0000000005935512,111492497.49238442,ok,6373326.712062528
17,111456751.44961286,0.002477542155955847,3154991.923163998,40494.327553833304,0.9999999999999998,108342253.8540027,ok,6309983.846327855
18,108374742.56869996,0.0025833210769964357,3007081.7437596517,34910.25016656045,1.0000000000383296,105402571.07499428,ok,6014163.487519303
19,105395782.84765556,0.0026686068648664654,2909093.7234423244,36866.04261575683,1.0000000023219981,102523555.16024528,ok,5818187.446884649
20,102507320.22711354,0.002774322928839745,2788300.6992151397,36496.630909110434,1.0000000005767398,99755516.1572415,ok,5576601.3984302785
21,99781198.49325919,0.0028334527042655883,2787240.126170624,33448.33757976491,1.0000000006646768,97027406.70286019,ok,5574480.252341248
22,97029074.91185467,0.0029619814442738424,2660407.0163109684,32262.69660785856,1.000000003322739,94400930.58352612,ok,5320814.032621935
23,94388727.22312944,0.0031251407763221244,2566634.6512860395,31344.73435276003,1.0000000014710981,91853437.3025126,ok,5133269.302572079
24,91843488.35361531,0.0032261914859227124,2459746.0431164596,27316.9641188163,1.0000000004884857,89411059.27344282,ok,4919492.086232918
25,89365065.14312333,0.0031357100577345696,2414167.1678443844,33697.219321203345,1.0000000000338924,86984595.19452061,ok,4828334.335688768
