round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,274837204.67872655,0.0004499695235476712,159643833.76014388,51939268.50996056,1.000047394528572,167129996.57526168,ok
1,167634692.90528488,0.0006794778748556413,103153208.21404086,101736865.98795499,0.5069608111687535,141487375.84986013,ok
2,141290168.21851707,0.0005507670599088748,112790675.54578993,336012546.94515765,0.1678369997954259,131824943.92426471,ok
3,131570366.61389644,0.001056439721580658,8236153.500727574,986493.9383342783,1.000022494199509,124320566.1671052,ok
4,124354342.44234271,0.0012696990451041407,6507851.73816741,298145.99972661596,1.0000212708005012,118144510.96042895,ok
5,118228176.36544952,0.001449203655948278,5588655.750680242,147926.89539926167,1.0000032596609503,112787430.25743026,ok
6,112809279.50889103,0.001613682622857501,4939906.523818413,114774.22875985461,1.0000143864340294,107984079.44860065,ok
7,108057321.25311416,0.0017158076840801764,4493918.377544258,103849.96904909032,1.0000003156374508,103667251.49172795,ok
8,103641413.39784166,0.001758438682032892,4224265.108890407,76503.57256250054,1.0000005778227237,99493649.50904842,ok
9,99461287.52076864,0.001932334468551657,3794135.58111347,69762.30849020011,1.0000029940096757,95736903.3062054,ok
10,95741662.27347353,0.001980770945689352,3600149.8095960887,68241.4318150578,1.0000027564351732,92209744.34831962,ok
11,92236422.63766629,0.0020696447474444356,3405507.2937145266,61155.091053957105,1.0000009894803292,88892067.18634683,ok
12,88896376.71984088,0.0020927789211430663,3216252.237016935,54930.66819591768,1.000000769884475,85735052.75945777,ok
13,85788280.71634555,0.0022667278046264922,2995263.6832510578,50536.674645518644,1.0000001558603218,82843553.25665057,ok
14,82864814.53541356,0.0022903025631020443,2884860.251231811,42442.66095264125,1.0000002074270857,80022396.36434375,ok
15,80011893.83946171,0.002370457678081788,2731021.097604408,44924.330652804005,1.0000001546878279,77325796.66395289,ok
16,77294120.8372791,0.0025954751604874947,2567573.5690924483,41751.016046086246,1.0000004110475236,74768297.26316129,ok
17,74784185.6527171,0.0025502756218382205,2501954.062112266,35707.67003167644,1.0000000015624138,72317939.256839,ok
18,72283376.77102199,0.002697959822021893,2332330.8117833193,34464.756051779754,1.0000000095878876,69985510.69358923,ok
19,69943977.66541246,0.002741941799277164,2242153.273400721,32186.773316915052,1.0000006626811824,67734009.72215502,ok
20,67722463.01267621,0.0028849393649322624,2140608.681179472,32559.908898782312,1.0000002444752887,65614413.73298978,ok
21,65625004.78085713,0.002906971408231558,2063292.6185172403,26573.727567112208,1.0000004265768854,63588285.032425545,ok
22,63590211.41190395,0.0030048801723250532,1989240.752024083,27472.631517736358,1.0000002710486935,61628442.767109334,ok
23,61616700.628373496,0.0031447699358679694,1898097.5726480805,27881.473421698076,1.000000185762699,59746484.18691006,ok
24,59732231.66660258,0.003292307291065568,1810932.1981617222,25326.306707752297,1.0000000152492878,57946625.748305604,ok
25,57911977.85670143,0.0035020208430285955,1696211.6072775214,25239.929794492586,1.0000000475575475,56241006.10095144,ok
26,56241127.051031396,0.0034890651175420607,1683258.595461425,23136.235832524846,1.000011192888887,54580986.3688016,ok
27,54584586.58821122,0.0036453152889170367,1633836.202287599,21869.319873552544,1.000000210613937,52972619.370900474,ok
28,52955631.19171505,0.00370229416634004,1570779.0781106395,23592.383857532135,1.00000000474782,51408444.49022819,ok
29,51363810.69954366,0.0038741828726290856,1492666.57408568,20603.7064086013,1.000000108146826,49891747.67489588,ok
30,49907261.45034018,0.0041378216095058346,1425132.401307048,19044.29994520096,1.0000007366527068,48501172.32720877,ok
31,48477535.286780946,0.004356461795084747,1367242.1508715097,21218.20432190362,1.0000002743418719,47131510.97678165,ok
32,47120335.493178144,0.004391833725708835,1326420.8021639055,18480.331536269987,1.0000000048948288,45812395.01623882,ok
33,45796207.016292825,0.004425601405241317,1286284.7512302375,21131.108260280627,1.0000000075997817,44531053.363868564,ok
34,44518597.20474121,0.004725717101967277,1231071.3405803684,23167.089431289824,1.0000000742838961,43310692.86558524,ok
35,43310624.30889711,0.004744364154316953,1244769.3960413425,22184.032287822956,1.0000000981092574,42088038.8273731,ok
36,42088167.16250831,0.005146317483916564,1160763.2853554361,20816.503838516885,1.0000000501345678,40948220.32488427,ok
37,40954058.85503153,0.005164381002564754,1113244.2313986025,19300.752932105806,1.0000000001608422,39860115.376392186,ok
38,39876467.994116575,0.0053372396324152084,1079068.9162832866,15891.109060660929,1.0000000041786907,38813290.18251766,ok
39,38816020.269356176,0.0055893635511190904,1035898.262982364,14953.29773804755,1.0000002126474845,37795075.09019026,ok
40,37789943.23422692,0.005696090917526122,996420.2661738627,16202.527743375158,1.0000000588433025,36809725.4390706,ok
41,36793860.10120877,0.00592959041859432,994869.6598800507,20112.54934764413,1.0000000452990796,35819102.94743184,ok
42,35810126.6828846,0.006011447514162417,973440.6983645011,27101.13770327407,1.0000000152446797,34863787.10820987,ok
43,34838657.51063219,0.0064323011466138995,938015.5692682602,32807.39596815334,1.0000000006161724,33933449.336794525,ok
44,33951324.16609737,0.006702850121777847,897678.2841565409,51069.080282306226,1.0000000147200687,33104714.950512733,ok
45,33093466.612654723,0.006794525221943498,946205.6376124483,319561.60186348547,1.000000000035171,32466822.576894958,ok
46,32474566.38676869,0.0028678873748385694,1885424.0608360502,4209486.752360107,0.22394939950564768,32263446.593649827,ok
47,32252105.570587456,0.007331702739109635,743829.4040561339,19501.049907176268,1.0000000015158794,31527777.215370066,ok
48,31526208.517652962,0.007389482373595141,784280.9060865126,18339.83590414373,1.0000000440026964,30760267.414574124,ok
49,30750065.638858132,0.007781346923476051,752090.0176856834,33384.018645631855,1.0000000004042944,30031359.639541008,ok
50,30023724.46362565,0.008027949637463675,788759.5864788566,166533.945788399,1.0000000091924068,29401498.81874629,ok
51,29437490.464535672,0.003846418003991506,1409331.2852153315,3464691.5697764545,0.2033848117260064,29294172.175484125,ok
52,29297841.786483184,0.008224305532224738,719641.4837440398,302943.0975813378,1.0000000014224906,28881143.400158666,ok
53,28869970.228338316,0.002888522120740956,1672918.645871783,3899637.838435852,0.21449666804735795,28690552.49061142,ok
54,28699893.70178472,0.009071813923410882,613904.9069304115,24778.39009392504,1.000000004608037,28110767.182347693,ok
55,28099859.767515562,0.00853424298903481,635305.4164306802,33866.25535471512,1.0000000236422804,27498420.59302088,ok
