round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,300524382.60936177,0.0006061716540533689,173724689.06125572,61203026.230141036,1.0000004196588548,188002698.24193758,ok,347449378.1225114
1,187704462.94592896,0.0006451735203474292,156049473.30089697,274960593.2819133,0.28376697809366014,165563619.21007752,ok,312098946.60179394
2,165311214.4814586,0.0009983385671043462,101150722.18459806,161005080.51572996,0.31412276513446974,149424342.20747137,ok,202301444.36919612
3,149919611.72878665,0.0008484307872408412,117096396.53165135,474123224.4184043,0.12348730298467316,142689652.6303279,ok,234192793.06329605
4,142768305.0767984,0.0013797425653034783,7164454.996891197,595750.4813537527,1.0000047913022683,136199571.94304645,ok,14328909.993782394
5,136299257.3625178,0.001652062510320993,5713383.397185514,164946.62330452137,1.000000413112266,130750818.36465102,ok,11426766.794371027
6,130665773.71200627,0.001843471581074656,4937481.478448109,115074.01320355567,1.0000000031927636,125843366.23173232,ok,9874962.95689115
7,125825528.7861042,0.0020306558796259295,4515653.707491109,76867.87666811276,1.0000000143452266,121386742.8927085,ok,9031307.414982216
8,121325045.82250349,0.0022006126007828044,4114855.3753137602,73234.79741302828,1.0000000134781968,117283425.19111608,ok,8229710.750627501
9,117213237.30473295,0.0022928163469017066,3901168.8939409386,65306.834018792986,1.0000000002260963,113377375.2439583,ok,7802337.787881876
10,113394890.00242871,0.0024389682148783128,3689830.5110464524,60588.57693913767,1.000000007144678,109765648.04282452,ok,7379661.022092903
11,109720897.77267033,0.0025060404679919436,3473150.2531210966,49503.20726106007,1.0000000075938855,106297250.70118743,ok,6946300.506242192
12,106329082.05464138,0.0027075454447346966,3291039.1200947287,51909.589651985356,1.0000000079585576,103089952.49883297,ok,6582078.2401894545
13,103148782.22435538,0.0026783751432029033,3200841.6069363067,46315.32071391854,1.0000000049288496,99994255.92281309,ok,6401683.213869902
14,99967340.06219597,0.0027668255181897503,3059529.4779434097,47058.30473000482,1.0000000073791764,96954868.86710027,ok,6119058.955886819
15,97025901.55861056,0.0029225204532291847,2864349.730483522,40331.098219787345,1.000000010859074,94201882.89611855,ok,5728699.46096477
16,94206876.99821791,0.0030538590038640093,2783863.0393277025,38270.279500146135,1.0000000228140014,91461284.1766255,ok,5567726.078653063
17,91482416.94563293,0.003216321791567135,2590883.804577645,32774.2359596592,1.0000000006198375,88924307.37544964,ok,5181767.60915529
18,88941795.47163412,0.0032533188224095136,2552890.0210843813,32616.411453516248,1.0000000164922054,86421521.8209763,ok,5105780.042168763
19,86381835.58906923,0.0032454813051232315,2508368.297711146,30724.386047368498,1.0000000001012792,83904191.67715763,ok,5016736.595422292
20,83900988.07875338,0.0033694904912524217,2420189.262084456,29611.243697870137,1.0000000027325462,81510410.05391534,ok,4840378.52416891
21,81460107.20559141,0.003447755598841308,2311496.793087868,28796.318387589174,1.0000000000680187,79177406.73073782,ok,4622993.586175736
22,79121452.92661604,0.0036401481368277945,2211184.297860468,27554.743956912847,1.0000000442543298,76937823.27729684,ok,4422368.595720936
23,76937561.04471311,0.003676948689520203,2137776.4555074526,27281.64646180573,1.0000000018443238,74827066.23182535,ok,4275552.911013256
24,74824810.3106436,0.003994618150466238,1995047.9625751302,25389.954152020426,1.0000000084670082,72855152.28575836,ok,3990095.925150212
25,72843397.97051662,0.0040589186899332675,1964287.9890695948,23396.187515201396,1.0000000000903309,70902506.16878903,ok,3928575.9781376277
26,70922431.19946495,0.0042232428709993945,1859718.100562538,22823.05437044919,1.0000000010283656,69085536.15140733,ok,3719436.201123618
27,69099803.01815778,0.004238295866154224,1849963.7563932282,26391.751795270193,1.0000000000849474,67276231.01340716,ok,3699927.5127864564
28,67300058.98035607,0.004229188943247739,1831213.8642570782,24854.878010999942,1.0000000124811446,65493699.97187478,ok,3662427.7285141563
29,65510412.24748041,0.004568090336712683,1713103.8297419832,20384.680830052275,1.0000000000083997,63817693.09855443,ok,3426207.6594839524
30,63818203.356109194,0.004625124006441295,1667202.9296022765,20144.233215220105,1.000000000423479,62171144.65903317,ok,3334405.85920332
31,62161193.8705197,0.004859602836329581,1568634.4394634115,17961.571400225308,1.0000000000092124,60610521.00244239,ok,3137268.878926823
32,60652519.18100934,0.004961271488195451,1526616.789959398,19204.222770705874,1.0000000005796923,59145106.61295794,ok,3053233.579917636
33,59152171.16795815,0.0050695637367852596,1484452.8097328334,17018.104953886606,1.0000000000318958,57684736.46313294,ok,2968905.619465667
34,57689107.69130297,0.005225071400046358,1430099.7149511233,15703.45362722599,1.0000000013119963,56274711.42814399,ok,2860199.4299022467
35,56296560.748640746,0.005142778232161961,1395919.6762191195,15271.09917297916,1.0000000026242484,54915912.16801152,ok,2791839.3524371376
