round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,311807116.80444133,0.0005780929192889722,180592810.64357927,75040679.74864885,1.0000003952358505,206254973.8503033,ok,361185621.2871584
1,206665396.91306213,0.0004762908073346995,207544441.05641997,377568319.86709684,0.27484355828565693,178144270.57188502,ok,415088882.1125218
2,178580071.47923028,0.0009748888471958017,104339769.17438327,87325599.51494303,0.5974179951465939,147412843.62212107,ok,208679538.3487665
3,147104438.83546153,0.0007724812404061845,132522127.6717439,475799307.87468535,0.1392626318265339,137876748.69805205,ok,265044255.3434878
4,138049306.20869568,0.0012673675763039867,9853652.072011737,1306104.583656319,1.0000000060380334,129501758.67661619,ok,19707304.144012414
5,129606428.16222948,0.0016887204778254644,7173835.314676814,413502.56462445576,1.0000000199936334,122846095.28528093,ok,14347670.629346242
6,122912213.3280724,0.0020124932703633005,5974166.366897175,221491.33105945835,1.000000090613788,117159537.79103318,ok,11948332.733788146
7,117139566.72468826,0.002260704531477611,5219028.370480655,143647.06240454022,1.0000000004683687,112064185.41430227,ok,10438056.74096131
8,112026529.8717785,0.002409219440634785,4804403.729205691,110349.31389968593,1.0000000001239844,107332475.4559042,ok,9608807.45841138
9,107368064.91938555,0.00259687902404315,4407062.395712802,91730.3729162816,1.0000000064505299,103052732.86934456,ok,8814124.791425578
10,103081021.73873693,0.0027625109699042924,4058990.9940808006,77951.3840811249,1.000000032024662,99099982.00374217,ok,8117981.988161591
11,99098270.3223981,0.0028875571358792165,3822032.04045015,70314.6384095219,1.0000000008241063,95346552.9173236,ok,7644064.0809003
12,95370761.30056739,0.003017955882786912,3631355.606442266,66132.18481359362,1.0000000006744183,91805537.87657887,ok,7262711.212881325
13,91817936.51565489,0.0031241274359765986,3478360.6962825987,57456.18347414524,1.000000005071864,88397031.98578748,ok,6956721.392565197
14,88339375.54927053,0.00331026420092614,3226312.9204516625,54157.1441224739,1.0000000008010956,85167219.77044353,ok,6452625.840903299
15,85153756.47239804,0.003449048856989411,3040296.839997313,50363.86349145236,1.000000004889975,82163823.48151776,ok,6080593.679994626
16,82221205.1250437,0.003626112979088102,2886701.6812687768,44481.49597409282,1.000000000017437,79378984.93970023,ok,5773403.362537551
17,79398111.65007803,0.0037425689211598,2752650.4390446786,42702.37450936032,1.000000000011764,76688163.58551133,ok,5505300.878089357
18,76709630.7802765,0.0038177751495169165,2639535.6552081387,42771.27582524248,1.0000000153218487,74112866.3617617,ok,5279071.3104162775
19,74144331.71793659,0.0039862417406099455,2508144.7837361577,40878.098940042946,1.000000005413266,71677065.02000579,ok,5016289.567472314
20,71656815.9108385,0.00407610500589084,2468026.194010854,39057.45091298967,1.0000000153957027,69227847.13094628,ok,4936052.388021708
21,69243819.36315097,0.004409541103378078,2281391.722254727,38107.91434579114,1.0000000015847341,67000535.55174742,ok,4562783.444509452
22,67001373.70282881,0.0044651362137494354,2207167.696162179,36169.51153806864,1.0000000006514205,64830375.51681402,ok,4414335.392324358
23,64829838.60305567,0.004773946663410583,2064096.2919234883,28440.69669433983,1.0000000021942432,62794183.0034222,ok,4128192.5838469714
24,62761544.63194952,0.004682130779177484,2010705.7584488802,30140.71289582826,1.0000000109543636,60780979.56503081,ok,4021411.5168977603
25,60774190.842437,0.004955325435559901,1909809.4929486031,26027.424659577096,1.000000000002718,58890408.77414293,ok,3819618.9858972062
26,58904985.327299535,0.005257067917976653,1779301.4560256572,26424.540666407185,1.0000000000095293,57152108.41192383,ok,3558602.9120513056
27,57119258.88674572,0.005135253913481075,1800008.7936264058,25162.815879867638,1.0000000004911462,55344412.90813983,ok,3600017.5872514644
28,55317821.55068868,0.005672243588224221,1693594.739704548,24536.83944268077,1.0000000002177254,53648763.65006875,ok,3387189.479409084
29,53641095.57219106,0.005749310761994987,1631764.3097353524,24290.95644237754,1.0000000000543137,52033622.21881209,ok,3263528.6194707043
30,52055728.18820477,0.0059001172623575964,1570007.7140536285,21584.16429628562,1.0000000000030087,50507304.63844284,ok,3140015.428107257
31,50510063.141185224,0.006166572264912638,1498144.752736268,20697.088003283636,1.0000000000046707,49032615.47644544,ok,2996289.505472536
32,49040969.04954474,0.006391543175330003,1462082.2947770257,21706.32444256726,1.0000000001241809,47600593.079034105,ok,2924164.589554051
33,47590297.519660056,0.006573930772707626,1374435.0394552555,20392.719368018013,1.0000000003957537,46236255.19904502,ok,2748870.0789095093
34,46217030.942956105,0.006885355713298058,1344222.2329659867,21837.130708389333,1.0000000000009788,44894645.84069724,ok,2688444.4659319734
35,44914190.40297009,0.007210493099919561,1253267.0704706274,20924.471265845394,1.0000000000021974,43681847.803762645,ok,2506534.140940355
36,43680018.81875628,0.007411574472394955,1254747.9586134744,21336.00022473534,1.0000000000888396,42446606.86025986,ok,2509495.917226949
37,42453620.38381805,0.007463190399544434,1207988.397534852,20136.54671198095,1.0000000000013336,41265768.53299362,ok,2415976.7950696996
38,41274696.695610166,0.00788292009060032,1177952.9975615486,18055.849803048295,1.0000000000000226,40114799.54785164,ok,2355905.995122316
39,40136504.211273484,0.008474445086960934,1094489.8905676706,16102.12410929486,1.0000000000000853,39058116.44481502,ok,2188979.781134588
40,39043998.85786936,0.00869547705335988,1055125.1566508194,16946.40650226929,1.000000000124669,38005820.10759349,ok,2110250.3133016382
41,38016847.31548926,0.008957089593753617,1026813.0782627054,17263.708779643635,1.0000000000005642,37007297.94600564,ok,2053626.1565254107
42,37005405.77628988,0.008856250832048954,1008429.3551726054,17140.036520749094,1.00000000004097,36014116.45759811,ok,2016858.7103445472
43,36010092.46137968,0.00943615930474116,970435.2588623012,14505.160111464827,1.0000000000000013,35054162.36262884,ok,1940870.5177246025
44,35046392.051938415,0.009852299647584866,926607.3654335549,16282.149543036194,1.0000000000025526,34136066.836045615,ok,1853214.7308671097
45,34131325.789572306,0.009882532801608153,899445.6080249564,16673.947701965822,1.0000000000074467,33248554.129242867,ok,1798891.2160492837
46,33259017.19880169,0.010731832532160776,850882.1631234381,12537.372351860846,1.0000000000022948,32420672.408028215,ok,1701764.3262468763
47,32427257.146383196,0.010646186625912058,824628.7929814261,19294.369989724473,1.0000000000000486,31621922.72339146,ok,1649257.585962848
48,31607436.360405043,0.011415288232695775,805223.4766140557,16871.400045540213,1.0000000000060554,30819084.283831857,ok,1610446.9532281107
49,30821432.85346056,0.011514947291084208,762795.5147435089,21394.08202190633,1.000000000008392,30080031.420732915,ok,1525591.0294870029
50,30087446.447155852,0.012507980176466937,788611.0328362555,44851.56025213818,1.0000000000000009,29343686.974571735,ok,1577222.0656725108
51,29339763.50010133,0.011950454033917647,746219.0076670203,50536.94222751246,1.000000000027513,28644081.434644073,ok,1492438.0153340406
52,28648129.460150026,0.01255739364503716,847302.1538091444,667752.9655516128,0.6344428235591667,28379347.07471481,ok,1694604.3076182888
53,28444260.172294833,0.00458217783876549,1295482.0665348347,1849142.1805418984,0.350292714147916,28217361.207686614,ok,2590964.1330696694
54,28219337.35222002,0.0136404791402202,659100.0943405174,212040.1401332548,1.0000000000000002,27772277.398012757,ok,1318200.18868058
55,27795299.707451195,0.004588423867223321,1345133.6739506698,2593435.313229642,0.2593343406501926,27620880.030241013,ok,2690267.347901333
56,27624144.748346664,0.015549556594705806,575037.2295278327,20056.893417835723,1.0000000000000606,27069164.412236635,ok,1150074.4590556654
57,27068344.992002785,0.014276021854784033,619952.3127465856,33308.9034667039,1.0000000000027038,26481701.58272141,ok,1239904.6254931712
58,26481651.698138047,0.01451804690685981,697761.0651925376,103314.9151230441,1.0000000000016007,25887205.548067767,ok,1395522.1303850752
59,25886765.33984728,0.012495547152578376,806319.155140542,620592.5572181027,0.6496365012456691,25624858.16243085,ok,1612638.3102802783
60,25635945.8218356,0.006494243793608103,1735324.9274952733,10232427.109352248,0.0847953720534798,25562372.06040528,ok,3470649.8549905466
61,25562850.878488403,0.013958663002801104,753145.4043893181,1555331.6687891448,0.24211729867741202,25471676.113077376,ok,1506290.8087786362
62,25487048.98008048,0.012090560741549381,670517.0200910328,712227.6893642595,0.4707181636602349,25329236.70988039,ok,1341034.0401815444
63,25329806.351692285,0.009078908313863371,1109385.3990613841,4213471.548835502,0.13164742970294774,25256782.48352408,ok,2218770.7981226877
64,25257391.735440075,0.017325919478206008,503104.14699931664,26836.735958776695,1.0000000000000002,24781124.324399535,ok,1006208.2939986333
65,24789330.42796167,0.01698163424921164,593916.3742092873,115625.61443590568,1.0,24311039.66818829,ok,1187832.7484185605
66,24308645.829692017,0.010852510679681193,819864.0157592846,939800.0529465498,0.43619066267807155,24129837.31552204,ok,1639728.0315185692
67,24100229.852877155,0.01319396922797051,889026.6472249925,3329405.911103605,0.13351130366232591,24040882.29954638,ok,1778053.2944499848
68,24032292.779223353,0.016780985111783282,509180.8924078153,290762.2246021934,0.8755967063886164,23809374.223049205,ok,1018361.7848152458
69,23808346.358960252,0.004688704476822677,2189878.073078128,10107686.96437782,0.10832735920670285,23689734.504639644,ok,4379756.146153078
70,23691698.6066343,0.01900420743403858,516616.4094260044,78956.21204211727,1.0000000000000024,23254038.409250412,ok,1033232.8188520008
71,23253112.394642055,0.010748665719145283,711998.7179383979,1592164.2956237285,0.22359461265882527,23173512.855866548,ok,1423997.4358762444
72,23187670.1387081,0.015167082845625967,646930.7460264056,1889246.6277440768,0.1712139475402681,23132288.355301924,ok,1293861.4920528112
73,23147947.04551605,0.013350523803646762,595877.7574113068,1181134.0767364157,0.2522481440285649,23072792.5163286,ok,1191755.5148221618
74,23079682.078483194,0.013496481241170663,720080.5408981207,3086514.92912303,0.11664945050220717,23037683.578776643,ok,1440161.0817954175
75,23049588.87001219,0.017018158691013634,492731.5738451781,719861.2898207469,0.34224063775388835,22965272.485975064,ok,985463.1476903562
76,22976861.628889844,0.008790785201645099,1077905.8249431984,6081506.166768244,0.08862161735799122,22929098.75010681,ok,2155811.6498863967
77,22932286.921737723,0.020203058042267158,442607.1258498636,242978.4336689166,0.9107950840875075,22730724.724534646,ok,885214.251699727
78,22716801.017569702,0.00498563118230149,2030769.2016256782,9101107.91917443,0.11156714213591541,22603517.459488194,ok,4061538.4032513564
79,22611881.596408684,0.01637678277740518,561569.1237990689,2359369.955551015,0.11900828068057646,22578465.90845537,ok,1123138.2475975684
80,22577187.970358934,0.01973985701334765,431829.5096641114,118879.90440921906,1.000000000000105,22264238.365104023,ok,863659.0193282228
81,22248629.013837874,0.007159689902718629,1359416.024968728,7158606.543880845,0.0949497654771062,22184090.897459574,ok,2718832.0499374554
82,22181060.363053344,0.022774328952988924,402549.30619484914,23698.693667520605,1.0000000000000047,21802209.750526015,ok,805098.6123894227
83,21803208.622298054,0.018459507410435155,499180.05104489357,381445.6501290442,0.654326574278694,21639895.23592382,ok,998360.1020893361
84,21647278.796958964,0.007238445069752257,1429616.5732106473,7108492.258900146,0.10055694802373205,21575399.85723586,ok,2859233.1464212947
85,21572275.54893112,0.02018411925102572,512176.2039203535,615358.6243677168,0.4161607424017307,21465701.734299127,ok,1024352.4078407069
86,21445634.977546386,0.011531463875261744,703191.9523694445,1620994.973019382,0.21690133654752444,21369373.340387188,ok,1406383.904738889
87,21374814.260218054,0.019427068446687113,436637.26791227167,640797.8042509708,0.3406981617412511,21300433.50295534,ok,873274.5358245433
88,21295553.765700966,0.012217245249241332,610680.528392656,1969215.192715228,0.15505682940385673,21248208.672445346,ok,1221361.0567848193
89,21244253.15090499,0.022127851042044806,381246.7340603769,121048.40443541316,1.0000000000000013,20984054.82128003,ok,762493.4681204524
90,20980683.08334685,0.0067357004454633536,996343.9984684637,3073625.986550937,0.16207957683011864,20899939.57652235,ok,1992687.9969358682
91,20899346.49640339,0.02400105079228248,346233.799824268,17458.553795584077,1.0000000000000002,20570571.250374705,ok,692467.599648536
92,20571143.57867568,0.0221110677801257,418228.17229189706,313235.76162859274,0.6675932692318112,20431540.422263086,ok,836456.3445834523
93,20455369.250841282,0.00559991575864584,1179509.6775312866,3423174.5890097083,0.17228301491226417,20353764.509159643,ok,2359019.3550625723
94,20349829.72383944,0.024894892332496817,342771.90475306485,96096.23016696367,1.0000000000000002,20103154.049253337,ok,685543.8095061291
95,20087677.509879567,0.011125106219758044,953192.8159450244,4674594.804707287,0.10195459240501073,20039086.317363035,ok,1906385.6318900487
96,20051268.725455973,0.02526972146652143,420198.3446397793,484842.952182353,0.43333448774330086,19960225.50824344,ok,840396.6892795562
97,19958976.625869498,0.011446200297060949,817741.4761345264,2560082.736925733,0.15970997037316628,19893675.89240632,ok,1635482.952268216
98,19887321.34067231,0.025874115175768635,311616.27018025436,15274.104243712958,1.0000000000000102,19590979.174735766,ok,623232.5403602886
99,19593504.615289196,0.02188360699844004,398544.3088947843,470149.6726472066,0.42384833179905895,19509043.445052665,ok,797088.6177895686
100,19508382.51407046,0.010611981140643741,659512.3139933542,2549368.836115255,0.12934815563963734,19465729.163352124,ok,1319024.62798609
101,19466754.312805474,0.02731881598564333,307405.0738364805,47757.9410614879,1.0,19207107.180030484,ok,614810.1476729609
102,19203578.910016317,0.011677042295833209,606687.5879816147,2315779.126707548,0.13098995085169696,19163843.921350293,ok,1213375.175963228
103,19164997.79487083,0.02426781920579651,347553.0686818429,622445.135547313,0.27918369735208964,19116482.2195005,ok,695106.1373636858
104,19115018.66820287,0.014214252236612993,493315.9469923418,1866480.5179928432,0.13215137855358888,19082422.47697412,ok,986631.8939842309
105,19080373.5510425,0.027510575307666995,280823.33996776195,8940.9078407029,1.0000000000000016,18808491.118915442,ok,561646.6799355239
