round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,300524382.60936177,0.0004163215495137825,173724689.0612557,57915732.24257889,1.0000458947540147,184712768.91737348,ok,347449378.1225114,0.015899358654080764
1,184048955.52264822,0.0004892741587178059,143124632.1456094,262241425.7063108,0.27288715305013905,164520518.82386634,ok,286249264.29121876,0.0194861333408598
2,164330660.40599266,0.0006915481549671695,99391450.9267271,154929247.3733555,0.32076400231651897,148390060.60834122,ok,198782901.85345417,0.012732671636789483
3,148819113.30953828,0.0005855692385672885,116363705.87577914,456962350.6996326,0.12732307781770247,141411220.72034922,ok,232727411.75143382,0.013340160484807129
4,141339984.63864696,0.00092708415942828,8940788.185766697,1028870.2982208563,1.00053689937364,133424371.5437448,ok,17881576.37153339,0.010033942322408507
5,133218776.88469878,0.001191533804201852,6773322.580286978,222830.22650388596,1.0000274756204168,126668110.67464118,ok,13546645.160573956,0.009346552814896825
6,126654290.76295643,0.0012845935590732416,5991091.480961481,148226.9739648348,1.0000291412288813,120811260.3073499,ok,11982182.961922962,0.009190466188424118
7,120629279.77648015,0.0014515668723131037,5281717.9522412345,113206.07874313362,1.0000022744200316,115460756.40509388,ok,10563435.904482469,0.008492396864872909
8,115381121.71407379,0.0015570025839522087,4738231.112789038,100953.00087106827,1.0000001363319182,110743842.98370993,ok,9476462.225577945,0.0077370164346382
9,110717654.02886963,0.0016404141136372318,4421000.777571185,94148.47943164041,1.000002605573447,106390790.70211005,ok,8842001.555142364,0.0070928649108497055
10,106378091.91396585,0.0017348914290778003,4169238.1361523313,83030.01665969453,1.000001624127674,102291877.29280108,ok,8338476.272304656,0.006291316446377593
11,102229031.01226184,0.0018214798636557708,3829597.914710803,66870.52055776533,1.0000190957745771,98466233.04288346,ok,7659195.829421601,0.005935660444224666
12,98379408.05640265,0.0019031107951728145,3647842.4081574725,59631.898525576806,1.0000040418967373,94791183.28462136,ok,7295684.816314943,0.004425840548788251
13,94763515.11743432,0.0019190473633970018,3534766.5767312683,61509.71545012219,1.0000000355604812,91290258.1348298,ok,7069533.1534623625,0.004158512601093456
14,91286482.82400095,0.0020312728851831566,3331945.9169729985,57140.3489652072,1.000000410940923,88011675.93372285,ok,6663891.833945983,0.0031458940579058847
15,88100445.00955948,0.0021078825943599265,3141338.4045613706,51342.21485850378,1.0000003316935526,85010447.81195469,ok,6282676.809122741,0.0018509434114535317
16,85019930.68911316,0.0022931037000222454,2968586.6866957853,45425.168934432804,1.0000021618377812,82096762.95015286,ok,5937173.373391479,0.002184593153885306
17,82129339.40225093,0.0023053312277387813,2812230.288562106,44868.52114591473,1.0000000626139791,79361977.4643686,ok,5624460.577124206,0.0010839697823961103
18,79336632.21873006,0.0023716224891681733,2724031.396118746,42151.745213493356,1.0000001337543423,76654752.21474974,ok,5448062.792237492,-0.00044323255981293386
19,76670151.29103935,0.00241807438100706,2589781.2135967603,40862.03555574482,1.0000001149231748,74121231.82476443,ok,5179562.427191532,-0.0013717903311878388
20,74079542.54534133,0.0025942541770535656,2426241.2026165333,39963.41487880617,1.0000032549297224,71693257.12051564,ok,4852482.405232977,-0.0020259604627392847
21,71716056.42631203,0.0026895643813690407,2323027.123630436,34317.17459907467,1.0000008575198427,69427344.54409416,ok,4646054.247260871,-0.0030265112983753895
22,69433513.175776,0.00278530055548706,2223378.32259427,36488.51633507505,1.0000000431023501,67246623.27682947,ok,4446756.645188539,-0.003480812410706413
23,67254367.7195588,0.002802954913662252,2133580.918997339,29330.797226643408,1.0000003391052688,65150116.894172035,ok,4267161.837994657,-0.00426579450403608
24,65105620.494405314,0.0029336469963999437,2067175.8727684806,30718.57799739697,1.0000014076005779,63069160.37635531,ok,4134351.7455369593,-0.004813534753338011
25,63057702.73702494,0.0029862174383083434,2014275.8698356966,36303.978893756095,1.0000013093953066,61079728.30367221,ok,4028551.739669887,-0.004363450445539208
26,61053116.2388645,0.003177559738128927,1904024.73008407,25673.282036988123,1.0000028904291804,59174759.4357826,ok,3808049.4601681316,-0.005590907552750934
27,59189628.65675656,0.0031977282763298496,1855131.2821565743,26410.66424546049,1.0000037172511156,57360901.33920713,ok,3710262.5643131374,-0.005241367380271811
28,57348835.63705871,0.0033314139619004066,1765860.4216486113,24299.372217480897,1.0000005519515855,55607273.63978229,ok,3531720.8432972226,-0.005917446908938473
29,55625819.8737616,0.003430063825248756,1752435.830991609,27653.44657293635,1.000000704596796,53901036.293551326,ok,3504871.661983218,-0.0069560562837764905
30,53909543.5827429,0.0036684569053710716,1672111.6163901484,24752.815468840923,1.0000027224433394,52262180.364368916,ok,3344223.232780288,-0.007463710558881953
31,52256874.3573798,0.003664576115290243,1630433.8754953824,26698.226282398093,1.0000000038685157,50653138.70206602,ok,3260867.7509907647,-0.007429186651187969
32,50626092.02169859,0.0038703577533957716,1557768.2392754103,23282.43935310938,1.0000001250651964,49091606.03277735,ok,3115536.4785508187,-0.009187688866729271
33,49086594.35868254,0.0040513188349251186,1459566.1444008523,19225.404838449012,1.0000000243377831,47646253.58453334,ok,2919132.288801704,-0.009523668837880361
34,47645293.64039384,0.004073041448099374,1430157.9428826454,21516.500444094916,1.0000008757342564,46236650.98320247,ok,2860315.8857652876,-0.010035673703502557
35,46253337.00892235,0.004368194572229008,1344613.3521424474,20973.33634412493,1.000000588791564,44929696.22612488,ok,2689226.704284879,-0.010727018906979247
36,44943326.26009973,0.004647876304638581,1307895.8841688954,21509.014065111784,1.0000009442779694,43656938.195599675,ok,2615791.768337788,-0.010996903686469217
37,43669021.59871878,0.004683056924601368,1273299.5692658701,20995.102518599608,1.0000000523182093,42416717.067551605,ok,2546599.1385317217,-0.012126843215709115
38,42405924.55994308,0.004784384072513448,1245568.3631312037,18094.624432721957,1.0000003110236457,41178450.4450991,ok,2491136.7262624074,-0.012795571739832923
39,41159965.09110584,0.004839348707501811,1208386.6644255223,18264.50503065294,1.0000000581238544,39969842.863598086,ok,2416773.3288510446,-0.012538975804792685
40,39981037.56257561,0.00502906381549939,1163879.7234979197,20353.987958338214,1.000000594293409,38837511.15954246,ok,2327759.4469958395,-0.01299206051241164
41,38825932.19751179,0.00535577725710137,1135350.5762996455,20400.32115633198,1.0000003019910388,37710981.611824214,ok,2270701.152599291,-0.012870752570824706
42,37726185.88183204,0.00548308047251112,1060091.34785954,24047.819542090037,1.0000000708337902,36690142.2818311,ok,2120182.69571908,-0.013848693733644168
43,36684542.8133983,0.005670581596399118,1055523.376924375,35832.668436275875,1.0000017792415299,35664850.35438923,ok,2111046.75384875,-0.013906895314352852
