round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,300524382.60936177,0.0004163215495137825,173724689.0612557,57915732.24257888,1.0000458947540147,184712768.91737345,ok
1,184048955.52264822,0.0004892741587178059,143124632.1456094,262241425.70631078,0.27288715305013905,164520518.82386634,ok
2,164330660.40599266,0.0006915481549671695,99391450.9267271,154929247.3733555,0.32076400231651897,148390060.60834122,ok
3,148819113.30953828,0.0005855692385672885,116363705.87577914,456962350.69963264,0.12732307781770247,141411220.72034922,ok
4,141339984.63864696,0.00092708415942828,8940788.185766697,1028870.2982208566,1.00053689937364,133424371.5437448,ok
5,133218776.88469878,0.001191533804201852,6773322.580286978,222830.22650388596,1.0000274756204168,126668110.67464118,ok
6,126654290.76295643,0.0012845935590732416,5991091.480961481,148226.9739648348,1.0000291412288813,120811260.3073499,ok
7,120629279.77648015,0.0014515668723131037,5281717.9522412345,113206.07874313362,1.0000022744200316,115460756.40509388,ok
8,115381121.71407379,0.0015570025839522087,4738231.112789038,100953.00087106827,1.0000001363319182,110743842.98370993,ok
9,110717654.02886963,0.0016404141136372318,4421000.777571185,94148.47943164041,1.000002605573447,106390790.70211005,ok
10,106378091.91396585,0.0017348914290778003,4169238.1361523313,83030.01665969453,1.000001624127674,102291877.29280108,ok
11,102229031.01226184,0.0018214798636557708,3829597.914710803,66870.52055776533,1.0000190957745771,98466233.04288346,ok
12,98379408.05640265,0.0019031107951728145,3647842.4081574725,59631.89852557682,1.0000040418967373,94791183.28462136,ok
13,94763515.11743432,0.0019190473633970018,3534766.5767312683,61509.71545012219,1.0000000355604812,91290258.1348298,ok
14,91286482.82400095,0.0020312728851831566,3331945.9169729985,57140.34896520722,1.000000410940923,88011675.93372285,ok
15,88100445.00955948,0.0021078825943599265,3141338.4045613706,51342.21485850379,1.0000003316935526,85010447.81195469,ok
16,85019930.68911316,0.0022931037000222454,2968586.6866957853,45425.168934432804,1.0000021618377812,82096762.95015286,ok
17,82129339.40225093,0.0023053312277387813,2812230.288562106,44868.52114591474,1.0000000626139791,79361977.4643686,ok
18,79336632.21873006,0.0023716224891681733,2724031.396118746,42151.745213493356,1.0000001337543423,76654752.21474974,ok
19,76670151.29103935,0.00241807438100706,2589781.2135967603,40862.03555574482,1.0000001149231748,74121231.82476443,ok
20,74079542.54534133,0.0025942541770535656,2426241.2026165333,39963.41487880617,1.0000032549297224,71693257.12051564,ok
21,71716056.42631203,0.0026895643813690407,2323027.123630436,34317.17459907467,1.0000008575198427,69427344.54409416,ok
22,69433513.175776,0.00278530055548706,2223378.32259427,36488.51633507505,1.0000000431023501,67246623.27682947,ok
23,67254367.7195588,0.002802954913662252,2133580.918997339,29330.797226643408,1.0000003391052688,65150116.894172035,ok
24,65105620.494405314,0.0029336469963999437,2067175.8727684806,30718.57799739697,1.0000014076005779,63069160.37635531,ok
25,63057702.73702494,0.0029862174383083434,2014275.8698356966,36303.9788937561,1.0000013093953066,61079728.30367221,ok
26,61053116.2388645,0.003177559738128927,1904024.73008407,25673.282036988123,1.0000028904291804,59174759.4357826,ok
27,59189628.65675656,0.0031977282763298496,1855131.2821565743,26410.66424546049,1.0000037172511156,57360901.33920713,ok
28,57348835.63705871,0.0033314139619004066,1765860.4216486113,24299.372217480897,1.0000005519515855,55607273.63978229,ok
29,55625819.8737616,0.003430063825248756,1752435.830991609,27653.44657293636,1.000000704596796,53901036.293551326,ok
30,53909543.5827429,0.0036684569053710716,1672111.6163901484,24752.815468840923,1.0000027224433394,52262180.364368916,ok
31,52256874.3573798,0.003664576115290243,1630433.8754953824,26698.226282398093,1.0000000038685157,50653138.70206602,ok
32,50626092.02169859,0.0038703577533957716,1557768.2392754103,23282.43935310938,1.0000001250651964,49091606.03277735,ok
