round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,300524382.60936177,0.0006061716540533689,173724689.06125572,61203026.230141036,1.0000004196588548,188002698.24193758,ok,347449378.1225114
1,187704462.94592896,0.0006451735203474292,156049473.30089697,274960593.2819133,0.28376697809366014,165563619.21007752,ok,312098946.60179394
2,165311214.4814586,0.0009983385671043462,101150722.18459806,161005080.51572996,0.31412276513446974,149424342.20747137,ok,202301444.36919612
3,149919611.72878665,0.0008484307872408412,117096396.53165135,474123224.4184043,0.12348730298467316,142689652.6303279,ok,234192793.06329605
4,142768305.0767984,0.0014133645894403872,72547008.83923247,23705511.282139942,1.000000003804017,93926807.42408817,ok,145094017.67846495
5,94228127.89999726,0.0008306106496464995,112483206.99725577,705650281.7164776,0.07970180832610385,89745570.3979969,ok,224966413.99433005
6,89669623.50196034,0.002255684892059859,4465435.501025913,966890.0442746796,1.0000011837962217,86171075.04824635,ok,8930871.002046343
7,86190488.89460658,0.0027987713482332277,3698083.8246034863,660196.028709523,1.0000001193645234,83152600.81490058,ok,7396167.649202568
8,83181164.20071556,0.0030739815008858666,3091339.922143906,318578.8293155455,1.0000000003040699,80408403.10714096,ok,6182679.844287812
9,80445074.8473765,0.0033352126303653603,2796693.687667477,85636.37094011818,1.0000001520755197,77734017.13138689,ok,5593387.375332277
10,77753126.19223312,0.0035937877836202817,2512739.5142520145,43495.78913393611,1.0000000019900623,75283882.46228765,ok,5025479.028504001
11,75261778.2870971,0.0038415449249574614,2296165.4703947194,39707.387297822446,1.0000000001022036,73005320.20377365,ok,4592330.940789426
12,73048271.57423493,0.003992247732914056,2202817.306385671,32506.57513135801,1.0000000000281124,70877960.84292053,ok,4405634.612771342
13,70875904.07605883,0.004197084397530219,2027924.7562563783,31658.99476196018,1.0000000033151055,68879638.30805154,ok,4055849.5125127546
14,68875010.73764141,0.0043157821262833325,1955365.038513493,28346.309566651056,1.0000000000180516,66947992.008660294,ok,3910730.077025216
15,66983963.317552395,0.004569148747204593,1822410.2052966454,24837.01904231122,1.0000000003621707,65186390.13065603,ok,3644820.41059329
16,65163848.747300506,0.004614386164061581,1757574.4100850548,20830.95893510686,1.0000000000021259,63427105.29614691,ok,3515148.820170045
17,63451094.91425182,0.004643195779338217,1718003.3086230534,21221.967390591828,1.0000000007560674,61754313.57175252,ok,3436006.6172460886
18,61749548.79758805,0.00482705371133781,1626585.6407510722,22300.46548941318,1.0000000069234014,60145263.61137368,ok,3253171.2815021435
19,60142328.39502965,0.004864156039217471,1566487.9765956334,17866.57010530818,1.000000000360206,58593706.987987936,ok,3132975.95319125
20,58594954.842744194,0.00506723955212415,1514647.6568863697,17467.285242149956,1.000000000000523,57097774.471099205,ok,3029295.313772739
21,57089705.711740434,0.005293753929930443,1462278.9856147794,20587.159280487853,1.0000000000505886,55648013.88533425,ok,2924557.9712295583
22,55657127.072897434,0.005357072935298751,1426276.1090528446,18063.919789321466,1.000000018119845,54248914.85844464,ok,2852552.2181056887
23,54237605.83994027,0.00555409651770048,1376207.1516324058,19318.854836913033,1.0000000000357603,52880717.54309695,ok,2752414.3032648116
24,52895245.41579312,0.005841672409300047,1282458.4356914628,13902.200054272467,1.0000000000140725,51626689.18013827,ok,2564916.871382925
25,51633448.26706064,0.005905032744700306,1274761.2168450444,14966.41940507511,1.0000000034565568,50373653.465317845,ok,2549522.4336900753
26,50372658.195766434,0.0061007146846231205,1221860.7623372131,14279.103148992599,1.0000000004922014,49165076.53599087,ok,2443721.5246744263
27,49160917.63951322,0.006034177616536849,1217125.369685995,12821.41144743807,1.0000000000000289,47956613.68127462,ok,2434250.73937199
28,47955038.97464418,0.006447082561815126,1147022.7628315245,15905.44696600726,1.0000000000031373,46823921.65877516,ok,2294045.5256630476
29,46844087.48106919,0.006662799941453571,1131971.755774116,15990.605813147826,1.0000000000652556,45728106.33103644,ok,2263943.511548232
30,45730962.74717004,0.0067590342723714315,1077995.368741945,11819.91949496945,1.0000000000345761,44664787.2978866,ok,2155990.73748389
31,44664956.97637279,0.006898247543959425,1051985.0707275316,12290.37034498632,1.000000000180992,43625262.275804296,ok,2103970.1414542617
32,43616893.64319811,0.006913748932744798,1058494.1601205878,14973.02437849975,1.0000000214305163,42573372.4854137,ok,2116988.3202411756
33,42582681.35665799,0.00749017668608904,982579.7199593711,13796.267815853602,1.0000000004122915,41613897.904120736,ok,1965159.4399187379
34,41619123.02619111,0.0076207803552418045,944822.02489114,11808.879473895367,1.0000000000168139,40686109.880758375,ok,1889644.0497822799
35,40685982.34547913,0.007850482680883168,918918.5356759115,9872.14312528581,1.0000000000540727,39776935.95287988,ok,1837837.071351823
