round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,300524382.60936177,0.0006061716540533689,173724689.06125572,61203026.230141036,1.0000004196588548,188002698.24193758,ok,347449378.1225114
1,187704462.94592896,0.0006451735203474292,156049473.30089697,274960593.2819133,0.28376697809366014,165563619.21007752,ok,312098946.60179394
2,165311214.4814586,0.0009983385671043462,101150722.18459806,161005080.51572996,0.31412276513446974,149424342.20747137,ok,202301444.36919612
3,149919611.72878665,0.0008484307872408412,117096396.53165135,474123224.4184043,0.12348730298467316,142689652.6303279,ok,234192793.06329605
4,142768305.0767984,0.0013841235956890644,14132388.892737102,1699238.726559765,1.0000008837694254,130335145.42431965,ok,28264777.785474204
5,130322533.94610466,0.0017264608027421674,11147216.026846705,742222.9240331752,1.0000000000573028,119917540.84273742,ok,22294432.053693406
6,119930826.91277277,0.0020184926539433793,9380332.414941782,370867.26516990067,1.0000000062983359,110921361.7085921,ok,18760664.829873644
7,110918597.21659477,0.0023163998276506635,8042211.914187449,272350.0008473469,1.000000000210269,103148735.30167818,ok,16084423.828374898
8,103077876.49256822,0.0025563918354761022,7096952.986586978,251909.83821258775,1.0000000015045973,96232833.33427382,ok,14193905.973173955
9,96181494.10909992,0.00287055579488709,6342687.482238304,210437.88746002753,1.0000000002796638,90049244.51266553,ok,12685374.964476608
10,90088471.76311018,0.0031054305048791157,5745470.741748865,176047.54221092263,1.0000000000534794,84519048.5632838,ok,11490941.483497623
11,84516937.44273752,0.0033788799818014574,5195266.556406697,157457.1742268057,1.0000000001852047,79479128.05965376,ok,10390533.11281332
12,79480588.36763465,0.003554099847344738,4821091.221948978,128263.62135610965,1.00000000052832,74787760.76463024,ok,9642182.443897953
13,74756953.96900123,0.0038870538812331218,4396846.732104741,128012.4601296979,1.0000000036170298,70488119.68204871,ok,8793693.464209337
14,70488882.77156124,0.004033356778099119,4053373.3254635446,109081.47916939261,1.0000000000009306,66544590.92526351,ok,8106746.650927089
15,66565049.1691798,0.004531390286535303,3657938.0226663966,111338.80828464773,1.0000000000529803,63018449.95461605,ok,7315876.0453297375
16,63049820.85542922,0.004759733841709392,3451621.69661685,105040.83026024242,1.00000000023677,59703239.988305114,ok,6903243.393233699
17,59690395.71470565,0.004860395658557986,3212603.0968529433,111692.37755013972,1.0000000000000329,56589484.99540275,ok,6425206.193705887
18,56564875.40243097,0.005183632443250033,3149904.1356706126,173624.75636469078,1.000000000000007,53588596.02312503,ok,6299808.271341223
19,53619041.77179391,0.005125300215500744,3003624.5353365457,540037.5876680899,1.000000004537196,51155454.81539793,ok,6007249.0706730895
20,51139221.081650674,0.003474216825978419,4643779.510254893,14205395.335318854,0.16345125920955791,50759705.27742932,ok,9287559.020509787
21,50771426.71576392,0.00633588308298053,2421974.4710273137,84959.23767180729,1.000000000038522,48434411.482321665,ok,4843948.942052815
22,48412718.913451806,0.006108452669035493,2511647.3016647394,88245.14520328604,1.0000000020058188,45989316.75230645,ok,5023294.603327495
23,45988178.64021801,0.00652215010674913,2354961.278355911,67524.03486493201,1.000000000042976,43700741.39663163,ok,4709922.556711816
24,43695645.16309788,0.0070597874173051545,2227052.5368224196,93188.41960885875,1.0000000000042784,41561781.045875594,ok,4454105.0736448355
25,41566071.73900968,0.0072037490459721494,2202079.40416155,313905.5734978883,1.0000000001504412,39677897.90810918,ok,4404158.808321332
26,39645579.745114684,0.0051258484362939625,2826031.6709630843,6301495.319040388,0.22423500517599698,39328732.131931715,ok,5652063.3419230925
27,39321030.65771358,0.006764175956643912,2219420.867138557,3105066.858360423,0.3573869691666614,38924434.60920763,ok,4438841.734277114
28,38911383.64521822,0.004945917377787178,2643251.7689552596,6592858.841343909,0.2004632461095171,38646446.23027348,ok,5286503.537910519
29,38643553.47080248,0.008527067456312605,1730162.583419638,250361.0901319544,1.0000000000008618,37163751.97751374,ok,3460325.166837875
30,37155173.73467751,0.005341212331841467,2495605.149289614,6114170.038445735,0.2040837213879657,36900517.54168651,ok,4991210.298579228
31,36913198.7991145,0.008154095653472011,1883045.4377125893,1426503.832690327,0.66002116312623,36291773.879105195,ok,3766090.875425178
32,36328461.10197901,0.0029643836142964827,3671014.7468402297,9352947.801908165,0.19624907700710564,35968244.474105574,ok,7342029.493680426
33,35974548.35038026,0.00969978159961815,1550352.6100846939,52949.37840396141,1.0000000000000067,34477145.11869951,ok,3100705.2201681896
34,34477182.71304351,0.00977585150547312,1550862.458998146,73280.6266724379,1.0000000000043732,32999600.880711664,ok,3101724.91799629
35,32999772.196687754,0.01003769414365071,1515605.8877393447,77684.93114743449,1.0000000000000564,31561851.240095768,ok,3031211.7754786895
