round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,247961417.0,0.0004665563439458546,152470418.00000218,49683923.346026376,1.0000408405498684,145172753.6906829,ok
1,145055255.0,0.0006970228878740589,95961538.00000001,107499186.92185512,0.44633611075476215,123639705.17351735,ok
2,123901493.0,0.0005186072705048646,127105653.00000001,569270735.6601864,0.11163901904477391,116806517.7920173,ok
3,116851718.0,0.0010896838643323812,7319985.000000014,324115.2510444088,1.0000064080675712,109855805.49800406,ok
4,109832640.0,0.0012531609966822783,6103273.500002939,214717.51535936107,1.0000000033866034,103944083.99614137,ok
5,103925423.0,0.001441639309323749,5220089.000000001,128732.57834013674,1.0000242789786407,98833946.09097773,ok
6,98757266.0,0.0015952874241795046,4586815.0,98768.58886507076,1.0000037981568728,94269202.91770077,ok
7,94157440.0,0.0016952298099768837,4257822.000000004,90694.72914344573,1.0000009446905322,89990308.8781763,ok
8,89997707.0,0.0017604752837760548,3947102.5,76070.51920750325,1.0000006647558377,86126672.49648474,ok
9,86173386.0,0.001877873245641028,3644390.000000027,65080.97785898612,1.0000005292881862,82594075.11781958,ok
10,82573986.0,0.00197013218038693,3435079.0,68965.93403974817,1.0000012561894078,79207868.79219855,ok
11,79167241.0,0.0020129105836010934,3266263.500000001,52519.73880691186,1.0000000396811233,75953497.113366,ok
12,75928837.0,0.002063606962277198,3109354.0,50627.55691754477,1.0000004712950235,72870109.13921553,ok
13,72840750.0,0.0022063942099518766,2952521.000000015,41481.77992810319,1.0000007754796474,69929708.55464473,ok
14,69935246.0,0.002270887967496843,2826695.000001127,44934.239149268615,1.0000001246673342,67153484.89795527,ok
15,67165402.0,0.0023812435244282937,2633976.0000000014,37764.98615954579,1.0000018119572824,64569186.35036475,ok
16,64584942.0,0.0024373523292670024,2547476.5000000005,37375.36932671339,1.0000000425029516,62074840.76422857,ok
17,62055997.0,0.002558545809171252,2427011.0,35877.295772944046,1.0000001266911607,59664862.997382775,ok
18,59653505.0,0.0025930588842995703,2344351.5,34008.31009255858,1.0000034560077318,57343153.94306202,ok
19,57364457.0,0.002715404350838908,2227260.5,32465.746710578824,1.0000000360290566,55169662.16880391,ok
20,55192709.0,0.002766894451305541,2167796.0000008414,35263.46033941179,1.0000001080955527,53060176.233633116,ok
21,53058361.0,0.0028596483450398294,2042619.0000000002,28461.327466991643,1.0000018588020243,51044199.6364507,ok
