round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,247876382.0,0.0004589118801401448,155826912.00008842,58397272.37489753,1.0000651763071744,150444198.63732022,ok,311653824.0,0.01055401448258575
1,149884669.0,0.0005965368355440232,110487388.5,173766488.86511543,0.31791914891531464,132321640.74110214,ok,220974777.0,0.006913100352277546
2,132412355.0,0.0006990343822810107,97577402.50005333,310495649.92998165,0.15713167402193481,124746104.69922724,ok,195154805.0,0.011955369115099312
3,125223072.0,0.000885913382059864,9168010.5,2380069.098622055,1.0000327152482287,118434986.39653286,ok,18336021.0,0.00915607044549649
4,118273247.0,0.0011171918797192942,7347547.5,718728.2392658289,1.000009801401322,111644369.81216092,ok,14695095.0,0.010977213098557925
5,111614202.0,0.001277783741644003,5806135.0,157428.7863656633,1.0000102907925508,105965439.2767855,ok,11612270.0,0.007777516446220822
6,105983310.0,0.0014025741044394547,5080151.5,118507.77375765539,1.0000122179587976,101021607.10053983,ok,10160303.0,0.00867085207695828
7,100983137.0,0.0015314900451443639,4631178.5,94615.84657161028,1.0000024308818174,96446563.54872444,ok,9262357.0,0.00883992433738312
8,96347206.0,0.0016308707360492647,4203206.500000019,77187.864574075,1.0000030324797073,92221175.08657761,ok,8406413.0,0.008087618857039125
9,92231165.0,0.0017265059994589665,3952665.5000000056,71691.98836864054,1.0000090142830536,88350157.15043257,ok,7905331.0,0.007185600746591803
10,88341888.0,0.0018297173917443759,3663339.0000000047,66308.28800429165,1.0000036103210195,84744844.54096377,ok,7326678.0,0.006578224861781834
11,84740868.0,0.0018606164318465193,3525869.500000001,59870.2326586098,1.0000003773641724,81274867.44730756,ok,7051739.0,0.005865068499586457
12,81224111.0,0.002009304150815592,3324494.0000000023,53796.02333432641,1.0000001221660584,77953412.6303381,ok,6648988.0,0.004254699494214975
13,77955316.0,0.002075281418803519,3142671.500001288,49354.58221409554,1.000000177414948,74861998.54216838,ok,6285343.0,0.003583136838592349
14,74886443.0,0.0020965732239962777,3010786.5,47214.87782337211,1.0000001885821985,71922870.82785042,ok,6021573.0,0.0028395552439737237
15,71994810.0,0.0021911099212980883,2877998.0,41151.3918462874,1.0000008097569302,69157961.12801273,ok,5755996.0,0.0017522083683596534
16,69131126.0,0.0022723010294285135,2726266.0,43092.166977848115,1.000000022919565,66447952.10646833,ok,5452532.0,0.0013375710413372488
17,66459710.0,0.0023879135965423014,2596876.5000000014,36878.050409463365,1.0000046774356468,63899699.74867697,ok,5193753.0,0.0005431165998182053
18,63925075.0,0.00239462100948792,2478020.0,32533.015348624183,1.0000000759055667,61479587.83219199,ok,4956040.0,-0.001939905728848501
19,61429432.0,0.002530618344886812,2412501.5000000023,35087.2913853168,1.0000079439592453,59051999.18403795,ok,4825003.0,-0.003236085093266894
20,58986372.0,0.0026494438367301687,2278265.500000001,32288.365080226813,1.0000003417760477,56740394.10849443,ok,4556531.0,-0.0041581541700743685
21,56741174.0,0.0027294813520330717,2184820.0,30192.826335169324,1.0000017512764638,54586543.10586339,ok,4369640.0,-0.004744790230744034
22,54582072.0,0.002786918664772523,2075085.0000007718,28582.568406529943,1.0000000609409472,52535569.44543181,ok,4150170.0,-0.005309276258283813
23,52541545.0,0.0028646802902082356,1980693.0000000002,27128.37470050047,1.0000024606046563,50587975.63450266,ok,3961386.0,-0.0063080739928400575
24,50608062.0,0.0030039480871983464,1918326.0000000007,26223.859021200667,1.0000020113117536,48715956.10615838,ok,3836652.0,-0.006178674158481279
25,48648657.0,0.0031687587332145392,1808749.0000000002,25039.136137204794,1.0000001044105709,46864946.95251339,ok,3617498.0,-0.006403395184865879
26,46863843.0,0.003199078629119025,1788158.5000000363,24418.85575261116,1.0000001533983558,45100103.08894362,ok,3576317.0,-0.007468337303166539
27,45127835.0,0.003357005410777368,1680825.5000000005,22787.247418921415,1.0000003446528698,43469796.18382497,ok,3361651.0,-0.00701323140842014
28,43482850.0,0.003431291657340365,1615440.0,22161.467753391422,1.0000038346842473,41889565.44301586,ok,3230880.0,-0.008338042492767705
29,41903668.0,0.003533184270939225,1568845.5000005658,20465.35982667409,1.0000003476694688,40355287.32861679,ok,3137691.0,-0.00974638058401922
30,40386180.0,0.0036819033695038167,1494115.0,19303.05924716859,1.0000000114829402,38911368.04253365,ok,2988230.0,-0.009947865398769462
31,38884146.0,0.0037341591136826322,1460901.0,19991.80885681713,1.0000000147554784,37443236.7878905,ok,2921802.0,-0.010549509055570283
32,37426532.0,0.0038103597269285527,1432255.0,20128.793053945978,1.0000000336857946,36014405.74616341,ok,2864510.0,-0.011336261056409391
33,36011945.0,0.004105055417337139,1363951.0000000158,21478.663849433193,1.000000983849639,34669471.36419029,ok,2727902.0,-0.011082485566791256
34,34691408.0,0.004064207774359087,1318337.0000000002,19195.028322578146,1.000000003126314,33392266.024321064,ok,2636674.0,-0.011569021897714471
35,33396145.0,0.004295967299315394,1255157.5000000007,17998.01359304962,1.000000842497978,32158984.486451983,ok,2510315.0,-0.012412834797459915
36,32107876.0,0.00442766566510513,1223507.0,17392.89871961198,1.0000011578677233,30901760.52233772,ok,2447014.0,-0.01201792071358021
37,30889882.0,0.0046310563073630705,1179610.5,17747.61555242534,1.0000000000549265,29728019.115489583,ok,2359221.0,-0.013128836338733407
38,29726750.0,0.0047044170970448095,1125367.0,16015.657091022236,1.000001353513764,28617397.177246153,ok,2250734.0,-0.01291116737160447
39,28634657.0,0.004958529876955177,1057899.0000000002,12806.015074772116,1.0000000103888673,27589564.00435048,ok,2115798.0,-0.01391090905913206
40,27586556.0,0.005009964756871709,1046771.5000000001,12811.341498328458,1.000000185097601,26552595.652486134,ok,2093543.0,-0.014488740462026417
41,26558255.0,0.005166583432390974,1033264.0000000002,16705.61407743095,1.0000001209856655,25541696.493109576,ok,2066528.0,-0.014214852976861092
42,25552854.0,0.005381471897901312,982464.0,13544.919912350793,1.0000003440446283,24583934.591221005,ok,1964928.0,-0.014577847174967573
43,24575378.0,0.005555846011747016,955256.5,15922.859644145155,1.0000001240346204,23636044.24510924,ok,1910513.0,-0.015114934033330307
44,23634183.0,0.005789407980256142,911125.0,13480.413881536886,1.000000435340282,22736538.02896926,ok,1822250.0,-0.0163839819462841
45,22735696.0,0.006118502927291533,877401.5000000002,13558.041403080548,1.0000000077865363,21871852.5347823,ok,1754803.0,-0.01583539393406941
46,21860374.0,0.006182972475119416,858745.5000000165,15134.589063145973,1.0000000000907903,21016763.088987913,ok,1717491.0,-0.016548743157266177
47,21006103.0,0.006627331367877075,848114.0000000005,27993.41867780362,1.000000074850958,20185982.359386325,ok,1696228.0,-0.01659668515324375
48,20177792.0,0.006623830437914257,792827.0,20111.25511017545,1.0000000990990476,19405076.180527788,ok,1585654.0,-0.017815465113223183
49,19410001.0,0.0070604156177371796,803534.5000000001,35850.64955872682,1.0000000227755244,18642317.13289084,ok,1607069.0,-0.018177849179052963
50,18641568.0,0.0069287870345494836,772633.5000000001,69766.44474048092,1.0000000006639338,17938700.944320146,ok,1545267.0,-0.018684822751192876
51,17931366.0,0.006764883224860357,987984.5,1501290.7243678153,0.32904502904193805,17768820.305752255,ok,1975969.0,-0.01826094517655097
52,17785133.0,0.0052384392143500404,842135.0,749583.616259453,0.561735196536441,17548604.565132394,ok,1684270.0,-0.019676721073003556
53,17535088.0,0.006140796008460994,1029372.5000005239,2453561.968569319,0.2097710416910225,17427121.729193397,ok,2058745.0,-0.018368164124942687
54,17432233.0,0.007321487689025216,676121.5,244547.71506196616,1.0000000008370176,17000659.214905422,ok,1352243.0,-0.018913551352200297
55,17012676.0,0.003499846380318702,1895839.5000010685,7160504.661759325,0.132381695812992,16887188.776000302,ok,3791679.0,-0.017269279380613067
56,16889304.0,0.00892320792623606,640444.500000198,64181.276320872465,1.000000000987892,16313040.775814794,ok,1280889.0,-0.018006965458364554
57,16315272.0,0.006847268730209199,720747.5,290068.3713546208,1.0000000708183627,15884592.861396799,ok,1441495.0,-0.019776286131964582
58,15872638.0,0.003308537039644909,2088404.0,8646449.926541777,0.12076655839926174,15746533.318186374,ok,4176808.0,-0.01797374344957614
59,15732032.0,0.009508223037059038,570919.0000001721,42759.50013085239,1.0000000011614638,15203872.499566907,ok,1141838.0,-0.018851382591225097
60,15198313.0,0.007969159463273291,630664.5000002198,130104.00099357715,1.000000010237253,14697752.4972009,ok,1261329.0,-0.018983183372781376
61,14712829.0,0.004722630612021493,1375273.5,5844875.470053731,0.11764780165516146,14631930.0480252,ok,2750547.0,-0.018729586711122792
62,14621719.0,0.009799318132302701,510070.5,10055.683188874142,1.0000000105073,14121704.178040726,ok,1020141.0,-0.019516911780060653
63,14112719.0,0.009391323578962144,558248.000000182,10233.311409495269,1.000000000550406,13564704.311113317,ok,1116496.0,-0.02042297780803093
64,13576825.0,0.00965310555255957,550034.5,10398.251947524506,1.0000000168783019,13037188.743014885,ok,1100069.0,-0.020247053480826338
65,13018813.0,0.010346932460120577,539450.0,23896.10586735334,1.0000000043420911,12503259.10373253,ok,1078900.0,-0.01987643655343163
66,12508170.0,0.009954237397003532,532788.5,64171.89203958273,1.0000000000056646,12039553.392037293,ok,1065577.0,-0.020438369945718016
67,12029651.0,0.010554561363837374,740241.0000003248,1103388.1732482857,0.3354399738675443,11905497.789152104,ok,1480482.0,-0.020141420704374635
68,11924936.0,0.007196464137496864,653780.5,500624.16667521896,0.6529653815375452,11711487.983187847,ok,1307561.0,-0.021663363339438746
69,11712517.0,0.0063312700380033565,1129832.0,5595324.58637616,0.10096214996632942,11655481.86608962,ok,2259664.0,-0.020190502736144644
70,11661827.0,0.012296748097263593,420465.50000000006,22443.27406111381,1.0000000000614844,11263804.774038022,ok,840931.0,-0.020734101334293875
71,11262217.0,0.01164610405140625,532999.0,304532.0707772465,0.8751114433360753,11029000.237906657,ok,1065998.0,-0.020547110884225894
72,11011138.0,0.003738199352220349,1739788.5000009243,6779570.621323148,0.12831111269266307,10899520.900857491,ok,3479577.0,-0.019490012877749763
73,10899107.0,0.011793955083105228,414085.000000134,50640.97417002063,1.0000000028548208,10535662.973276889,ok,828170.0,-0.019880380791643226
74,10536959.0,0.00867396063703506,661081.0000000001,1658419.3816287315,0.19931056261256225,10471078.786978763,ok,1322162.0,-0.019918137301697225
75,10457706.0,0.013287684223772018,433936.0,280463.9725897948,0.773603817975353,10289858.726821523,ok,867872.0,-0.019860830937905583
76,10296972.0,0.004134228409081256,1577480.5,6587062.720129809,0.11974081369980587,10202527.600667212,ok,3154961.0,-0.02026006290654836
77,10208262.0,0.013122947307913907,375294.0,18477.40999244431,1.000000000860127,9851445.40970143,ok,750588.0,-0.020719732844279193
78,9850298.0,0.012747422075451301,426493.5000001289,62640.139234329705,1.0000000001390046,9486444.639192332,ok,852987.0,-0.020589246986003396
79,9475348.0,0.009221851111257933,621640.0000000006,1885139.066111809,0.16487908270930995,9424100.283512292,ok,1243280.0,-0.02148869642528961
80,9410321.0,0.015953612060312757,327257.5,78300.33595014444,1.0000000000152738,9161363.835947538,ok,654515.0,-0.021318708543576648
