age,education,employment,income,marital,children,housing,vehicle,health,region
48,postgraduate,employed,high,single,0,rent,2_plus,fair,rural
75,high_school,retired,middle,married,1,owned,1,fair,rural
75,vocational,unemployed,low,single,0,owned,0,fair,urban
25,bachelor,employed,middle,separated,2_plus,rent,0,good,suburban
63,vocational,employed,high,single,2_plus,owned,0,good,urban
78,postgraduate,retired,low,single,0,rent,0,poor,urban
31,bachelor,retired,high,separated,2_plus,owned,2_plus,good,rural
44,vocational,self_employed,middle,married,1,owned,1,good,urban
47,postgraduate,employed,middle,married,1,rent,0,good,urban
55,bachelor,employed,high,single,2_plus,mortgage,0,good,urban
22,bachelor,student,middle,single,0,owned,1,good,urban
48,bachelor,retired,middle,single,0,mortgage,2_plus,fair,rural
57,high_school,unemployed,low,married,1,mortgage,1,good,urban
85,high_school,retired,low,married,1,rent,0,poor,rural
71,bachelor,retired,high,married,2_plus,owned,0,poor,suburban
24,bachelor,self_employed,middle,married,2_plus,rent,0,good,urban
51,postgraduate,retired,high,married,2_plus,rent,1,fair,urban
36,bachelor,student,middle,married,0,owned,1,good,rural
34,postgraduate,employed,high,married,1,owned,1,good,rural
53,high_school,employed,low,separated,1,rent,1,fair,urban
50,postgraduate,employed,middle,single,2_plus,mortgage,1,fair,urban
35,high_school,unemployed,low,single,0,rent,2_plus,fair,rural
20,high_school,unemployed,low,single,0,rent,1,good,suburban
68,bachelor,employed,low,married,2_plus,owned,1,good,suburban
32,postgraduate,student,middle,single,2_plus,owned,1,good,suburban
54,high_school,employed,high,married,0,owned,0,fair,rural
32,bachelor,employed,high,married,2_plus,owned,2_plus,fair,urban
62,vocational,unemployed,middle,married,2_plus,owned,2_plus,good,suburban
53,postgraduate,employed,low,single,0,mortgage,0,poor,suburban
35,vocational,employed,high,married,2_plus,rent,1,poor,rural
39,vocational,unemployed,low,single,0,owned,0,poor,rural
25,postgraduate,employed,low,married,1,rent,0,good,urban
49,vocational,unemployed,middle,married,2_plus,rent,0,good,suburban
52,high_school,employed,low,single,2_plus,rent,1,fair,urban
60,vocational,employed,low,single,0,mortgage,1,good,suburban
63,high_school,employed,middle,married,1,owned,2_plus,good,rural
50,postgraduate,unemployed,low,single,0,owned,0,good,suburban
27,vocational,self_employed,middle,single,0,mortgage,1,good,urban
33,vocational,employed,middle,separated,1,rent,1,good,urban
26,high_school,self_employed,low,married,1,rent,0,good,rural
41,vocational,employed,middle,single,2_plus,owned,1,good,urban
29,postgraduate,employed,middle,married,0,owned,1,good,rural
52,bachelor,employed,high,married,1,owned,2_plus,fair,suburban
35,postgraduate,employed,low,single,0,owned,2_plus,good,suburban
55,bachelor,employed,middle,single,0,rent,1,good,rural
62,bachelor,employed,high,married,2_plus,mortgage,1,good,rural
25,bachelor,employed,low,married,1,rent,2_plus,good,urban
31,vocational,employed,high,separated,0,mortgage,2_plus,good,suburban
24,bachelor,unemployed,low,married,0,rent,1,fair,rural
60,vocational,retired,low,married,0,rent,2_plus,good,suburban
22,bachelor,self_employed,middle,married,1,rent,1,fair,rural
32,high_school,employed,low,single,0,mortgage,0,good,urban
21,high_school,employed,middle,married,0,mortgage,0,good,suburban
70,bachelor,retired,middle,married,2_plus,rent,2_plus,poor,suburban
59,bachelor,employed,high,married,0,owned,2_plus,good,suburban
39,bachelor,employed,middle,married,2_plus,owned,1,fair,rural
79,vocational,retired,low,single,1,owned,1,fair,rural
57,vocational,employed,middle,married,2_plus,mortgage,2_plus,good,urban
75,bachelor,retired,middle,single,0,mortgage,2_plus,good,suburban
52,bachelor,self_employed,middle,single,2_plus,owned,1,good,rural
79,high_school,retired,middle,separated,0,owned,1,good,suburban
70,postgraduate,retired,middle,married,1,rent,2_plus,poor,rural
53,bachelor,employed,high,married,2_plus,owned,1,good,suburban
73,vocational,retired,low,married,1,mortgage,0,fair,rural
64,bachelor,employed,high,single,2_plus,mortgage,0,fair,suburban
49,bachelor,employed,middle,married,1,owned,0,fair,urban
49,high_school,employed,low,married,2_plus,mortgage,0,good,rural
44,postgraduate,employed,middle,single,0,owned,1,good,urban
39,bachelor,employed,low,married,2_plus,owned,0,good,suburban
41,postgraduate,employed,low,separated,1,rent,0,good,suburban
42,high_school,employed,low,married,0,rent,0,fair,rural
47,high_school,employed,middle,separated,1,owned,1,good,rural
50,bachelor,employed,high,married,2_plus,mortgage,2_plus,fair,urban
29,postgraduate,employed,middle,separated,1,mortgage,1,good,urban
83,high_school,employed,middle,single,0,mortgage,1,poor,suburban
22,high_school,unemployed,low,married,2_plus,rent,2_plus,good,urban
79,high_school,retired,middle,married,2_plus,rent,2_plus,good,urban
19,high_school,student,low,married,2_plus,rent,0,good,rural
28,vocational,employed,low,married,1,rent,0,good,suburban
36,high_school,employed,middle,married,2_plus,owned,0,fair,rural
74,vocational,retired,middle,single,0,rent,1,fair,urban
27,bachelor,employed,high,separated,2_plus,owned,1,good,suburban
53,vocational,employed,high,married,1,owned,2_plus,good,rural
59,bachelor,employed,middle,separated,2_plus,mortgage,2_plus,fair,rural
43,postgraduate,student,middle,separated,2_plus,owned,1,good,rural
49,postgraduate,employed,low,single,1,rent,1,poor,urban
21,high_school,employed,low,married,0,mortgage,0,good,urban
20,postgraduate,student,middle,single,0,mortgage,0,fair,suburban
47,bachelor,unemployed,low,married,2_plus,owned,0,good,urban
44,bachelor,unemployed,middle,single,2_plus,owned,1,good,rural
33,bachelor,employed,high,separated,0,owned,1,good,urban
55,high_school,self_employed,low,married,2_plus,owned,0,poor,suburban
56,vocational,employed,middle,single,0,mortgage,0,good,rural
80,postgraduate,employed,high,married,2_plus,owned,0,poor,urban
64,vocational,employed,middle,separated,1,owned,1,good,urban
58,vocational,employed,middle,single,0,mortgage,1,good,suburban
40,vocational,unemployed,low,married,0,rent,0,good,urban
58,vocational,retired,low,married,2_plus,owned,0,good,urban
74,high_school,retired,middle,single,0,mortgage,1,good,urban
19,vocational,student,middle,single,0,mortgage,2_plus,poor,urban
72,bachelor,retired,middle,married,2_plus,mortgage,1,poor,urban
55,vocational,employed,high,single,2_plus,owned,1,good,rural
41,high_school,employed,low,married,2_plus,owned,0,poor,urban
37,postgraduate,employed,middle,married,2_plus,rent,0,fair,urban
44,bachelor,employed,middle,married,0,owned,1,good,suburban
44,bachelor,employed,middle,separated,1,mortgage,1,good,suburban
21,high_school,employed,low,married,2_plus,mortgage,0,poor,suburban
61,vocational,retired,low,single,0,rent,0,good,urban
68,vocational,self_employed,middle,married,2_plus,mortgage,1,poor,urban
22,bachelor,employed,middle,married,1,rent,1,good,urban
35,vocational,employed,low,married,2_plus,owned,0,good,rural
65,postgraduate,self_employed,low,single,0,owned,0,fair,rural
35,bachelor,employed,high,married,2_plus,mortgage,2_plus,fair,urban
40,bachelor,employed,low,married,2_plus,owned,1,fair,urban
23,high_school,self_employed,middle,separated,1,rent,1,good,urban
58,bachelor,retired,middle,married,1,owned,1,good,suburban
55,bachelor,student,middle,married,2_plus,rent,2_plus,good,suburban
52,bachelor,student,middle,married,0,mortgage,1,good,rural
43,vocational,employed,middle,married,1,mortgage,0,good,urban
44,high_school,employed,middle,single,0,mortgage,1,fair,urban
43,bachelor,employed,middle,married,2_plus,owned,2_plus,good,rural
30,bachelor,employed,low,married,0,owned,1,poor,suburban
35,postgraduate,employed,middle,married,2_plus,owned,1,good,urban
25,postgraduate,employed,low,married,0,owned,0,good,suburban
44,vocational,employed,low,married,0,rent,0,fair,urban
58,bachelor,employed,middle,married,0,owned,1,good,urban
19,bachelor,self_employed,low,married,1,rent,1,fair,suburban
57,vocational,employed,low,separated,1,rent,0,fair,suburban
24,vocational,self_employed,high,married,1,mortgage,0,fair,suburban
42,high_school,unemployed,middle,married,2_plus,rent,1,fair,urban
47,vocational,employed,low,married,2_plus,mortgage,0,fair,suburban
33,bachelor,employed,middle,single,2_plus,rent,1,good,rural
25,vocational,self_employed,middle,single,2_plus,mortgage,0,poor,urban
45,vocational,unemployed,low,single,0,mortgage,2_plus,good,suburban
42,vocational,employed,middle,married,0,mortgage,1,poor,suburban
49,postgraduate,employed,low,separated,1,rent,1,poor,urban
44,vocational,employed,middle,single,2_plus,rent,2_plus,poor,suburban
43,high_school,employed,low,single,2_plus,owned,0,good,rural
58,bachelor,unemployed,low,single,0,rent,2_plus,poor,urban
49,bachelor,self_employed,middle,married,0,owned,1,good,urban
53,high_school,employed,low,single,0,mortgage,2_plus,good,rural
33,bachelor,employed,middle,married,2_plus,mortgage,1,good,urban
37,vocational,employed,middle,married,2_plus,owned,1,fair,urban
20,high_school,employed,low,married,0,rent,0,good,urban
