age,education,employment,income,marital,children,housing,vehicle,health,region
47,postgraduate,employed,high,married,1,owned,1,poor,suburban
53,bachelor,employed,low,single,2_plus,mortgage,1,fair,urban
18,high_school,employed,middle,single,0,rent,1,good,urban
54,postgraduate,employed,high,single,0,owned,2_plus,fair,urban
29,bachelor,employed,low,single,2_plus,owned,0,fair,suburban
47,bachelor,employed,middle,married,2_plus,mortgage,1,poor,urban
41,high_school,employed,middle,single,1,mortgage,0,fair,rural
51,bachelor,self_employed,low,married,2_plus,rent,0,good,urban
72,bachelor,retired,low,separated,2_plus,owned,1,poor,suburban
31,high_school,employed,middle,single,0,rent,2_plus,good,suburban
81,bachelor,retired,middle,married,1,owned,2_plus,fair,suburban
32,high_school,employed,low,married,0,rent,0,good,rural
49,vocational,retired,middle,married,0,owned,0,good,rural
52,high_school,employed,middle,married,0,owned,1,fair,suburban
83,vocational,retired,middle,married,0,owned,2_plus,good,rural
35,bachelor,employed,high,separated,2_plus,mortgage,2_plus,fair,suburban
43,bachelor,employed,middle,single,1,mortgage,0,good,urban
39,vocational,employed,middle,married,2_plus,owned,1,good,suburban
38,bachelor,employed,middle,married,2_plus,mortgage,0,good,urban
44,bachelor,employed,middle,married,1,rent,0,good,suburban
28,vocational,employed,low,single,0,rent,0,good,rural
43,high_school,employed,middle,single,0,rent,1,good,suburban
38,high_school,employed,low,married,0,owned,0,good,urban
37,vocational,employed,middle,single,0,mortgage,1,fair,urban
32,postgraduate,employed,middle,married,0,rent,1,fair,urban
41,postgraduate,unemployed,low,married,0,rent,0,good,urban
60,vocational,employed,middle,married,1,owned,1,fair,rural
60,vocational,employed,middle,single,2_plus,owned,1,good,rural
64,postgraduate,employed,middle,separated,1,mortgage,1,good,suburban
56,bachelor,employed,high,single,2_plus,owned,2_plus,good,rural
70,high_school,retired,middle,married,2_plus,owned,1,poor,suburban
78,high_school,retired,low,separated,2_plus,owned,0,poor,urban
24,high_school,employed,low,single,0,owned,1,good,rural
64,vocational,employed,high,married,2_plus,mortgage,0,good,urban
83,bachelor,employed,middle,separated,2_plus,owned,0,good,suburban
79,postgraduate,retired,low,married,2_plus,owned,0,poor,suburban
55,high_school,unemployed,low,single,0,owned,0,good,rural
40,vocational,unemployed,middle,married,0,owned,2_plus,fair,rural
35,high_school,employed,middle,married,2_plus,owned,1,good,suburban
70,high_school,unemployed,low,separated,2_plus,owned,0,fair,urban
39,bachelor,employed,high,married,2_plus,owned,1,fair,urban
55,bachelor,employed,middle,married,1,owned,1,good,urban
58,vocational,employed,middle,married,1,rent,2_plus,poor,urban
30,vocational,employed,low,married,1,rent,0,good,rural
45,vocational,employed,middle,married,2_plus,owned,0,good,suburban
84,high_school,retired,middle,married,2_plus,owned,1,good,rural
24,high_school,student,middle,single,0,rent,2_plus,good,suburban
61,high_school,self_employed,middle,separated,2_plus,mortgage,1,good,urban
85,bachelor,retired,middle,separated,2_plus,owned,1,poor,suburban
28,high_school,employed,middle,single,0,rent,0,good,urban
63,postgraduate,employed,middle,married,2_plus,mortgage,2_plus,good,urban
48,high_school,employed,middle,single,2_plus,rent,1,good,urban
38,vocational,employed,high,separated,2_plus,owned,2_plus,fair,rural
21,vocational,employed,low,single,0,rent,0,good,suburban
58,vocational,unemployed,middle,married,2_plus,owned,1,good,urban
31,postgraduate,retired,middle,single,0,rent,2_plus,fair,suburban
45,high_school,employed,middle,married,2_plus,rent,1,good,urban
36,postgraduate,employed,high,married,1,mortgage,1,fair,urban
42,high_school,employed,middle,married,2_plus,rent,1,good,urban
36,high_school,employed,middle,single,0,rent,1,good,urban
49,bachelor,employed,middle,married,0,mortgage,1,good,rural
53,bachelor,employed,middle,single,2_plus,owned,1,good,urban
41,postgraduate,self_employed,middle,married,2_plus,rent,1,good,urban
63,high_school,employed,low,married,0,rent,1,fair,suburban
75,postgraduate,retired,middle,separated,1,mortgage,0,fair,urban
60,high_school,retired,low,married,2_plus,owned,1,good,suburban
75,postgraduate,retired,middle,separated,1,rent,2_plus,poor,rural
47,bachelor,unemployed,low,married,0,rent,0,fair,urban
58,high_school,employed,middle,separated,1,owned,1,good,urban
59,vocational,retired,middle,married,2_plus,mortgage,1,poor,suburban
41,high_school,employed,middle,married,2_plus,mortgage,1,poor,rural
41,postgraduate,employed,high,married,1,owned,2_plus,fair,urban
30,bachelor,student,low,single,1,mortgage,1,fair,urban
75,high_school,retired,middle,single,0,owned,2_plus,poor,urban
23,high_school,employed,low,single,0,owned,0,good,urban
22,bachelor,student,low,single,0,rent,0,good,urban
42,high_school,employed,low,single,2_plus,mortgage,1,good,urban
47,bachelor,self_employed,middle,married,2_plus,mortgage,0,poor,suburban
38,vocational,employed,high,married,2_plus,mortgage,1,fair,rural
56,postgraduate,self_employed,middle,separated,2_plus,owned,0,fair,urban
57,vocational,employed,middle,married,2_plus,owned,0,good,urban
48,vocational,employed,middle,single,0,mortgage,0,good,suburban
41,vocational,employed,middle,married,0,rent,1,good,rural
31,vocational,employed,middle,married,1,rent,1,good,suburban
36,postgraduate,employed,middle,married,2_plus,mortgage,0,poor,rural
33,bachelor,employed,low,single,0,rent,0,good,urban
56,high_school,employed,middle,married,2_plus,owned,1,good,suburban
42,bachelor,employed,middle,separated,1,mortgage,1,good,urban
51,vocational,employed,middle,married,2_plus,rent,2_plus,poor,urban
60,vocational,employed,middle,single,1,mortgage,1,good,suburban
31,high_school,employed,middle,single,0,rent,2_plus,good,rural
28,postgraduate,employed,middle,married,0,rent,2_plus,fair,suburban
32,bachelor,employed,high,single,0,rent,2_plus,fair,rural
57,high_school,retired,low,single,0,rent,0,fair,rural
50,vocational,self_employed,middle,single,2_plus,mortgage,0,poor,urban
27,bachelor,employed,middle,single,0,rent,2_plus,good,rural
19,high_school,employed,low,married,1,rent,1,good,suburban
26,postgraduate,employed,middle,single,0,mortgage,1,good,urban
42,postgraduate,employed,middle,single,0,mortgage,0,good,urban
50,bachelor,employed,low,married,2_plus,mortgage,0,good,urban
57,postgraduate,retired,low,married,2_plus,owned,2_plus,fair,rural
45,high_school,employed,middle,married,2_plus,owned,0,poor,suburban
43,postgraduate,employed,middle,single,0,owned,1,good,rural
41,postgraduate,employed,low,single,0,mortgage,0,fair,suburban
27,vocational,employed,middle,married,1,rent,0,fair,urban
24,bachelor,student,low,single,0,rent,0,good,suburban
39,bachelor,employed,middle,married,1,mortgage,2_plus,good,urban
33,bachelor,employed,middle,single,0,mortgage,1,fair,suburban
56,vocational,employed,low,single,0,owned,1,fair,rural
28,high_school,unemployed,low,married,1,rent,0,poor,suburban
22,bachelor,student,low,separated,0,rent,0,good,suburban
34,bachelor,employed,middle,single,0,owned,0,fair,urban
46,bachelor,employed,middle,married,2_plus,owned,2_plus,good,rural
30,vocational,employed,low,married,1,rent,1,good,suburban
26,bachelor,employed,high,single,0,owned,1,good,urban
61,vocational,employed,middle,married,2_plus,rent,2_plus,good,suburban
61,bachelor,retired,middle,married,0,owned,0,poor,rural
73,high_school,retired,middle,single,2_plus,owned,1,poor,rural
40,bachelor,unemployed,low,married,2_plus,owned,1,good,urban
70,postgraduate,employed,middle,single,0,mortgage,1,poor,suburban
49,vocational,employed,low,married,2_plus,rent,0,poor,urban
37,high_school,employed,low,separated,2_plus,rent,0,good,urban
57,postgraduate,employed,high,married,2_plus,owned,1,fair,urban
37,high_school,employed,middle,married,1,rent,0,good,urban
23,high_school,unemployed,low,single,1,rent,1,fair,suburban
59,bachelor,employed,high,married,2_plus,owned,1,good,urban
26,high_school,student,low,single,1,mortgage,0,good,rural
26,vocational,employed,middle,married,2_plus,rent,1,poor,suburban
36,high_school,employed,middle,married,1,owned,0,fair,urban
25,postgraduate,employed,middle,single,0,rent,2_plus,good,rural
33,high_school,student,low,married,1,mortgage,1,good,urban
83,high_school,retired,low,separated,2_plus,owned,2_plus,fair,urban
73,bachelor,retired,middle,married,1,owned,1,fair,urban
51,vocational,employed,middle,married,2_plus,owned,1,poor,urban
54,bachelor,employed,middle,separated,0,mortgage,1,good,rural
56,high_school,self_employed,middle,separated,2_plus,rent,0,good,suburban
30,vocational,employed,middle,single,0,owned,2_plus,fair,rural
42,bachelor,employed,middle,single,2_plus,mortgage,0,good,suburban
31,high_school,unemployed,low,married,1,mortgage,1,fair,rural
59,high_school,employed,middle,single,1,mortgage,1,good,suburban
