round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,445048371.0248319,0.0002003102476423126,314429732.07729876,168238144.97547632,0.9344781236239036,298134518.00325143,ok,449185331.53899825
1,299222764.98326105,0.0002898683726472946,217327220.37494552,128792929.83872987,0.8437078830611093,207542420.4662108,ok,310467457.67849284
2,206843746.03221518,0.0002908269609692276,213764897.0325915,127811607.60899813,0.8362499346950633,117463305.4404144,ok,305378424.33215874
3,117776009.48204249,0.00037537465162824826,170941454.39304212,202194031.40913442,0.4227163710068832,81646133.8542098,ok,244202077.70426273
4,81347967.9689967,0.0004742698172965738,120108089.56786516,102284422.58242944,0.5871279640410146,46088558.922578454,ok,171582985.09688824
5,47062339.037082635,0.0005031649714468376,113618613.98630205,273043289.32681924,0.2080597077965652,35242611.22396226,ok,162312305.69466686
6,35376086.941847526,0.0008046108183775914,66278145.82963104,86426292.86466537,0.38343739869425936,22669327.028251275,ok,94683065.47090149
7,21858743.67585541,0.0006280212808483938,76455764.8407046,338762401.16387546,0.11284570627972276,17544891.284552556,ok,109222521.20100656
8,17492770.579637162,0.001162435479225981,13090226.804319203,7356424.318906948,0.8897139586331129,11669491.824899103,ok,18700324.00616437
9,11659955.777703319,0.001723750329875798,9786269.497688744,15411978.773886427,0.31748906617592454,10106438.995619752,ok,13980384.996698204
10,10067126.543367114,0.0028994919216317394,5367671.310865967,3851727.310538102,0.6967875550509937,8197063.258859284,ok,7668101.872665541
11,8053323.942638998,0.0018809989357480462,8411128.315237083,29143512.26781916,0.14430533008413018,7446438.618683868,ok,12015897.593195833
12,7473861.393940859,0.002621173751861812,5167111.363774475,3229843.768069951,0.7999011306454262,5407272.282913842,ok,7381587.662534964
13,5372921.724802843,0.0022307257560384482,6761861.373204194,25981485.083394203,0.13012846170071254,4932966.415438578,ok,9659801.961720277
14,4892302.570896357,0.005271353880211806,2302793.2397583844,2016847.2794888113,0.5708893437737261,4234982.510150239,ok,3289704.6282262634
15,4206369.9818953695,0.002639520943152737,5690126.197147794,29715312.131098468,0.09574400854421465,3933972.2362766806,ok,8128751.710211134
16,3934185.901545477,0.004889448804029662,3035529.871315041,28352621.058858052,0.05353173283368571,3852937.3145055226,ok,4336471.244734083
17,3821022.3548154356,0.005629113445164238,2541753.027954079,2529777.687591828,0.5023668760344019,3182576.0906632994,ok,3631075.754220113
18,3154639.9700445854,0.0033465657169866356,4875909.240804965,20258089.855338894,0.12034474315257193,2861244.9474346223,ok,6965584.629721378
19,2836833.5195900393,0.008598686096545074,1072902.25882651,910143.644264678,0.5894136961717333,2520641.8765870715,ok,1532717.5126093
20,2543754.691030451,0.0033432982145152283,4078800.718142585,27191094.218592983,0.07500251158251557,2390794.54197782,ok,5826858.168775116
