round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,445385836.0786099,0.00014557986571890475,227321647.1171486,85625285.80906548,1.0000310202039926,303687735.5167199,ok
1,304335410.88104045,0.00023328954606853297,142236460.20973372,26156829.877193563,1.0000003062640204,188255753.00838435,ok
2,187969876.04527155,0.00028068287174217306,116783585.11001119,27826405.77484556,1.0000001983930058,99012684.5821891,ok
3,99864809.07984246,0.00036312360618916026,80356737.96204388,24208798.177239947,1.0000009808262356,43716837.96831379,ok
4,43791205.45283952,0.0004912391505893462,59829179.30344981,50480424.64028808,0.5925978211334276,26063884.805126764,ok
5,25775558.69542273,0.0005771010054646254,56338510.643144034,216562849.38615054,0.13007427359502352,22111463.2717565,ok
6,22231264.138790786,0.000765812547768932,10445209.875117911,2624880.967782042,1.0003867529938637,14408926.269033957,ok
7,14451081.073661394,0.001255479420143592,5713929.381475504,954136.6453762535,1.0000602880727025,9691058.90535902,ok
8,9719725.812055225,0.0015592854490478216,4441022.946671519,1953927.8310781005,1.0000794314507195,7232588.358538945,ok
9,7244793.633415388,0.0013745731059746995,5775071.6732533425,13780211.448811116,0.20954220095627,6639733.01886853,ok
10,6650664.1132807275,0.0019439075336527313,3671467.9839282613,2548920.609969622,0.720200536958273,5328567.506555607,ok
11,5336923.742078994,0.0019424002357689464,4251904.185491279,8818762.251085367,0.2410714828471522,4824417.318618797,ok
12,4765833.501985804,0.0035417611971319397,2009801.3575460592,758967.1383834807,1.00000001162346,3514999.277106028,ok
13,3530248.1720745363,0.0023449963238455812,3254897.132331652,7394915.408903323,0.22007669813320813,3172084.6652511377,ok
14,3176370.552759718,0.0037316238036062322,1802302.3851734207,1838511.1101780804,0.4901527043257431,2734668.8587069735,ok
15,2709167.9444238083,0.0033404793826388415,1998895.5834820296,7108045.511607448,0.14060796179609644,2568637.6275054947,ok
16,2557957.838168717,0.0051545811604006815,1107923.7094802847,1525056.9984663716,0.3632400987616972,2356736.679342695,ok
17,2349453.025663745,0.004518446385310867,1461894.6790812497,4364045.70555081,0.16749305320310984,2227024.424033396,ok
18,2228451.9259794536,0.00468651961662932,1352823.6648448156,4807376.817485659,0.14070289434398506,2133278.8233891022,ok
19,2123560.539063995,0.006826780481733466,851806.8168292285,818265.6709578583,0.5204952664286325,1901879.8310283674,ok
