round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,445848786.69036275,0.0001455917520182746,226621062.25420886,83833234.29776,1.0001164620366665,303054093.8989297,ok
1,304940055.9245236,0.00023586601779248889,139506155.24494198,28355673.348062683,1.0000009063038822,193789498.99041116,ok
2,193646211.89882243,0.00026047502931242545,122038698.16923995,35029470.33723367,1.0000225694495373,106635810.93014571,ok
3,107304229.41480702,0.0003442004918814103,89837369.61835311,37229968.05166662,1.000006308349139,54696730.843382634,ok
4,54603500.31777176,0.0003929614333378843,79202044.77114746,97417200.45966098,0.4065095506616609,38505306.502069816,ok
5,39156456.37772821,0.0005752589875364959,53519166.67974906,68117450.19580229,0.3928447594992858,28644094.296274103,ok
6,28067497.688984115,0.0006548203619463967,42579436.10407302,58929634.251482785,0.3612735480621249,20376085.711082615,ok
7,20458633.190077294,0.0008201635245025384,39337599.219901316,135438032.446365,0.14522360709677118,17602259.163456693,ok
8,17828559.341095474,0.0008922325714533885,9215836.221069558,3403584.717443259,1.0009412244039309,12014043.756756281,ok
9,12040624.784138216,0.001456841562337165,4546017.5663607605,1914789.3299565741,1.000097530473316,9409326.691322228,ok
10,9389785.5767622,0.0020911918754480947,2340781.838254612,1379614.2184488557,0.8483465185240073,8396888.515208436,ok
11,8374507.328348624,0.001574195161646019,5099111.4947130205,4950645.259098896,0.5149946348247489,7061499.797273418,ok
12,7101990.361924332,0.0019988038938009425,4020279.785006202,4189163.659653933,0.4798427695396266,6137439.268743557,ok
13,6207148.134438645,0.0020546027232285096,3354994.2494404814,3889367.306593576,0.4313033438308615,5483638.015280149,ok
14,5483835.376293978,0.002056253337685561,3573537.657320921,7038285.736865774,0.25386420720340463,5030238.724150334,ok
15,5027521.473893028,0.0031123560476793493,2190623.482494409,3177942.121354354,0.3446606953245618,4650010.56755761,ok
16,4633022.802577819,0.002878172256618274,2629613.8030880755,1835772.3742903757,0.7162145590366458,3691338.9573701173,ok
17,3721798.683675752,0.0016943950929211218,3709171.5145187136,10226670.906078875,0.18134794541564503,3385473.3669996494,ok
18,3371742.510211816,0.0042003499433492615,1817189.0475266883,1162687.3868253215,0.7814607211352234,2661711.5784521983,ok
19,2655859.2461409965,0.002587371915992272,2876711.4303983357,6910694.111773048,0.20813476793145674,2356487.413155133,ok
20,2361552.402480243,0.0054534594151636195,1367989.1777666677,1899051.204418443,0.36017701223216747,2115193.275073274,ok
21,2121869.292935716,0.005582209685626029,1428108.8544491832,3231283.868537511,0.22098164577158452,1964076.3704371396,ok
22,1960397.5249686565,0.00604028544314208,1205991.9206081992,2737314.1740219365,0.220287450387223,1827565.0822794712,ok
23,1800432.834066798,0.005787903191576858,1127989.3175748913,3824765.701230949,0.14745861651236092,1717266.96196164,ok
24,1721526.335588546,0.007080847950152215,988127.4489057373,4394691.59731825,0.11242284322166284,1665982.2869528702,ok
25,1683920.8367082276,0.005345503319978031,1302204.6587561588,9641632.259477247,0.06753030107926779,1639951.7003719134,ok
26,1641007.8965796595,0.007800558024301233,873652.21043105,2144523.6010060627,0.20369377376429726,1552029.1387295492,ok
27,1542705.7745761427,0.005879367034351511,1365461.162439359,9655052.386895314,0.07071226067569984,1494428.3517456646,ok
28,1496241.9877038444,0.010383508721784602,644367.0800420875,959194.1726175888,0.33588980127122997,1388023.8224733148,ok
29,1368197.617224421,0.006328943125874243,1178776.9589425635,5684398.343401159,0.1036852880226954,1307086.7029731825,ok
30,1310894.075500785,0.010559104301964627,703497.8675452578,5256439.155197956,0.06691772193820479,1287355.838158528,ok
31,1278933.3750946266,0.013084335945203703,503236.8488087743,2130506.8815229326,0.11810261050390264,1249216.5823215896,ok
32,1247516.3389531174,0.007598491670190177,770005.8996235203,5787583.995914723,0.06652222241327675,1221905.0870959717,ok
33,1218594.6752984603,0.019413530053857077,401504.2952459241,991744.6349016739,0.20242322525179632,1177957.7781003956,ok
34,1179562.2719177085,0.008507527104302599,740177.7884296508,5044850.122754916,0.07335974017256344,1152412.6467973576,ok
35,1149709.1469288352,0.01841715434852449,312789.49733050796,995922.9466781034,0.1570349886875365,1125149.6993413968,ok
36,1131714.9327385682,0.009907469625266145,688470.3923794918,13155083.69906376,0.02616746529816796,1122707.170187865,ok
37,1122661.6302629937,0.01795811177096006,364112.9175119919,1381947.9471584386,0.13173901313022712,1098677.692052495,ok
38,1100739.1421889027,0.013613454340885702,504500.00186292245,3842842.461012973,0.06564151496987679,1084181.0699766087,ok
39,1078427.8896106891,0.014524125257565808,358101.8612091676,1313736.6814844545,0.1362913383846948,1054024.7986395652,ok
40,1053380.3633306737,0.0147873424448272,546301.7334780981,7322169.6570323715,0.03730463503760924,1043190.5699367669,ok
41,1043490.6152621922,0.018216765817502294,335941.9762636657,1219156.9725149458,0.13777634211067408,1020348.1869366729,ok
42,1024357.6121406736,0.012887596195208425,464188.64308605215,3274701.4030211703,0.07087495712705309,1007907.9370518791,ok
43,1004266.7407773866,0.018485557929492125,300591.6737196016,497487.51745832304,0.3021097647387541,958860.9008624579,ok
44,960168.0279120199,0.009569343023882805,733398.9580283541,5996120.867800585,0.06115611861384721,937742.111077793,ok
45,936332.7416052539,0.02703808091301363,225648.16705718276,460291.28094282764,0.24511453551214488,908677.9187765598,ok
46,910026.2054544572,0.011279909308787323,717827.010817406,10113360.41833455,0.035489045239407005,897288.7078239736,ok
47,895812.428689391,0.025395457422230042,207261.67613879,2290957.6622672374,0.045234724227438204,891124.7163078636,ok
48,890276.9768401632,0.030330854266804493,201688.0709771302,856439.9984496017,0.11774792825080717,878402.8005849338,ok
49,880594.2388480448,0.01844467014051153,450824.2832021987,6649371.271139306,0.03389976772382528,872952.8196056376,ok
50,872391.6266495369,0.02543019467386546,166181.52602067328,1031536.9175713557,0.08055045010503845,865698.6282894833,ok
51,867409.2733232088,0.018721089301838988,269009.1612307999,3282731.913375412,0.040973367355209324,861898.1677306956,ok
52,860512.6000005816,0.03480197485728504,182543.15387333915,1108691.0749952898,0.08232372298753945,852998.7839842114,ok
53,855361.2910966875,0.01878231884870155,342612.63395474554,6207120.827052587,0.027598353850430284,850633.518743932,ok
54,850682.575783679,0.03190687673094057,182678.28985368268,1716009.2253606857,0.05322765377770209,845820.8074011618,ok
55,847529.1548365122,0.0239995650962992,328116.2116670266,8364853.154455482,0.019612789705235757,844311.5177073601,ok
56,843789.8143531898,0.03568625349327038,127822.93791597296,1960478.346558522,0.03259993616873068,841706.3045447096,ok
57,841994.6157619198,0.03347254914875047,235057.70016904682,2230168.25611193,0.05269954397495681,835800.8989585644,ok
