round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,447225768.348932,0.00022092651857814042,230114852.06298178,85190742.92614976,0.5000000075226853,353466026.9587601,ok,460229704.12567073
1,354192614.77667403,0.0003183754225688494,159856185.16630685,37662723.83451866,0.5000000171420695,283680201.0575015,ok,319712370.3326137
2,284326306.1957632,0.00038472822668237397,132950978.0187282,17822861.952635594,0.5000000000298326,222306532.67112342,ok,265901956.03727847
3,223257872.22582367,0.00042409102665396254,114430812.65954275,16676670.900042912,0.5000000017952833,170211633.44556665,ok,228861625.3190855
4,170035973.19582427,0.0004775120738889171,100004900.3637299,16004463.120269995,0.5000000000270345,124034638.79175591,ok,200009800.72745407
5,124050714.39201029,0.0005467973449212672,84324007.77235472,15961867.031427324,0.500000001463336,85879177.16365297,ok,168648015.54470944
6,85938469.61288548,0.0006731951366726742,69561242.44248395,15544060.88069697,0.5000000003100266,55043863.59507098,ok,139122484.8849679
7,55189397.57592479,0.0008420257454748623,51331772.253462374,13901717.18454919,0.5000000000901337,32998940.741957195,ok,102663544.50692475
8,33195579.41577403,0.001106829005780178,36503308.54980829,12631293.797536843,0.5000000000227793,18101748.589710303,ok,73006617.09957035
9,18562423.27423811,0.0016217285902775476,24952144.96564038,11784764.714969033,0.5000000021632076,9032541.9416764,ok,49904289.9312496
10,9236985.478543652,0.0025243889064390356,15703612.686683077,16752531.671728391,0.23434685864800556,6476916.251631793,ok,31407225.3733461
11,6430365.970538868,0.003282054121439734,11267790.118884992,18243194.74318209,0.15441086768938908,5125464.03363965,ok,22535580.237769984
12,5140202.494160839,0.004130071406469896,1014144.0512944278,435128.45394731464,0.500000994073583,4741912.006416774,ok,2028288.1025888552
13,4771693.455831267,0.004914616133369989,764337.6151337986,233645.24015117687,0.5000000022483051,4447935.957109003,ok,1528675.230266797
14,4477529.817350405,0.00562888329680311,767940.2029030994,196463.5524582892,0.5000000434839352,4142675.5791633744,ok,1535880.4058061987
15,4132074.339393951,0.006905171333474063,615230.5013437234,95730.64364050693,0.5000000003741104,3848391.749437866,ok,1230461.0026874465
16,3865698.01697999,0.006341507954987926,576516.8674800533,109563.87315328614,0.5000000006763973,3604830.5512124393,ok,1153033.7349601067
17,3597890.6015987177,0.007527825108975613,534248.7211826958,141761.24851958154,0.5000000009199516,3366206.5527761956,ok,1068497.4423653916
