round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,445048371.0248319,0.00021048033135821832,224592665.76961648,83401447.73205276,1.0002098444482113,303845029.7973632,ok,449185331.53899825
1,303523326.062178,0.0003218789565013933,139793783.2976311,30512905.082567282,1.0000017157809797,194242312.69861388,ok,279587566.5952622
2,194719241.69354674,0.00036747838219634984,122128353.9634488,48512690.16909484,1.0000000491440144,121103576.66553201,ok,244256707.9268976
3,121780778.24269459,0.0003578091183836988,111838520.40766194,105716034.06032106,0.5289572267904386,92201881.44110322,ok,223677040.8153239
4,92314671.96338776,0.0004193434621165168,85001813.00279029,70462956.76794083,0.6031666630363738,66679542.01292032,ok,170003626.00558057
5,66325000.965830624,0.00044651976476625123,86794842.40435545,209086823.44349548,0.20755693968398553,57317565.03092971,ok,173589684.80870917
6,57738411.027588144,0.0006397452923498742,55356552.40245808,22149880.00539684,1.0000094364304104,24531634.295847304,ok,110713104.80491616
7,24780751.041231412,0.0003708810631416094,80477231.1967497,315444704.97685635,0.12756155029239463,19647850.853882983,ok,160954462.39339694
8,19669908.769116845,0.0008653905763099488,10772343.274280654,3397305.1587328603,1.0052276536706157,12274169.28606489,ok,21544686.5485613
9,12318526.978535624,0.0013785908443207067,5901347.099458196,1749486.4851503018,1.0008559331277134,8164611.3743368685,ok,11802694.198910657
10,8104834.696232714,0.0019576682615238994,3549209.840500285,2167058.917655712,0.8189001719297416,6651610.421932505,ok,7098419.68100057
11,6652071.776784988,0.00253367742383848,3607945.8662711154,2805215.252283976,0.6430782563536906,5491976.008434921,ok,7215891.73254223
12,5500985.54641171,0.0024630838129466436,3107811.134476355,5037098.57562696,0.30849218928473426,5021617.816032668,ok,6215622.268952709
13,5026812.40356353,0.0032159805485427405,2158004.5819025086,1346614.8777565665,0.8012701394988674,4162240.087373421,ok,4316009.163805017
14,4156010.61443969,0.0028350688919893145,3246956.0334795467,3805870.923009171,0.426572011921031,3463480.3305294393,ok,6493912.066959093
15,3499090.8926092978,0.003842798457950209,2100250.219405605,2186492.7316626273,0.48027834462741553,2994738.5432695523,ok,4200500.438811209
16,2998588.463935943,0.0039052200897999084,2004306.0142905945,7116785.641327176,0.14081539864370712,2857469.8887327877,ok,4008612.028581189
17,2889190.0920191575,0.00452195419226475,1594874.040952156,1500937.0119266806,0.5312927951936147,2465517.5484195543,ok,3189748.0819043117
18,2439420.8564854916,0.004135257060040521,2049989.64561135,6617646.386540062,0.15488812229230917,2280661.3330217823,ok,4099979.2912206682
19,2292473.656539603,0.0051615632018874895,1173718.8661985127,2300072.919066186,0.2551481860573,2142737.5367137124,ok,2347437.7323970255
20,2129183.936787527,0.006118685100326831,1083026.2787272553,1672178.613679035,0.32383690051639896,1953822.0001471052,ok,2166052.5574545106
21,1969135.8194011452,0.004079079087207742,1663715.6902160973,13201112.377401685,0.06301422344771974,1916716.9432727678,ok,3327431.380430294
22,1915361.0799648098,0.007915775874550597,713150.9581709786,370690.73368237837,0.96192174954936,1572363.3712764946,ok,1426301.916341403
23,1541991.2328881405,0.003791062055438566,2153490.663959854,9683116.471813148,0.11119822167937923,1422259.0667704,ok,4306981.327919707
24,1422291.648043882,0.004668210177890639,1766331.3679474106,17894938.64821996,0.04935281988583712,1378704.9311133758,ok,3532662.735894821
25,1370789.1539468265,0.010423867743934705,732609.8656718845,1406005.5621101472,0.26052879356052344,1275356.17171981,ok,1465219.731343758
26,1295408.1568490157,0.00766625938406762,911970.0328101115,4235356.893846902,0.10766153309712996,1246316.1109135274,ok,1823940.0656202221
27,1251195.3845971676,0.01047621448374956,620262.534296129,2049058.4013603893,0.151353063896161,1204256.067104309,ok,1240525.068591765
28,1213911.3681419585,0.009450642487146095,565269.5403139823,1749187.9695885158,0.16158055913423586,1168243.0839492155,ok,1130539.0806279643
29,1177372.3902055037,0.010852743804328335,828184.750235165,7816175.770132985,0.0529788975191556,1155434.2327006855,ok,1656369.50047033
30,1158929.1921083897,0.011474997038300058,438683.3668628304,541523.5274366019,0.40504552862127363,1070085.823994232,ok,877366.7337256604
31,1074471.8504153667,0.007967329960971914,1271551.8544487287,10347071.951948084,0.06144500880799078,1035406.5929671571,ok,2543103.7088974575
32,1033042.2201042306,0.007482935413299834,933932.3148327445,14815897.99998782,0.03151791119355413,1018324.4222243861,ok,1867864.6296645585
33,1020631.3775853749,0.013713787661058982,430418.3092444496,901423.6441871315,0.23874363182063188,969251.562409817,ok,860836.6184888992
34,970793.6152393136,0.009497095673958572,659828.5966929836,3012106.350299697,0.10952943222395391,934658.2894588582,ok,1319657.1933859673
35,933122.364809549,0.013992613460741899,563068.0529071556,4256591.330623973,0.06614072260780265,914501.5008612251,ok,1126136.1058143112
36,911667.3785560923,0.010824058855805736,464635.482789123,2152091.782142419,0.10794973677344186,886588.7395247489,ok,929270.9655782458
37,895326.5196876259,0.01781798064923602,388885.3769039349,1372632.9739424395,0.14165672262228585,867782.405703654,ok,777770.7538078699
38,866731.4722376138,0.011183999113451639,372922.1519136486,1458816.272343321,0.12781669596906042,842898.6335819765,ok,745844.3038271114
