round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,448367417.6497954,0.00022505735492531415,224273340.371356,79890642.9856359,1.0000002136212747,303984706.4872041,ok,448546680.74271196
1,303319177.71383584,0.00036238712705956533,139627943.38716757,24939750.20351323,1.0000000012510493,188630984.41790178,ok,279255886.77416503
2,187670606.51717582,0.00041427957197666084,118057256.71808308,25416685.113885313,1.0000000164771314,95030033.80532125,ok,236114513.43601042
3,94293169.11835518,0.0005848826389304875,75502626.68450247,20100642.949135058,1.0000000047555406,38891185.21511082,ok,151005253.36890674
4,38724642.04429367,0.0009038108803717502,50492212.24976984,38065913.00506302,0.6632208223017537,21980898.780230157,ok,100984424.49947909
5,21727309.038048495,0.0006493665863243654,66599867.964148335,317529307.06828827,0.10487200154697103,18235078.30996638,ok,133199735.92829667
6,18236909.40378973,0.0014085472309593166,3300599.4615749363,492920.8359089443,1.0000190178272867,15429186.756638158,ok,6601198.923144497
7,15460865.931785313,0.001656039002255157,2439177.3490198795,241791.49832068797,1.000000505076864,13263479.09336072,ok,4878354.698039759
8,13186107.914621897,0.002011349501900624,1615670.747814516,103015.04203330657,1.0000018544422802,11673449.594743796,ok,3231341.4956276505
9,11659270.067918235,0.002645066312996139,1475334.036866589,186472.4936866713,1.0000002233979106,10370408.278466918,ok,2950668.073733178
10,10342776.037929654,0.003958270735113528,1024544.438489864,497155.437485087,1.0000000000021683,9815387.036924811,ok,2049088.8769783627
11,9806205.85920016,0.0034602204492818534,1242079.2849989906,256216.35835995118,1.0000000027957543,8820342.930521207,ok,2484158.569996682
12,8822267.681679754,0.0029232783563114934,1129131.852869784,134415.588539534,1.0000000732981298,7827551.354291074,ok,2258263.7057384495
13,7808989.020169936,0.0032658621168048262,937016.9813274271,119709.90807581239,1.0000004020064044,6991681.666479812,ok,1874033.9626548332
14,6992782.7911879355,0.004448088265173956,749272.3198755264,68968.21091639803,1.0000000000000178,6312478.682228797,ok,1498544.6397510525
15,6302041.598092302,0.004459836887891151,756134.3806766255,54150.20470769769,1.0000000000008151,5600057.422122845,ok,1512268.7613532506
16,5597083.470060159,0.005345004528687829,686505.4686805278,68120.2154701483,1.0000000004793281,4978698.216586023,ok,1373010.9373610492
17,4993849.118948352,0.00640325354346447,611163.4036428812,146663.2581155894,1.0000000000000875,4529348.973421032,ok,1222326.8072857335
18,4533887.06927325,0.006280322065516839,448868.70021581324,110194.73290631521,1.0000000000329041,4195213.101956234,ok,897737.4004316166
19,4197139.462696063,0.006637589522818184,553742.0130843235,77865.45969873111,1.0000000000000415,3721262.9093104545,ok,1107484.0261683497
20,3717703.9591601035,0.009266122688597986,452025.9384255224,291279.2160613406,0.7759323588853833,3542333.182820156,ok,904051.8768510348
21,3559071.2545782956,0.005869780017600309,714501.5665891666,202493.11988534842,1.0000000032238745,3047062.8068766384,ok,1429003.1331783296
22,3040380.9104179465,0.009177087837744211,470462.8244298168,273655.4738144048,0.8595896472892923,2838178.4237607713,ok,940925.6488596336
23,2839225.847909237,0.0088027003668848,541122.6942932446,538167.7097408179,0.5027454123491075,2703202.3718722784,ok,1082245.38858578
24,2710149.3537223954,0.009524033419316034,502950.2095903624,198394.63239360476,1.0000000000068396,2405593.7765249116,ok,1005900.4191802472
25,2400082.2735064356,0.00862278434292447,556566.3892828653,1483325.4059720703,0.1876076507022846,2347874.21712983,ok,1113132.7785657304
26,2356242.4564791545,0.007758561155618564,494485.90617151425,782987.6629641373,0.31576864461666676,2278170.8842922426,ok,988971.8123425847
27,2270796.148822795,0.011137926105473706,328967.49519155745,74407.76281910526,1.0,2016236.416450343,ok,657934.9903831149
28,2014927.5312808172,0.009921473711182563,360387.00197172834,627607.1416679549,0.28711193519400435,1963191.826503383,ok,720774.0039434567
29,1959120.910442753,0.01578726977706097,139724.17210783437,50479.73696029706,1.0000000010559635,1869876.4752542817,ok,279448.34421559056
30,1872104.1478099371,0.01345904967884604,314166.30068999063,291435.14388045785,0.5389986542234878,1787436.5411727987,ok,628332.6013796339
31,1780956.0250353771,0.00755892360500476,500239.3040160357,1882174.5561062363,0.13288865859787993,1747717.959991063,ok,1000478.6080312391
32,1745953.794833146,0.013921091985512094,238354.34645194968,234240.8777820587,0.508780424469119,1685318.7820522047,ok,476708.69290389935
33,1680829.0134556894,0.013560919962511938,358458.5377469973,2694569.6311355233,0.0665149888139908,1668907.580641429,ok,716917.0754934363
34,1668694.148695115,0.013409781192187952,267582.2576216005,159944.3328592916,0.8364855848221944,1556779.7980677912,ok,535164.515243201
35,1550693.8284943262,0.010841450719010047,384436.3491688217,299032.55231447634,0.6428001670609607,1427135.953759314,ok,768872.6983373383
36,1424783.4892255263,0.011219546226878893,423355.9267156968,1215149.6213920882,0.17419909419495838,1387909.3797475556,ok,846711.8534313936
37,1384357.336435332,0.01618026622297994,221425.82992236406,75307.0442373235,1.0000000000000004,1238238.5507502914,ok,442851.6598447281
38,1242652.6789733816,0.010964081572526482,398170.29092870676,1001861.3948188899,0.19871525791284006,1203091.4229458172,ok,796340.5818568404
39,1201243.605226127,0.02278039003581814,131270.8733037645,114173.58447034124,0.5748741003128645,1163511.492632234,ok,262541.746607529
40,1164233.390388459,0.018487198092562492,176728.71814689122,193800.84891605837,0.45595444791740397,1123943.2678315507,ok,353457.4362937749
41,1132105.1751890578,0.012973581859433638,208805.78828556658,720803.174992585,0.14484244487943232,1116983.2047489285,ok,417611.5765711331
42,1117287.7900013938,0.0239848219852291,150650.06653218932,89223.22085002656,0.8442312724028079,1053696.041323375,ok,301300.1330643786
43,1052575.4038141726,0.011900050139228893,431192.3952875736,1670253.1214756323,0.12907995493120963,1024746.2563389724,ok,862384.7905745434
44,1024741.5845254338,0.019253675147807365,227174.40830679933,339783.7110009047,0.33429267053092265,986770.2147108528,ok,454348.8166133398
45,992348.7002750078,0.019589025769942994,173578.8203644157,231746.37490812055,0.37450169486628154,959845.919065326,ok,347157.6407288314
46,962780.482344023,0.014697943242159015,487344.04923191573,6286183.282414252,0.038763111679806755,953334.9964405899,ok,974688.0984638116
47,954801.3664169254,0.029882450165072866,126930.04409950702,365157.1215660397,0.17380195620332625,943771.021434191,ok,253860.08819901402
48,943627.0544248202,0.019272922795617625,129276.10712855021,111789.27462421237,0.5782133731662589,906252.4674385195,ok,258552.21425710042
49,900451.8802557893,0.01842254066270756,168786.48891651613,341307.72089685895,0.24726438721191768,879584.4363799925,ok,337572.97783303226
50,891069.4618259111,0.011417113014913818,287750.8468760963,1130969.9477734987,0.12721418789357816,872766.466675395,ok,575501.6937521925
