round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,446611037.7306467,0.0001481273564446177,225506136.7725195,84848326.79186432,1.0002039773077047,305941847.41212875,ok
1,307212559.98986834,0.00023264158752293087,142873423.1475277,25474567.490984816,1.0000012169163341,189813592.46919543,ok
2,189080739.79594982,0.0002803003531396152,116273184.09588167,27793336.135168895,1.0000006457171549,100600852.64892688,ok
3,100957376.73371488,0.000367245586302691,83753961.2914598,30255557.654248178,1.000006312953841,47458826.36669522,ok
4,48366699.3810602,0.00041602262183042233,73619473.46319975,108920271.79558903,0.3379512015970802,35926804.62214384,ok
5,35628229.00064547,0.0006406494820087626,51774553.69561064,75682962.93830614,0.3420489346975969,26773513.532631904,ok
6,26467136.684744753,0.0006003651783625933,44879696.889105305,91226675.3995315,0.2459790225422146,20947404.698358256,ok
7,21180781.371923264,0.0008967057294788033,34294916.65144886,52607585.16220991,0.32595030303808964,15591562.134320373,ok
8,16088542.33588586,0.000680731766942498,37536613.22312547,116126169.65129662,0.16161995756787778,13055209.41770417,ok
9,13071338.579023942,0.0010731401851596894,6651291.479171245,2355789.533973915,1.0002787425161428,8775296.136547212,ok
10,8784051.61971611,0.001929938042980567,3724663.5132733053,2541701.265677287,0.7327107169458789,7419501.18311979,ok
11,7493403.020130129,0.002273375448373355,3446103.1891451087,2320496.8839101302,0.7425356209352643,6213975.8344507,ok
12,6389726.408149369,0.001685666026568239,3794639.5318900794,2053532.635898039,0.9239296872023243,4636736.3502769815,ok
13,4647588.391291712,0.0027301121520566705,3091141.299390112,4364235.340885445,0.3541446620019993,4100232.7959552463,ok
14,4081203.6635752567,0.002854247805104577,1447961.69328907,1360455.2354822676,0.5321607266172864,3695929.490167903,ok
15,3693154.347513245,0.0031256161158277687,2472931.2419624506,4047303.8507559006,0.3055035318759907,3315409.733260241,ok
16,3271075.476528222,0.0029409218734712883,2497337.0416098926,6555027.6251618555,0.19049019961591915,3033216.3607459734,ok
