round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,445048371.0248319,0.00022577301360985686,224592665.76949912,82546095.26746905,1.000000349764869,303001779.71163595,ok,449185331.53899825
1,302435166.8853457,0.00036031715092337474,141051802.0142488,25067524.497988738,1.0000000002871066,186450889.34298286,ok,282103604.02832395
2,187316231.92002305,0.0004268786707362029,116603704.1701214,25120824.96081111,1.0000000520511363,95833349.2564925,ok,233207408.3402428
3,95635208.52149262,0.0005774706035145813,74215702.86072639,18915803.18163056,1.0000000006871272,40335308.81739628,ok,148431405.72145274
4,40379237.922705166,0.000907145253803487,49692824.82363313,24980761.92471972,0.9946218808974673,15666452.47611,ok,99385649.64720523
5,16073060.938953724,0.0008763873327537566,56118636.76436044,244048381.23179495,0.11497440892889896,12846957.393014763,ok,112237273.52872086
6,12879475.93607107,0.0015020685951945656,2984688.4535651477,1988895.4814320232,0.7503381855481275,11759713.076733809,ok,5969376.907130293
7,11696373.117021887,0.0022799731501954063,2062302.9912798484,504236.56455678405,1.000001273368349,10138305.348386047,ok,4124605.9825570807
8,10099104.524441991,0.002377237032944048,1665953.68444099,219973.596073334,1.00000067049406,8653123.614044365,ok,3331907.368881979
9,8624708.776624253,0.003124253285854873,1247134.1837940584,142443.88567237472,1.0000000226994314,7520018.456660124,ok,2494268.367588116
10,7526444.49724831,0.004611832098252473,975306.9635719601,217714.59130931261,1.0000000015242543,6768852.12416275,ok,1950613.927143059
11,6744357.003397695,0.004155227604304478,908304.4447138575,147911.12157214206,1.0000000016260506,5983963.679260053,ok,1816608.8894268777
12,5997497.504333094,0.004294894987521504,755568.6493668146,100657.11700533555,1.000000476249734,5342585.708008119,ok,1511137.2987328754
13,5344471.4091833765,0.006061875964700897,643902.3302975749,436366.21302358,0.7378003968684672,5106935.711764336,ok,1287804.6605951306
14,5112915.696200859,0.004776215995910669,736211.4523478723,214341.66582439188,1.0000000003026073,4591045.909584318,ok,1472422.9046951677
15,4597938.293526548,0.0048734290857161055,792005.4453944443,207878.44780246651,1.0000000935163882,4013811.2607491664,ok,1584010.8907880655
16,4000002.988555903,0.006098094591321091,622801.9401041032,71753.41715057241,1.0000000000110636,3448954.46559707,ok,1245603.8802082064
17,3451118.1503023533,0.00939425380877693,320431.9609168232,69651.26540069538,1.0,3200337.454786225,ok,640863.9218333252
18,3200114.759535108,0.007798889400330841,449500.9876602982,176662.64300623283,1.0000000000392577,2927276.4148772676,ok,899001.9753205939
19,2927330.1855369257,0.00804634604513694,388683.27094376704,129892.54280777927,1.000000000012405,2668539.457399339,ok,777366.54188753
20,2673050.2255532565,0.010272107349412526,372033.8872099535,139092.9628930454,1.0000000000013127,2440109.3012362253,ok,744067.774419907
21,2432915.6287436876,0.011115851675247774,577503.6060842178,1619846.9579799422,0.1782586938967381,2381443.1094730734,ok,1155007.2121677233
22,2383659.395705775,0.009579655294508032,385940.6482304424,188801.31728817362,1.0000000000082687,2186520.064763437,ok,771881.2964605438
23,2200642.2462925594,0.005088469028208716,536212.3327573958,629912.628231873,0.4256243713215527,2086529.7277801945,ok,1072424.6655147916
24,2094934.5633504265,0.00862050134753971,307654.29815136193,432201.05979408603,0.35591571466522776,2040185.0636522411,ok,615308.5963027235
25,2050701.5849806378,0.009361499622560176,383695.9071420392,1053274.222567617,0.18214435468034398,2015757.5632806998,ok,767391.8142840783
26,2013632.8917451263,0.014537272890381115,302714.16344227176,148807.60460744516,1.0000000000000007,1859726.3329102998,ok,605428.3268845434
27,1862894.8860657336,0.006613847179407191,741476.8288063951,2708286.336370266,0.13689040535502361,1812144.3542374012,ok,1482953.65761279
