round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,445048371.0248319,0.00022577301360985686,224592665.76949912,82546095.26746905,1.000000349764869,303001779.71163595,ok,449185331.53899825
1,302435166.8853457,0.00036031715092337474,141051802.0142488,25067524.497988738,1.0000000002871066,186450889.34298286,ok,282103604.02832395
2,187316231.92002305,0.0004268786707362029,116603704.1701214,25120824.96081111,1.0000000520511363,95833349.2564925,ok,233207408.3402428
3,95635208.52149262,0.0005774706035145813,74215702.86072639,18915803.18163056,1.0000000006871272,40335308.81739628,ok,148431405.72145274
4,40379237.922705166,0.000907145253803487,49692824.82363313,24980761.92471972,0.9946218808974673,15666452.47611,ok,99385649.64720523
5,16073060.938953724,0.0008763873327537566,56118636.76436044,244048381.23179495,0.11497440892889896,12846957.393014763,ok,112237273.52872086
6,12879475.93607107,0.001620448729561378,7423157.9187658345,4280899.641941471,0.8670091031845923,9661503.191097684,ok,14846315.837531669
7,9612942.558300827,0.0023294267814842205,4953107.2912437655,3565252.6011158074,0.6946362355494258,7892638.656769835,ok,9906214.582487531
8,7933574.069085056,0.002861515524822134,3133654.4586037067,851005.8956034343,1.0000006582452732,5650924.563713133,ok,6267308.917207413
9,5658020.170047781,0.003720106376417526,3157086.241443875,3614323.989833231,0.43674643589291867,4968597.08816919,ok,6314172.482887749
10,4940613.04814169,0.0036133551573177395,3007820.9524635905,3777752.905412661,0.39809657060339587,4341911.445059293,ok,6015641.904927181
11,4334119.596472386,0.004026834157012944,2501372.228566288,4366932.363452584,0.2863992409752659,3975924.042643389,ok,5002744.457132554
12,3952719.650389207,0.005051368225306059,1574893.9834609127,695297.9230840304,1.0000002634408223,3073123.54146072,ok,3149787.966921825
13,3108880.69456776,0.003396416126334719,2911167.210952215,5721641.664606387,0.25439964450766467,2738580.742783454,ok,5822334.421901538
14,2745268.128521401,0.00547510879714913,1413856.8845455423,4628116.769077684,0.15274645769442236,2637287.313120799,ok,2827713.7690910804
15,2625525.047233474,0.007047902029344296,1344076.2653551213,1482268.5860129683,0.4533848581957879,2320833.133747296,ok,2688152.5307102427
16,2294462.3493413893,0.006193813499109421,1645540.7907207147,6520038.74917869,0.12619102846037522,2190636.106964116,ok,3291081.5814395933
17,2199767.1217503804,0.008912047847377043,882874.9526895364,549564.383991562,0.8032497905678437,1845182.5613276479,ok,1765749.905378296
18,1864051.1202416332,0.005416376787909882,2534738.166569035,15366798.911359992,0.08247450172251605,1759525.4865992207,ok,5069476.333138069
19,1764050.3906245108,0.008539060010163508,1000255.8678457742,2878554.43795909,0.1737427395250098,1677156.7932717653,ok,2000511.7356915483
20,1670566.9002591353,0.012783985561921249,978073.0393013149,2385159.6324764746,0.20503303552177693,1570298.258154156,ok,1956146.0786026265
21,1585236.994136259,0.006221732757752647,1383339.2042452854,5071376.52731075,0.13638695498112052,1490902.2832497484,ok,2766678.4084905693
22,1472848.0902824309,0.013064381556472516,848183.8854132267,1921396.0728461628,0.2207207294217096,1379242.2073463572,ok,1696367.7708264533
23,1374353.7386228596,0.011596217571379124,1019656.8125105207,6025211.006129797,0.08461585921830495,1331214.1699736717,ok,2039313.6250210414
24,1327884.2256359446,0.011874029687865797,927539.9165312796,8042404.50165993,0.05766558473525162,1301140.6598099133,ok,1855079.833062487
25,1308664.1080723645,0.012035990009331216,580177.3093617484,1335500.5393697738,0.21721343131599766,1245652.9560032904,ok,1160354.6187234968
26,1269289.9122339052,0.00617243136354606,1438174.0921100217,12920836.260649268,0.0556532898915381,1229270.352402556,ok,2876348.1842180435
27,1225839.6899094821,0.016075225564694068,728033.6152188472,4450357.887049887,0.08179495151809643,1196064.9527792973,ok,1456067.2304367197
