round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,445048371.0248319,0.00013319775912230863,224592665.76949918,84698020.38867846,1.000206144120677,305142350.783564,ok,449185331.53899825,-0.19041100738625127
1,305217906.0085485,0.00022158748367790353,140001571.09245408,19977815.462547563,1.00000375849278,185193774.3569804,ok,280003142.18490815,-0.08814030856054833
2,185958588.1265989,0.00028322431821801053,109919073.64332646,26387964.41022862,1.0000009560834022,102427424.25991286,ok,219838147.28665292,-0.026789388934131964
3,102447387.27390662,0.00028670529210291293,83773442.69849563,25316786.369825277,1.0000526427338894,43988986.442040235,ok,167546885.3969097,-0.05168914102680322
4,43924235.73560455,0.0005385765317255281,52591958.192880735,33768852.8935924,0.7787051333754366,23447421.82607326,ok,105183916.38571054,0.03640785314089534
5,23168003.861740023,0.0005161013529392484,40903723.14422988,43520647.90095594,0.4699346760337571,13556964.919560945,ok,81807446.28842203,-0.05881953740331802
6,13703593.323640246,0.0008522354533581153,36679362.90928762,209210103.89841542,0.08766154747262526,12095908.467171162,ok,73358725.81852674,-0.012599703137866847
7,12100624.4922502,0.0011427163135608188,7050029.582789067,3148703.976080737,1.0000076970663259,8199293.092749805,ok,14100059.165578134,-0.023985437935819753
8,8112306.397018109,0.0013520484015598119,5191122.069345083,4340278.56988909,0.5980171532489601,6560116.375979311,ok,10382244.138690166,-0.06851736325251645
9,6577070.636612634,0.0016950576104632676,3155754.4280612757,2043083.2939316973,0.772301951035085,5358472.985722968,ok,6311508.856119832,-0.06925523457017713
10,5261223.298873322,0.0021544291008629367,3198929.4153795554,3332565.7703909753,0.4799499298410333,4493560.324634405,ok,6397858.83075911,-0.06224390362786991
11,4472726.623467478,0.0022342394112450665,2780667.197323587,4073369.1979812756,0.34132275546022933,3998174.128563298,ok,5561334.394647149,-0.07513023835805566
12,4049567.809738622,0.0025816665155117212,2482584.9456797782,3557236.2154796366,0.34894856502311883,3616420.5825671437,ok,4965169.8913595565,-0.07056200801946311
13,3607810.23147434,0.0024969589872758575,2656197.247726281,5194895.114424367,0.2556545598342275,3268275.7623741655,ok,5312394.495450052,-0.07528181870348938
14,3330101.9593056426,0.002851773450673852,2397352.2254915596,4695764.00023333,0.25526753744145114,3024118.8598151365,ok,4794704.450983067,-0.07570807014058722
15,3064154.529677526,0.0027776191760843835,1671353.2326701595,2573348.7419031407,0.3247428546031613,2792774.519763761,ok,3342706.465340319,-0.07848131740245501
16,2807919.188848575,0.004695328691043865,1464675.2399638733,1212998.2729177303,0.6037416840012322,2365776.4409032264,ok,2929350.4799277466,-0.07600050489451826
17,2388684.504181661,0.0028892546965666737,2567090.7270647786,5079435.185865918,0.25269450570094765,2064339.642999101,ok,5134181.454129555,-0.07454316875406164
18,2064438.6035790304,0.004712236592037071,1606209.289918795,23632859.508010373,0.03398254217553253,2037147.0661103316,ok,3212418.5798354787,-0.07347368967687729
19,2037592.2600202279,0.004421226808303091,1226678.5614420255,10025541.328375043,0.06117767217068804,2000069.590574872,ok,2453357.12288405,-0.0762539746115598
20,1992922.6291981812,0.006123827216562934,849268.0933781257,693784.2532616849,0.6120548927029298,1733023.2833138958,ok,1698536.1867562514,-0.0750853698210312
21,1780314.2953264504,0.003663427440142984,2402242.3189441473,12481908.272275424,0.09622896862172758,1664731.6449607192,ok,4804484.637888295,-0.06875910315284273
22,1661649.033835812,0.005802961367938654,1425757.0549522105,4921516.663701577,0.14484935766527188,1558389.0370375332,ok,2851514.1099044196,-0.07307374421540214
23,1585773.4996724094,0.004595001897633532,1286570.8847490838,3598924.8010695437,0.1787437854170689,1470790.2245986902,ok,2573141.769498167,-0.075518237447604
24,1467907.4219815598,0.007782596729274364,605411.0125378753,829613.5793624939,0.3648753031520384,1357457.65861589,ok,1210822.0250757507,-0.07557170418465997
25,1377231.8253464883,0.004698327328274437,1365511.9422595827,3212875.689604617,0.21250618980960717,1232141.955351938,ok,2731023.8845191654,-0.07754449755019532
26,1238115.5563708975,0.009573972735864989,377635.55676410906,1092968.9983539698,0.17275675583334693,1205496.0095339539,ok,755271.113527862,-0.07990521393961281
27,1216879.4991900835,0.007917552296799009,808993.4773876071,9312141.87601642,0.04343756184982445,1199309.1470850192,ok,1617986.9547744433,-0.07858368986099906
28,1196297.5173738915,0.012106667527498009,688593.5894293233,4532875.223068615,0.07595549795027966,1170146.2828886542,ok,1377187.1788586464,-0.0796459440645032
29,1180096.865564762,0.007613256343922064,554966.4734847702,2009319.542271264,0.13809811277141507,1141776.9542449347,ok,1109932.94696954,-0.08093415079129018
30,1147742.547359751,0.00733325272310363,740095.9027689812,2371801.079875001,0.15601980896475218,1090007.736676945,ok,1480191.8055379624,-0.07954545838304927
31,1079248.1146650028,0.008457615835261983,786416.3676447417,5566957.7019791845,0.0706325078925202,1051474.8345177658,ok,1572832.7352888018,-0.08220108796801195
32,1054403.9733977919,0.008779368671791648,640586.583417757,2471910.002385128,0.12957320104689485,1012902.5463172257,ok,1281173.166835514,-0.08041796478436591
33,1007340.1987973526,0.009128798599802146,526647.7707066344,3904369.4831023146,0.06744338272618773,989580.7452165221,ok,1053295.5414132683,-0.0818367575292358
34,987889.0026803452,0.013052819864990704,433930.93358300795,611665.5897348278,0.35471255933420076,910928.6266675913,ok,867861.8671660159,-0.08102765007284418
35,920385.6823010747,0.005601560866273381,1350952.507666191,10238947.817772646,0.06597125660320408,875823.6650300806,ok,2701905.015332382,-0.08670804196319937
36,871803.0344541882,0.014630551375921019,576518.0435487011,4203740.487224546,0.06857203070703088,852036.5279614988,ok,1153036.0870974022,-0.08420336013134122
37,856469.5477605143,0.01082090325371138,555611.9494156665,3141768.6105801747,0.08842343569551808,831904.9890201056,ok,1111223.8988308944,-0.08530081050822425
38,830071.9672609783,0.01777722457064292,432749.76763535565,1894720.4153744518,0.11419884541377882,805362.2053524589,ok,865499.5352703568,-0.08390809160085055
39,809136.7576727066,0.011047124948941093,686729.2963250835,6084275.453394759,0.05643476380921565,789759.0548532191,ok,1373458.5926501479,-0.08632226828835465
40,788113.3124331713,0.017643437448044617,497231.372979806,31556657.34330212,0.007878391040763115,786154.6208361362,ok,994462.7459596116,-0.08452995804565555
41,785484.6172837885,0.03443485110992947,145999.4754550375,678810.0989790136,0.10754073611650206,777634.1717522595,ok,291998.950910075,-0.08456568943153897
42,775764.4712728312,0.030314821194335467,154869.96924889303,501307.08475201746,0.15446616850179054,763803.3858898978,ok,309739.9384977225,-0.08498613240150465
43,762643.0137251485,0.015923945724752114,471348.14933267963,8477208.178044816,0.027800906821742778,756091.0607350491,ok,942696.2986653592,-0.08379145733908544
44,758091.3831155354,0.020536030176048863,125070.64308623364,387280.08980280504,0.16147311258618666,747993.6100993903,ok,250141.28617246728,-0.0848809898630396
45,748746.8165456179,0.016417118911964502,340754.9534752891,3054215.4971989556,0.05578436652354722,739242.416935928,ok,681509.9069502876,-0.08472776283880945
46,740359.3300961109,0.013253143510318465,584400.2986054161,31417139.16971126,0.009300660627445459,737641.6756721576,ok,1168800.5972099002,-0.0837698396394857
47,736573.0936117971,0.02603466667285886,86815.48672249193,173142.46630035577,0.2507053543175547,725690.5399322904,ok,173630.97344498386,-0.08468859875291024
48,728926.7989839527,0.012692148688370996,679782.0722035106,28909848.49154789,0.011756928999511227,724930.7242049341,ok,1359564.1444060854,-0.08472181271039281
49,725586.3137893678,0.014453843679730157,529078.5951688258,17196780.755150493,0.015383070898614702,721516.8870191571,ok,1058157.1903376516,-0.08582641929672175
50,721468.591511398,0.021538652476925105,354284.69121029193,5248947.089521113,0.03374816750559159,715490.3619595822,ok,708569.3824205836,-0.08561385686183698
51,713814.6951142492,0.022651124858334277,122407.01904439137,475732.03530682,0.1286512258581092,705940.7885874003,ok,244814.03808878263,-0.08596030404810184
52,704899.8973008703,0.04181061097848645,226194.90116174493,9337886.519705066,0.012111675414154059,703530.0976892664,ok,452389.80232324236,-0.08589012334355228
53,702691.6283630672,0.03519056601894575,71081.44936418283,144019.10467022238,0.24677784772703057,693920.9648193617,ok,142162.89872836563,-0.08618331830589732
