round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,445048371.0248319,0.00022577301360985686,224592665.76949912,82546095.26746905,1.000000349764869,303001779.71163595,ok,449185331.53899825
1,302435166.8853457,0.00036031715092337474,141051802.0142488,25067524.497988738,1.0000000002871066,186450889.34298286,ok,282103604.02832395
2,187316231.92002305,0.0004268786707362029,116603704.1701214,25120824.96081111,1.0000000520511363,95833349.2564925,ok,233207408.3402428
3,95635208.52149262,0.0005774706035145813,74215702.86072639,18915803.18163056,1.0000000006871272,40335308.81739628,ok,148431405.72145274
4,40379237.922705166,0.000907145253803487,49692824.82363313,24980761.92471972,0.9946218808974673,15666452.47611,ok,99385649.64720523
5,16073060.938953724,0.0008763873327537566,56118636.76436044,244048381.23179495,0.11497440892889896,12846957.393014763,ok,112237273.52872086
6,12879475.93607107,0.0016366971851452471,28114178.92926605,48516136.71078604,0.28974049497036464,8806567.8767456,ok,56228357.858532086
7,8937656.302462816,0.001957075459262456,20478993.658649355,58746011.26737013,0.17430114161660712,7152900.315531896,ok,40957987.3172987
8,7155546.610212473,0.002587466908314327,18335545.170638904,142541362.58250102,0.06431657744265822,6565906.854752096,ok,36671090.34127679
9,6566790.465088963,0.0031966458278208675,1485746.55710176,715456.7560977325,1.0000114035356495,5796500.038887391,ok,2971493.11420352
10,5746781.644281759,0.0035430728113841,1253388.4703196078,950323.9264984137,0.6594532850171798,5333506.072204297,ok,2506776.9406392155
11,5347813.0507876985,0.004085961076756079,1206489.5682778216,747533.4763366345,0.8069802935049473,4861006.397827952,ok,2412979.1365540302
12,4906588.732083789,0.0040553539900575,1035825.5844804272,374248.22407271614,1.0000000813098646,4245011.3483133875,ok,2071651.1689608542
13,4233957.925334575,0.005099568280964763,839454.4350316711,355148.8690275567,1.000000995482251,3749652.2307576127,ok,1678908.8700633422
14,3793277.791773715,0.004668946154620556,837848.1056301987,420439.70353819244,0.9963950818385177,3375863.9258848904,ok,1675696.2112603579
15,3389667.930849913,0.004928102408032186,815685.6664795706,590093.9343180073,0.6911490010673366,3107787.7640637634,ok,1631371.332958159
16,3092109.28912627,0.006891928982188964,632119.0481040318,575911.3788477952,0.5487988875725023,2918656.173919829,ok,1264238.0962080637
17,2951275.601885483,0.0073413120938593006,439080.09237808286,159612.01977178451,1.000000074173712,2671807.520389017,ok,878160.1847561656
18,2666355.1241714996,0.008702942621459455,544778.6763565722,805444.0344944103,0.3381853071259869,2574237.0521818316,ok,1089557.3527127528
19,2574455.574857606,0.008268677745238059,498978.42959031806,274646.8643547644,0.9084000117070008,2347819.5692169135,ok,997956.859180636
20,2359539.3537971126,0.005753861985754909,751333.4517476275,1476528.4241379942,0.2544256647772495,2263960.097331975,ok,1502666.903495233
21,2259786.1907287845,0.007929089959708579,481052.37596958934,233849.81504171144,1.0000000255727564,2012583.6294594402,ok,962104.7519391786
22,2019790.8065933604,0.007420138878138462,649845.4985792941,959038.344680325,0.33880058194957063,1909706.7900453734,ok,1299690.9971585337
23,1923571.4897734197,0.009585795770683218,479268.89683587267,604555.9014098416,0.39638095974102966,1828584.9571225059,ok,958537.7936717452
24,1821839.5110579252,0.008747226243189032,485057.3431580997,1486579.2557670213,0.16314547013769123,1782272.0569112916,ok,970114.6863154508
25,1767953.7228688344,0.012136177891791038,387957.19858182,453520.7786261509,0.42771711558294806,1684985.755895306,ok,775914.3971631317
26,1687532.8310286093,0.009633201325762614,469340.3624679712,1383912.055184945,0.16957015466031508,1647739.7721025983,ok,938680.7249359423
27,1648421.3346249869,0.020398874061013324,554209.1125825844,8803342.209367568,0.031477199193327664,1639698.8593092272,ok,1108418.2251651688
