round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,445048371.0248319,0.00022577301360985686,224592665.76949912,82546095.26746905,1.000000349764869,303001779.71163595,ok,449185331.53899825
1,302435166.8853457,0.00036031715092337474,141051802.0142488,25067524.497988738,1.0000000002871066,186450889.34298286,ok,282103604.02832395
2,187316231.92002305,0.0004268786707362029,116603704.1701214,25120824.96081111,1.0000000520511363,95833349.2564925,ok,233207408.3402428
3,95635208.52149262,0.0005774706035145813,74215702.86072639,18915803.18163056,1.0000000006871272,40335308.81739628,ok,148431405.72145274
4,40379237.922705166,0.000907145253803487,49692824.82363313,24980761.92471972,0.9946218808974673,15666452.47611,ok,99385649.64720523
5,16073060.938953724,0.0008763873327537566,56118636.76436044,244048381.23179495,0.11497440892889896,12846957.393014763,ok,112237273.52872086
6,12879475.93607107,0.0016741046895097738,8738222.42396636,5528223.650107771,0.7903282299184847,9426444.005587397,ok,17476444.84793272
7,9391665.44775018,0.0023065035257625113,6303074.314732395,5700838.880281231,0.5528198960800532,7649433.003922571,ok,12606148.62946479
8,7690461.449406626,0.002827652469579242,4538684.932234959,2735448.3372991774,0.8296053100962952,5807802.889088543,ok,9077369.864469917
9,5798787.227549301,0.0028327843208008473,5835395.019415598,16686138.852151452,0.17485755905307007,5288605.762946574,ok,11670790.038831197
10,5279374.985728115,0.00389061698541412,3332365.535371596,4452525.7155573005,0.3742107006511135,4655871.5648196,ok,6664731.070743191
11,4652116.299319679,0.003145027040596904,3374562.6762270425,6449284.74260759,0.26162301797072085,4210684.663476744,ok,6749125.35245408
12,4176767.9850225677,0.0052500155582213175,2647662.636632587,1944808.7204098979,0.6807000114835334,3275635.991442405,ok,5295325.273265174
13,3311231.372395705,0.0026953110012401236,5042820.348364203,24354897.641232148,0.10352784936009857,3050195.1997079607,ok,10085640.696728198
14,3045693.1044735285,0.0045136356999331256,2899399.330455858,5307365.390376507,0.27314864506155406,2649709.605170331,ok,5798798.660911538
15,2657236.227777104,0.0059540660394977315,1805917.0349335745,4403477.704330428,0.20505577139150905,2472079.3724434185,ok,3611834.0698656924
16,2490092.7780835307,0.006852512702899937,1643278.3879965409,3762755.621161797,0.21836103024532302,2310678.7971921316,ok,3286556.775991601
17,2284183.3341953405,0.006574363530540052,1650053.773709471,5479675.749956523,0.15056126028283362,2159966.246343269,ok,3300107.5474176006
18,2152287.447855198,0.009497513906974713,1050625.7557990302,1448895.73173041,0.36256085679273564,1961829.5607596918,ok,2101251.5115980604
19,1965156.5396170209,0.006369352334623126,1829896.8307790605,7468015.5193978315,0.12251560177037571,1853061.083916721,ok,3659793.6615581205
20,1869961.6530629832,0.010969045210153681,1068330.969706373,2232026.3936146195,0.2393186238215314,1742125.9043349575,ok,2136661.939411472
21,1765888.5523190326,0.00883960208637989,1490674.0253839488,3502719.828126996,0.21278807591371857,1607289.7234810286,ok,2981348.050767895
22,1606672.2784955886,0.012767465886181545,421295.92526982434,1109767.4425855908,0.18981270719578347,1566688.6184425796,ok,842591.8505396446
23,1560132.603894775,0.012271730734774198,1164839.7731855544,4892118.417324347,0.1190526959711905,1490793.94620867,ok,2329679.546370286
24,1483351.935696968,0.013619062375979802,889951.3963601284,4281471.100144206,0.10393056212970277,1437105.3612510571,ok,1779902.792720256
25,1432287.1575487119,0.013411968530258089,778662.9500033003,1167186.7446831297,0.3335639963143573,1302420.194856198,ok,1557325.9000066004
26,1296390.0489951342,0.006582839676539863,1999817.506359222,17273328.771469574,0.057887438281795704,1238507.8927580223,ok,3999635.0127184438
27,1243089.9772580664,0.01138923314099755,1077325.2997243807,5636344.842641421,0.09556949847833496,1191610.2579617258,ok,2154650.5994487614
