round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,446320807.0,0.0001353713588646662,223491377.5,82349136.93148051,1.0001083426077453,305172197.59993917,ok,446982755.0,-0.1924795119707996
1,304277180.0,0.00022025779197600885,143291752.00007156,23856017.847712617,1.0000000043180013,184841445.43492773,ok,286583504.0,-0.08883906028601452
2,184133683.0,0.00027522711527172377,111184265.0,28385465.46464242,1.000001230684216,101334816.49905403,ok,222368530.0,-0.01456827894020929
3,101683466.0,0.0003570336577526943,83646305.0000476,24376975.973278932,1.000002916420048,42414035.21268071,ok,167292610.0,-0.0460647470068829
4,42784621.0,0.000553092943399362,53118765.500001736,34614075.77980635,0.7673000694560059,22405604.77121569,ok,106237531.0,0.012906144624607041
5,22699931.0,0.0004623153366541467,56928463.50000001,101892753.71707463,0.2793548187836455,14748310.697663061,ok,113856927.0,-0.05140535590270057
6,14702383.0,0.0010380867927488266,26025454.5,40651921.296759374,0.3201011621322146,10536993.884765463,ok,52050909.0,-0.03116940950260405
7,10779578.0,0.0008350703341351706,29925146.000014525,116585742.22652057,0.12833964697789282,8859286.663298117,ok,59850292.0,-0.04073688900813455
8,8842715.0,0.001390145954343525,5452693.0,1965224.112329886,1.000004443105636,5355239.348874342,ok,10905386.0,-0.03854773255412791
9,5269276.0,0.0018356587594020306,3828537.000000001,3300862.0228145225,0.5799298749142427,4159134.5082427245,ok,7657074.0,-0.08825347923649751
10,4271853.0,0.002244566878146146,3746311.0,7019970.604472901,0.2668323851394029,3772034.450198009,ok,7492622.0,-0.0778746635389842
11,3746614.0,0.002256776842119944,2509642.5000000023,1086384.1646136662,1.0003882160446695,2323225.048386337,ok,5019285.0,-0.07787466453385106
12,2317224.0,0.002367897634937868,3142271.500000001,6260872.5375209,0.2509451742683327,1922955.0654170422,ok,6284543.0,-0.09236120328022768
13,1937915.0,0.004459936660638063,2119638.5,3943935.830137966,0.26872122053845016,1653119.077589855,ok,4239277.0,-0.09569968456651168
14,1669108.0,0.004317779132503448,1546498.0000000002,2555192.462463545,0.30261869168731237,1435108.3992714775,ok,3092996.0,-0.094101674992916
15,1447929.0,0.004434553882850027,2048060.0,5642949.184713688,0.18147071087827937,1262097.5479393154,ok,4096120.0,-0.09309725990027928
16,1252480.0,0.004861059159250628,1427810.5,2680388.650223751,0.26634393110879845,1062335.6692757905,ok,2855621.0,-0.09894114338790816
17,1048100.0,0.005779567030058848,1122569.0,1777066.6937636952,0.31584886598219963,870818.9271816141,ok,2245138.0,-0.09814635832064278
18,855452.0,0.005525026889949913,1426275.5000000002,8290382.390664436,0.08601988622419206,794107.9718828237,ok,2852551.0,-0.10279483337593476
19,799426.0,0.006797912589939895,819262.5000000002,1110130.069805583,0.3689939234523562,648274.5578938071,ok,1638525.0,-0.10299673357948924
20,629557.0,0.005991559689908809,1370287.0,9286770.304390647,0.0737762943997952,579009.651437894,ok,2740574.0,-0.11211248259073958
21,581524.0,0.009294885744063943,835588.5000003289,2103940.704258856,0.1985770079710201,498559.667887471,ok,1671177.0,-0.10985846085007367
22,512436.0,0.009302345744146866,928731.5000002938,6716851.928579791,0.06913443305550614,480332.3371433449,ok,1857463.0,-0.10846891796720382
23,485145.0,0.01206078057738017,455270.0,1138783.7632270847,0.19989308536936642,439642.33751194424,ok,910540.0,-0.11086132277429828
24,436008.0,0.00912833533907751,820303.5000003609,4370618.4432068765,0.09384295502565941,397518.14777103753,ok,1640607.0,-0.11124934686999133
25,401863.0,0.009788652507758048,487438.0000000007,1004309.7931262747,0.24267312901663288,342718.9476691951,ok,974876.0,-0.11271783585118866
26,340520.0,0.011737012715361024,639926.5000002909,3373102.835669025,0.09485724734410109,310169.16685371374,ok,1279853.0,-0.11938398881482737
27,307551.0,0.01615348864127317,383374.50000000006,1113712.5546480217,0.17211555100102197,274558.64334637934,ok,766749.0,-0.11732512924574223
28,273416.0,0.012528550234076636,639500.5,8061853.661229709,0.03966212529231486,260734.025522251,ok,1279001.0,-0.11954433874588011
29,260874.0,0.01497945290353111,436687.50000000006,2056660.6226659205,0.10616420988163554,237693.70829865662,ok,873375.0,-0.1175402294801211
30,239125.0,0.014146359817627227,439823.0,2135842.8567545405,0.10296239693128,216482.38484724684,ok,879646.0,-0.11830499974403708
31,223387.0,0.014393450570917562,364987.50000016217,1691066.5754421235,0.1079163603907012,203692.93870594073,ok,729975.0,-0.11738392547680654
32,204475.0,0.012557203673705745,645526.0,15408930.916624054,0.02094648887365602,197714.24841167216,ok,1291052.0,-0.12003461603869114
33,201013.0,0.019098354106049934,388759.50000014645,5278520.440166119,0.036824665586396015,193855.03070948002,ok,777519.0,-0.11838035732163554
