age,education,employment,income,marital,children,housing,vehicle,health,region
33,vocational,employed,high,married,2_plus,owned,1,fair,urban
39,high_school,student,low,single,0,rent,0,fair,suburban
46,high_school,unemployed,low,married,2_plus,owned,1,fair,urban
42,bachelor,employed,high,married,1,owned,2_plus,good,urban
81,high_school,retired,middle,single,0,mortgage,1,poor,urban
60,vocational,self_employed,low,married,2_plus,rent,0,fair,urban
51,bachelor,employed,middle,married,1,owned,2_plus,fair,rural
56,postgraduate,retired,middle,married,2_plus,rent,2_plus,good,urban
42,vocational,employed,low,married,2_plus,mortgage,0,good,suburban
83,vocational,retired,middle,single,0,rent,2_plus,poor,urban
78,postgraduate,retired,low,married,2_plus,rent,0,good,urban
27,high_school,employed,low,married,0,mortgage,0,good,rural
45,bachelor,employed,middle,married,2_plus,owned,1,poor,urban
48,bachelor,employed,middle,married,1,rent,2_plus,fair,suburban
48,postgraduate,self_employed,middle,married,2_plus,owned,1,poor,rural
43,high_school,employed,low,married,1,rent,0,good,urban
49,bachelor,employed,high,separated,1,mortgage,1,good,urban
80,postgraduate,retired,middle,married,1,owned,1,poor,suburban
44,postgraduate,employed,middle,married,1,mortgage,2_plus,poor,urban
22,high_school,retired,low,single,0,rent,1,good,rural
42,high_school,employed,middle,married,2_plus,owned,1,good,rural
57,postgraduate,employed,middle,married,2_plus,owned,1,poor,suburban
62,vocational,employed,middle,married,2_plus,rent,1,good,suburban
21,vocational,retired,low,married,2_plus,rent,1,poor,urban
33,vocational,employed,middle,single,2_plus,mortgage,1,good,urban
32,high_school,employed,low,separated,1,owned,0,good,suburban
47,high_school,employed,low,married,1,rent,0,good,suburban
41,high_school,employed,middle,single,0,mortgage,0,good,suburban
52,high_school,employed,low,married,0,owned,0,fair,urban
45,bachelor,employed,high,married,0,owned,1,fair,rural
27,high_school,employed,middle,single,0,rent,1,good,urban
21,vocational,employed,middle,married,2_plus,owned,1,good,urban
20,bachelor,employed,low,single,0,rent,0,good,urban
76,vocational,employed,middle,married,0,mortgage,1,poor,urban
29,postgraduate,employed,middle,single,1,mortgage,1,good,urban
54,high_school,unemployed,low,married,2_plus,owned,1,fair,urban
36,postgraduate,employed,low,married,1,mortgage,0,good,suburban
27,bachelor,self_employed,middle,married,2_plus,mortgage,2_plus,good,urban
29,postgraduate,self_employed,low,single,2_plus,rent,1,good,suburban
29,postgraduate,self_employed,middle,single,0,mortgage,2_plus,fair,rural
40,vocational,employed,middle,married,0,mortgage,1,good,urban
84,postgraduate,retired,low,separated,2_plus,rent,1,fair,urban
84,bachelor,retired,middle,single,0,rent,1,good,urban
30,bachelor,employed,middle,married,1,rent,0,good,suburban
58,bachelor,unemployed,low,separated,1,owned,1,fair,urban
44,bachelor,self_employed,middle,separated,2_plus,owned,1,good,suburban
56,high_school,employed,middle,single,0,owned,1,fair,urban
29,bachelor,employed,middle,married,1,mortgage,0,good,suburban
31,high_school,employed,high,married,0,rent,1,good,urban
35,high_school,employed,low,single,2_plus,rent,0,good,suburban
65,postgraduate,retired,low,single,1,mortgage,1,good,suburban
35,vocational,employed,low,separated,2_plus,owned,0,good,urban
30,vocational,employed,high,married,0,owned,0,good,suburban
38,high_school,self_employed,middle,separated,0,rent,2_plus,good,urban
58,vocational,employed,middle,married,2_plus,mortgage,1,good,suburban
