age,education,employment,income,marital,children,housing,vehicle,health,region
75,bachelor,retired,middle,married,0,owned,2_plus,poor,rural
42,postgraduate,employed,middle,single,0,mortgage,2_plus,fair,rural
80,postgraduate,retired,middle,separated,0,rent,2_plus,fair,suburban
49,high_school,employed,middle,married,2_plus,owned,1,good,suburban
35,high_school,employed,low,married,2_plus,rent,1,good,urban
26,bachelor,employed,middle,single,1,mortgage,0,good,urban
47,vocational,employed,high,married,1,mortgage,1,good,urban
34,postgraduate,employed,middle,single,1,mortgage,1,good,urban
27,vocational,unemployed,low,married,1,mortgage,1,fair,urban
54,vocational,self_employed,middle,single,1,mortgage,2_plus,fair,urban
63,vocational,employed,middle,married,2_plus,owned,1,fair,urban
41,bachelor,employed,high,single,0,mortgage,2_plus,good,urban
71,high_school,retired,middle,married,2_plus,owned,2_plus,poor,suburban
62,vocational,employed,low,single,1,mortgage,0,fair,urban
53,high_school,employed,high,married,2_plus,owned,1,good,urban
41,bachelor,employed,middle,single,1,mortgage,0,poor,urban
78,high_school,retired,low,married,2_plus,owned,0,fair,suburban
58,postgraduate,employed,middle,separated,2_plus,mortgage,0,good,urban
36,high_school,employed,middle,married,2_plus,mortgage,0,good,urban
35,bachelor,employed,low,married,2_plus,rent,0,good,suburban
62,vocational,retired,middle,single,0,owned,2_plus,good,rural
80,bachelor,retired,low,separated,2_plus,owned,0,poor,suburban
62,high_school,unemployed,low,separated,2_plus,owned,0,good,rural
21,vocational,employed,middle,single,0,rent,1,good,suburban
23,vocational,student,low,single,0,rent,0,good,suburban
28,bachelor,student,low,married,1,mortgage,0,fair,urban
41,bachelor,self_employed,high,single,2_plus,mortgage,1,good,rural
46,bachelor,employed,high,separated,2_plus,mortgage,2_plus,good,suburban
51,bachelor,employed,high,single,2_plus,owned,1,good,urban
20,high_school,employed,middle,separated,0,rent,0,good,suburban
68,high_school,retired,middle,married,0,owned,2_plus,fair,suburban
41,postgraduate,employed,middle,married,2_plus,owned,0,good,urban
34,vocational,employed,middle,single,0,mortgage,1,good,rural
26,vocational,employed,middle,married,0,owned,0,good,suburban
40,high_school,employed,middle,married,1,owned,1,good,urban
41,bachelor,employed,low,married,2_plus,mortgage,0,good,urban
84,bachelor,retired,middle,married,1,owned,2_plus,fair,rural
53,vocational,employed,middle,married,2_plus,mortgage,1,poor,urban
42,bachelor,employed,middle,married,1,rent,1,poor,suburban
27,bachelor,unemployed,low,separated,0,rent,1,poor,urban
50,bachelor,employed,middle,married,2_plus,rent,1,good,urban
61,vocational,unemployed,low,married,0,rent,1,fair,suburban
25,bachelor,employed,high,married,0,rent,2_plus,fair,urban
39,postgraduate,employed,middle,married,0,mortgage,1,good,urban
29,bachelor,employed,low,single,0,rent,1,good,suburban
75,bachelor,retired,low,separated,2_plus,owned,0,fair,suburban
51,bachelor,retired,low,married,2_plus,mortgage,0,good,suburban
49,postgraduate,employed,middle,married,1,mortgage,0,good,urban
61,bachelor,employed,middle,married,2_plus,mortgage,1,good,suburban
64,high_school,employed,middle,separated,0,mortgage,0,good,urban
25,bachelor,self_employed,middle,separated,0,rent,0,fair,suburban
23,high_school,student,low,single,0,rent,2_plus,good,urban
39,bachelor,employed,middle,married,1,mortgage,1,fair,suburban
43,vocational,employed,middle,married,1,mortgage,1,good,suburban
48,postgraduate,employed,middle,single,2_plus,mortgage,2_plus,good,urban
39,high_school,employed,low,single,0,owned,1,fair,rural
32,high_school,employed,middle,single,1,owned,1,good,rural
37,bachelor,employed,high,single,0,owned,2_plus,good,suburban
28,bachelor,employed,middle,single,0,mortgage,0,fair,urban
64,high_school,employed,middle,separated,2_plus,owned,1,good,suburban
41,high_school,employed,middle,single,0,owned,1,good,rural
30,high_school,student,low,single,0,rent,0,good,urban
27,bachelor,unemployed,low,separated,1,rent,1,fair,suburban
66,bachelor,employed,middle,married,1,owned,1,poor,suburban
41,vocational,employed,middle,married,0,rent,1,good,rural
31,vocational,employed,low,married,0,rent,1,good,suburban
74,vocational,retired,low,separated,1,rent,0,fair,suburban
46,postgraduate,employed,middle,single,2_plus,mortgage,1,good,urban
28,high_school,student,low,married,1,mortgage,0,good,urban
44,high_school,employed,middle,single,1,rent,1,good,urban
46,vocational,self_employed,high,married,0,owned,2_plus,good,rural
84,high_school,retired,low,separated,2_plus,owned,1,fair,suburban
41,postgraduate,employed,low,separated,2_plus,mortgage,0,fair,urban
18,high_school,student,low,married,0,rent,0,good,urban
32,postgraduate,student,middle,married,0,mortgage,2_plus,good,rural
42,vocational,employed,middle,married,1,rent,1,good,suburban
63,bachelor,employed,middle,separated,2_plus,owned,1,fair,urban
29,postgraduate,employed,low,married,2_plus,rent,0,fair,urban
40,postgraduate,unemployed,low,married,1,rent,0,poor,urban
50,high_school,employed,middle,married,2_plus,owned,0,fair,rural
41,high_school,employed,middle,single,0,rent,1,good,suburban
59,postgraduate,self_employed,middle,separated,2_plus,rent,0,good,urban
61,bachelor,self_employed,middle,separated,0,mortgage,1,good,suburban
62,postgraduate,employed,middle,separated,2_plus,owned,0,fair,urban
53,high_school,employed,middle,married,2_plus,mortgage,1,fair,urban
78,bachelor,employed,middle,separated,2_plus,owned,0,poor,urban
81,bachelor,retired,low,married,1,owned,0,poor,suburban
53,high_school,employed,middle,single,2_plus,rent,1,good,suburban
28,bachelor,employed,middle,single,0,rent,2_plus,fair,rural
47,postgraduate,self_employed,low,married,2_plus,rent,0,good,urban
43,postgraduate,self_employed,middle,married,2_plus,owned,2_plus,good,urban
30,high_school,employed,middle,married,0,rent,1,good,urban
31,postgraduate,employed,middle,married,0,owned,1,good,rural
57,vocational,retired,low,single,2_plus,mortgage,1,fair,rural
64,vocational,employed,high,married,2_plus,owned,1,good,suburban
