round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,4572640879.0,4.3966695496019695e-05,866579613.0005513,131284016.62467213,1.0000488944698538,3837315750.112,ok
1,3841206337.0,6.14512912878178e-05,611483270.0003839,114675801.64980946,1.0000165019140335,3344392562.77674,ok
2,3346201539.0,9.377688857235822e-05,391868396.5002423,98182326.09235884,1.0000163677240501,3052512268.6670823,ok
3,3051266825.0,0.00016840633818719633,211390661.00000003,52115129.89667124,1.0000551534404358,2891985383.7903953,ok
4,2892030535.0,0.00020512699984965522,165240504.50006586,38290810.73512419,1.0000000000008051,2765080841.234987,ok
5,2765130010.0,0.00017427906137393401,199099712.0001092,26468649.63812493,1.0000020537768681,2592498647.453145,ok
6,2592125835.0,0.00018358748551716055,179454978.5000001,21705097.033059742,1.0000000001192462,2434375953.5168366,ok
7,2434395368.0,0.00016980474554370006,196945454.5,12822363.83905355,1.0000000022080475,2250272276.9608135,ok
8,2251407080.0,0.0001720332664542683,187569152.50000173,8461064.18612345,1.0000000005495955,2072298991.592335,ok
9,2071757994.0,0.0001699211142012801,187705493.00000006,6706640.208635775,1.0000000000078095,1890759141.2072744,ok
10,1890700756.0,0.0001683413584814673,186483843.5,6362189.39737748,1.0000000003151892,1710579101.8426104,ok
11,1710314366.0,0.00016920373956283527,182781416.5,6895540.876734872,1.000000000143637,1534428490.3524616,ok
12,1534708406.0,0.00017264673983034855,176543768.00000373,7170249.804999777,1.0000000009665901,1365334887.648212,ok
13,1363792737.0,0.00017909972578674093,168091521.50006858,7171862.998220052,1.0000000021478812,1202873078.1679194,ok
14,1203156042.0,0.00018952649441111036,157800683.0,7204574.9648041045,1.0000000104420463,1052559932.4675031,ok
15,1053108786.0,0.00020099858880352447,148645235.50000003,7322933.888933806,1.000000000286579,911786484.3505324,ok
16,911992177.0,0.00021448153990530797,136897556.0,7302739.622120013,1.0000000018641595,782397360.3941481,ok
17,781516865.0,0.00023637830233322264,122572253.00000001,7151562.185904374,1.0000000004221028,666096174.1402036,ok
18,666376656.0,0.0002620303689782066,111091493.00004724,7059055.275685145,1.000000001408853,562344218.1390166,ok
19,562721416.0,0.00029023983298790085,97410498.50000001,7016578.2713188445,1.0000000005216276,472327495.7278269,ok
20,472125534.0,0.00033132928270924935,86291188.00000025,7128955.998062556,1.00000000161182,392963301.8819576,ok
21,393384315.0,0.0003764794500334562,73326759.00000095,7198770.4099364355,1.0000000035584697,327256326.20023763,ok
22,327165615.0,0.00042267720023313486,66418137.00000185,12604188.675274331,1.0000000123681199,273351666.1655852,ok
23,272437736.0,0.00032533170864918495,85786144.5,382179043.9745437,0.11223292570917896,267623721.0087273,ok
24,267190567.0,0.0004916703741408656,56832888.00002723,14336024.75157892,1.0000000189547757,224693703.2177693,ok
25,223911167.0,0.0003972274444239695,78078746.50000194,212433816.1182984,0.18377193407033202,216736825.87295374,ok
26,215935359.0,0.000517189651307338,53002919.50002593,41571676.92278177,0.6374883505238118,199040987.13749105,ok
27,199276604.0,0.0002015535182132645,97459152.5,424879604.27131236,0.11469031640992373,193687793.48136598,ok
28,193999866.0,0.0006131085308236592,45607634.50000129,19072933.03755745,1.0000001905296065,167465163.11586905,ok
29,167510426.0,0.0003519130569224095,76978334.5000364,132209020.69252372,0.2911236090276457,156305320.72170603,ok
30,156194101.0,0.0006862462782147382,40888551.00000001,31293718.210308857,0.6533028565862524,142837797.41501367,ok
31,143159277.0,0.00039196498924732757,77312436.00000004,227824233.43099105,0.16967561974353865,136600259.25390866,ok
32,136504074.0,0.0007593598529839354,36084564.00000001,20521718.811847623,0.8791798662392651,120641662.9245889,ok
33,120696340.0,0.00041715997001798565,81102851.00004148,234381268.98844612,0.1730147877218795,113680343.72529429,ok
34,113516520.0,0.0008644462915115009,30075570.5,19442549.517696965,0.7734471878964398,101885587.28619695,ok
35,102522417.0,0.00032328788980456186,94300839.50000007,679286357.9931217,0.06941169831424389,99249626.28892304,ok
36,99529160.0,0.0007295815005997782,45348773.50002641,228727313.03728396,0.09913283397998533,97281383.78271295,ok
37,96984882.0,0.0009680723481738103,27152942.5,18589953.1243691,0.7303122906858193,87069818.18198232,ok
38,86710578.0,0.0003469267828409736,82928383.50004314,654984613.7203974,0.06330559662233834,84085662.60280184,ok
39,84055343.0,0.0008068239275323856,38878262.00000001,169026813.9073177,0.11500619665385779,81819722.4774339,ok
40,81873510.0,0.0009999303181772077,25023830.5,49973747.878418215,0.25036975974746584,78740904.78487684,ok
41,78742119.0,0.0005910757850712797,39833913.00000001,533514393.6732323,0.03733161979543287,77998586.75245982,ok
42,78046694.0,0.001224869356760685,20965627.500011373,8011308.495215409,1.000001397803909,65092368.085860275,ok
43,64585593.0,0.0004271512430349737,63143500.50000002,519156363.8354716,0.0608135668736704,62665602.25485281,ok
44,62797078.0,0.0009525170273687588,31298359.00000038,115118581.5104846,0.13593964844480746,60669734.040320285,ok
45,60855264.0,0.001372552958981061,19510281.5,34952993.52957272,0.2790931409564808,58132671.12760994,ok
46,58051344.0,0.0007489215353736789,30529512.00001332,255795152.22548494,0.0596757048255187,57140408.92671003,ok
47,57116700.0,0.001395422945729273,17466180.500000007,25986975.88169546,0.3360564264867526,54181888.8983987,ok
48,53746153.0,0.0005274604936589192,40574288.5,575738407.5666701,0.03523673943474192,53031300.18418773,ok
49,53021850.0,0.0015184811779773936,17110375.500000004,39201427.27469044,0.21823663944816302,51154794.57559191,ok
50,50772138.0,0.0011702495120472023,19721345.0,79184503.02209787,0.12452780687716383,49544210.079241045,ok
51,49717305.0,0.001371724650855148,18817786.5,167799593.96390662,0.05607220510929148,49189727.60783457,ok
52,49173523.0,0.0016581567636978004,14333943.0,9026148.890663743,0.7940231860581431,43482781.45518209,ok
53,43695436.0,0.00026896796443673707,79918926.00000004,665287334.1925673,0.060063465733189145,41295332.16338286,ok
54,41304002.0,0.0010692824878873297,29233513.500000015,380564374.50262856,0.038408105774753884,40742600.06066215,ok
55,40715006.0,0.001730563298312245,15245957.500007348,30641173.70916066,0.2487822047014036,38818544.540182136,ok
56,38922486.0,0.0013528139435723,21873201.500011556,143733758.70656413,0.07608929765994019,38090327.73014488,ok
57,38132076.0,0.0015760023917066265,14950831.0,46536695.92554773,0.16063485710200892,36931263.69937936,ok
58,36739244.0,0.0013610150682380716,18456800.0000076,322310555.70914465,0.028632012934542466,36475016.33183476,ok
59,36481288.0,0.0021037686581760633,11496861.500000054,8175899.081861045,0.7030946312379796,32439597.20163167,ok
60,32482164.0,0.0008864261015627979,32706551.000000093,132847703.01052041,0.12309791685826142,30469109.85214075,ok
61,30400593.0,0.0017620301422791728,14011222.50000001,37609775.54326099,0.18627101993580727,29095650.647188734,ok
