round,beta_used,J_used,beta_best,J_best
0,3.737647660514894e-05,626846266.7987471,0.000292352867647942,1214964770.6071298
50,0.00098283359641135,4297553.553388953,0.01194728115473203,10243448.467466554
100,0.0023246248763742704,1037731.2232542038,0.00484729118791259,1441642.3812880039
150,0.0037476639256952132,505880.24366110563,0.0050804658287827795,583576.338932006
200,0.005728774593815752,86359.78668522835,0.004432224807854899,87850.36759309565
250,0.00494045459583376,20278.577722668648,0.0031233542631103777,26483.10233316993
300,0.007641154832162938,83928.26217401028,0.007778171008824919,82673.39147588437
350,0.008266475137639263,47532.54205793142,0.007531289278713235,49102.74444494789
400,0.008650305904261411,21027.879867851734,0.007587400163922363,21971.647486454312
450,0.010475349829170092,18525.77191489935,0.005958083628069851,19153.92444333702
500,0.0033693380377995434,14441.314948499203,0.00779856629049388,15470.240848490614
550,0.011450675578343898,14037.405397891998,0.007539164917915804,16079.474611594025
600,0.007353137520550598,9479.372067451477,0.008913788852069025,9067.939085723166
650,0.005987919073262823,4751.782811224461,0.03292538485765087,5707.742789247788
700,0.015211323603492163,12927.334792673588,0.012322562934437894,12823.198648701247
750,0.0181790761311248,2248.3632113337517,0.012946885358003467,3255.0610701804653
800,0.01362224099507656,5654.215164899826,0.010615475979031203,5710.0708235856955
850,0.019739283324106693,17839.680113315582,0.024474921274220466,14591.515224713437
