round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,4953629453.919689,4.26028596026188e-05,896669843.2246783,142963640.5387753,1.0002902512938012,4199745994.459032,ok
1,4201505759.3611794,6.048893165940989e-05,621669549.4999273,118406572.6501457,1.000084523450091,3698210253.966247,ok
2,3696862571.1626472,9.388599698296018e-05,392313352.203857,100057996.06203702,1.0000538985752436,3404596856.1476274,ok
3,3406055325.7530537,0.00016905055917794257,211001319.9245894,51074814.919602625,1.0000008464146448,3246128728.614439,ok
4,3245766379.6520977,0.00020330964048291948,166607796.27088234,38289964.38206755,1.000000000007545,3117448547.7626033,ok
5,3116906262.3804827,0.00017373459684914293,198448212.44873255,23150801.724973552,1.0000000014908346,2941608851.4298983,ok
6,2939822513.058213,0.00018151296315443126,179690903.37812644,17971852.886584852,1.0000000003765996,2778103462.5125365,ok
7,2777384623.1585736,0.0001713854327681546,193829406.10177684,9127869.266768195,1.0000000000475098,2592683086.315223,ok
8,2592063774.1644025,0.00017003884372302383,189903405.3382642,7272930.695017812,1.000000000034385,2409433299.5151267,ok
9,2407569915.9862113,0.00016775800117279342,188474380.87320212,6548205.153863628,1.00000000119294,2225643740.0576577,ok
10,2223827801.666483,0.00016653664924187346,188435394.0165737,5963966.605677537,1.0000000009419845,2041356374.0893195,ok
11,2040465278.0242853,0.0001696941840542627,181979665.1109879,6617809.189043169,1.0000000000125235,1865103422.1002274,ok
12,1864323226.8036633,0.00017439928137036884,175669337.77118698,6539990.424285039,1.0000000016141362,1695193879.19432,ok
13,1695767278.097145,0.00017715662573485237,168805699.05490196,7091022.78273608,1.0000000008099001,1534052601.6997495,ok
14,1532967522.0991838,0.00018807785856127902,158567831.68049526,7032846.7833721675,1.0000000020975488,1381432536.8989606,ok
15,1380690391.1098137,0.00020021203566863863,147971731.36216623,7256190.142330892,1.000000004117534,1239974849.340455,ok
16,1239624853.965248,0.00021322193728121023,136578310.098293,7569600.648476124,1.000000000528051,1110616144.4513052,ok
17,1108717278.0416908,0.00023641292145329566,123497340.86693145,7115801.101328762,1.0000000293087838,992335735.0736423,ok
18,991857851.8657086,0.00025969505636640866,110545294.330838,6914341.630371226,1.000000000783801,888226899.0894352,ok
19,888622090.927801,0.0002910959799855348,97865253.11342287,6856425.010638317,1.000000064853775,797613257.3674154,ok
20,796766322.9755938,0.0003279949300073416,86637021.60303757,7127927.580516255,1.0000000057323197,717257228.5381604,ok
21,717726922.1710317,0.00037198707010389074,75654347.12392499,8291926.386409824,1.0000000655308492,650364497.562577,ok
22,650357516.9670774,0.0004137148112174664,68660243.73644647,23874517.430632576,1.0000000067857524,605571790.5193652,ok
23,607638361.8134842,0.0002236053905213583,106097519.51293333,213342700.38097504,0.24865514339949416,594447514.8490747,ok
24,594350490.4969555,0.00046447854860549924,60918642.71776029,20510734.38667541,1.0000000024001,553942582.1181154,ok
25,554200308.9059696,0.0003302893907471162,91260383.40534036,189656832.2102537,0.24059345065979232,543221983.6299564,ok
26,542986233.888911,0.0004908293811360183,55787842.12594926,53043337.82640506,0.5258703959065146,528317646.5761395,ok
27,527958307.8044869,0.00023677482371611014,94510055.0350929,552412156.5848815,0.08554306228466467,523915968.04228985,ok
28,523956589.90215623,0.00047695576978894693,15709372.279238194,1530697.453742547,1.0000134868256845,509777744.495873,ok
29,509913959.6288964,0.0005438570608359051,13328772.21821075,626944.6091140558,1.0000039016279476,497212084.9081083,ok
30,497211957.7024611,0.0005836270027127029,12470627.321155488,409153.5791113734,1.0000008597376004,485150473.94247955,ok
31,485391724.1620071,0.0006450924225656574,11286309.011966106,365234.22368409124,1.0000027572077523,474470620.2690824,ok
32,474436667.2532132,0.0006900456700733937,9987004.929834966,270094.8852592767,1.0000002646537822,464719754.7085022,ok
33,464825106.2361834,0.000744561048955917,9504968.503320204,308296.40646856907,1.0000072522772288,455628369.6783834,ok
34,455628179.583339,0.0007851114781653405,8925655.554187912,281657.7272186384,1.0000137791133532,446984066.53079104,ok
35,446859885.70782197,0.0008522176968607771,8082249.952150606,262960.6095328146,1.0000000293545201,439040596.1433918,ok
36,438947638.0182177,0.0008815321536638246,7523328.980736038,209026.2981040458,1.0000074368756555,431633282.4945403,ok
37,431537526.71157265,0.0009652086172609066,6967496.159202559,190881.95533167102,1.0000003323648299,424760910.318836,ok
38,424655313.3478936,0.000994141610619399,6789833.905375096,194407.89523999268,1.0000000039989396,418059887.3121612,ok
39,418140011.94415617,0.0010701101336408182,6174979.040916673,188881.3678100283,1.0000166964765766,412153817.4780159,ok
40,412125085.25188655,0.0011391598241518928,5623001.502586026,153881.89808034076,1.0000000325422473,406655965.4744111,ok
41,406710764.90026295,0.0011901156127128343,5276797.933551868,130854.27974008265,1.0000000164619218,401564821.16389316,ok
42,401599286.0039524,0.001237927759454181,4990174.171048774,160704.58195246817,1.0000185253922358,396769729.9242082,ok
43,396654998.7175959,0.0013191040625044443,4545797.630549762,144739.32800697896,1.0000010150866057,392253936.09452087,ok
44,392234737.45596135,0.001379651669623556,4397807.137212458,162914.24565565662,1.0000007356906901,387999841.56868786,ok
45,388029807.5451797,0.0014636777901219057,4132724.293649856,127186.25773582286,1.0000012535912801,384024264.64739794,ok
46,384007174.7232318,0.0015020259156964886,3961098.708859535,114270.94323510112,1.0000017476669478,380160340.4343415,ok
47,380105936.90120536,0.0015917402844135551,3713085.2669866756,162374.0506624629,1.0000009550230662,376555222.4489412,ok
48,376551164.2096808,0.0016022216797102631,3683941.8031210704,363745.9511293357,1.0000001338945226,373230967.96183664,ok
49,373255775.97983885,0.001653111379343407,3433880.6935990555,482243.6743182735,1.0000004185808837,370304137.9269173,ok
50,370221758.7274654,0.0016139187153252454,3640625.089405773,1789274.878473134,1.0000000263927926,368370408.5148944,ok
51,368157671.6754533,0.0009792310111276167,5071288.123372439,8655327.694144698,0.292957603835332,367414835.46696246,ok
52,367352309.4766547,0.0017975309998102622,3112824.150939796,281652.50236951566,1.0000005167357897,364521136.5106567,ok
53,364467640.3836337,0.0017895083384137306,3218252.4259803947,901200.9941290712,1.000000444581009,362150588.3223223,ok
54,362255922.9833748,0.0013533982765729473,3948584.5765560484,5838688.456865535,0.33813968716835957,361588336.40663755,ok
55,361593903.34375745,0.0019441838016318502,2835781.736260349,559272.4953763302,1.0000012521854378,359317391.95257545,ok
56,359312418.4616175,0.0016476737610954379,3352194.5127216917,2703003.4193020477,0.620086990786581,358273092.35765505,ok
57,358143698.1148893,0.0017135445484675448,3118945.753454307,4167124.030241226,0.3742324119488421,357560092.8188629,ok
