round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,4953629453.919689,6.458478121563971e-05,896669843.2241132,147401177.743562,0.5000017815173602,4542143491.908856,ok,1793339686.448226
1,4541367518.11894,7.67774509682007e-05,751813127.4313942,129524485.0537645,0.5000001000124145,4197842013.4300957,ok,1503626254.862788
2,4195947653.087431,9.227069424730718e-05,622164566.0156653,117109586.70592764,0.5000001558389573,3914142688.0488415,ok,1244329132.0313306
3,3913816640.9877872,0.00011250748803154866,505321369.61984915,108274593.4991343,0.5000002468036349,3688224506.5600653,ok,1010642739.2396982
4,3685609064.745187,0.00014047919516529207,397871249.4849987,97720550.53349957,0.5000000207214864,3511103571.416494,ok,795742498.9699973
5,3514141596.891026,0.00018239089178962228,300108060.34039927,82593459.84632571,0.5000000346019461,3384735924.1559796,ok,600216120.6807985
6,3386979099.454894,0.00024068212041303405,222967874.81968147,55193916.653121434,0.5000000220860421,3289293637.502871,ok,445935749.63936293
7,3290719569.6660104,0.00030288540306918304,175193104.21942404,13869313.556907486,0.5000000000000022,3206590345.9455247,ok,350386208.438848
8,3206950556.6154046,0.00031595172625520167,165961148.40937334,4223519.847551142,0.5,3125025862.372606,ok,331922296.8187466
9,3126053529.327263,0.00030938287011807836,166821544.0349776,3848414.0027627,0.5000000000000001,3043604860.8104644,ok,333643088.06995374
10,3043722368.685898,0.00029757509582759945,171102981.75660044,3937859.2929600477,0.5000000000000002,2959155342.6308374,ok,342205963.5132009
11,2960020817.3735433,0.00029124563714654877,173250462.96581995,4103827.770026006,0.4999999999999999,2874421542.8331394,ok,346500925.9316375
12,2872881113.3712234,0.0002849945457248106,175817729.27656502,3783459.6684772987,0.5000000000000001,2785918113.6500607,ok,351635458.55312866
13,2786861899.0521364,0.000282055548708787,175847432.11975166,4170897.9602342006,0.5,2699980907.482319,ok,351694864.23950326
14,2699314886.900896,0.00027489568387800516,178705265.355216,4623011.4919427,0.5000000000000001,2611118007.096274,ok,357410530.7104314
15,2610606169.574682,0.0002714240959373355,180971905.34219527,4553689.589613205,0.5,2521258639.3009877,ok,361943810.68439054
16,2523225913.4695587,0.00027130869476675075,179182602.0145234,4753850.770976286,0.5000000000000001,2434823075.155041,ok,358365204.0290452
17,2435152666.241475,0.00026747254427311165,180371907.78971833,5028344.899978418,0.5000000000000002,2346223798.5716105,ok,360743815.57927907
18,2347008569.728129,0.0002682914020697891,178061649.98707405,5170532.253468973,0.5,2259270377.7979593,ok,356123299.9741481
19,2257565699.2729826,0.00026913878339516296,177690033.46552774,5292491.266386206,0.5,2170043805.3568153,ok,355380066.9310555
20,2170418944.5251217,0.00026969518751442594,176806842.19450974,5424152.670631644,0.5000000000000033,2083371561.595524,ok,353613684.38886803
21,2084314903.2459273,0.0002749369472928006,172599753.89111388,5537634.348614701,0.5,1999399434.8875241,ok,345199507.7822277
22,1998817491.8044093,0.00027692647298923717,171288440.62794247,5744453.024576388,0.5000000000000003,1914609384.746582,ok,342576881.25588495
23,1912849860.052608,0.00028347221883510444,165874962.45832255,5614084.790512909,0.5,1831315900.021075,ok,331749924.9166451
24,1830811826.4144995,0.00028427038990064426,165109211.6253118,6062072.38375959,0.5,1749772738.6977835,ok,330218423.25049347
25,1749134649.6833174,0.00029295943866805286,160574870.1995012,5913527.30753673,0.5,1670325596.4104512,ok,321149740.3990024
26,1670947754.5719314,0.0002993708352127465,156624664.47873628,6136560.875191038,0.5,1594169562.5513608,ok,313249328.9574725
27,1592235018.3610609,0.0003067158706135908,152872916.3607952,6240024.93665977,0.5000000000000001,1517358566.4148283,ok,305745832.72159034
28,1516001830.958727,0.00031416111458266966,147464259.7142983,6336905.234298445,0.5000000000000008,1443853927.4101522,ok,294928519.42859656
29,1443326941.4025705,0.00032130230257279796,143044779.74797437,6378036.806919934,0.5000000000000002,1373399060.7303133,ok,286089559.49594855
30,1374283145.7040746,0.0003356226895621267,137686817.53323218,6305363.589884899,0.5000000000000013,1307016077.8349295,ok,275373635.06635565
31,1307844154.786378,0.0003494508703575014,131292075.89732535,6268764.767329864,0.5000000000000012,1243765308.0295477,ok,262584151.79464397
32,1244785752.7433312,0.00036394614427912004,126412456.93617265,6211324.456327701,0.5000000000000008,1183132355.3893266,ok,252824913.87234166
33,1184127135.429166,0.0003781525284692076,119648204.19713068,6183246.683418514,0.5000000000000122,1125848845.001454,ok,239296408.39426
34,1127816347.1723976,0.00039251761326818244,116020781.52154481,6163845.450207062,0.5000000000000034,1071346917.7741766,ok,232041563.0430871
35,1070620892.0839319,0.0004113423480152226,110428428.03844559,6245427.105037637,0.5000000000000001,1016968034.8409685,ok,220856856.07689115
36,1014902946.5598537,0.00043721686934366377,103538218.40334804,5898746.451883972,0.5000000000000003,964608523.9711505,ok,207076436.80669606
37,965040623.6616871,0.00046116392643918785,97309566.47471575,5640714.314784098,0.5,917796019.0030253,ok,194619132.9494311
38,918104735.2841188,0.0004814658164372755,92323921.42680159,5675213.840085406,0.5,873361578.0307393,ok,184647842.85360318
39,874395362.4380503,0.0005073622994239635,87566114.05467293,5619951.431334593,0.5000000000000016,832017293.2685473,ok,175132228.10934582
40,831957679.3984773,0.0005432417270478675,81612951.20345856,5525227.036773364,0.5000000000000001,792532510.5559413,ok,163225902.40691712
41,792342823.2907004,0.0005747985670028421,76693451.76611221,5131634.583203727,0.5000000000000026,755279006.0534451,ok,153386903.53222442
42,755868651.0946121,0.0006134514871997414,72273657.39823541,5006691.469681647,0.5,720983495.2629149,ok,144547314.79647082
43,720915443.2925539,0.0006395121145048986,67400808.59483488,4932449.746749274,0.5000000000000003,688448151.4318238,ok,134801617.18966976
44,687540527.9783713,0.0006922247154445631,62253585.44043577,4682501.999795677,0.4999999999999999,657584360.7581024,ok,124507170.8808715
45,657902768.3412699,0.0007350734549113719,59035534.334939435,4672628.294061183,0.5000000000000216,629553158.2473142,ok,118071068.66987887
46,629993311.8045592,0.000778593938623163,55845979.324082926,5585919.322382233,0.500000000000001,603466801.9731133,ok,111691958.64816585
47,603258871.682692,0.0008305123205761638,52126075.49332163,8642095.100326087,0.500000000000001,579356357.7111127,ok,104252150.98664324
48,579310720.3940156,0.00083510673495013,50833156.64603908,23926416.312069234,0.5000000000032085,559875746.1489271,ok,101666313.29207808
49,560397874.655177,0.0004722511347539503,74124241.68390618,436170200.7991302,0.04248584700886219,558035951.2613041,ok,148248483.3677482
50,558129365.8762488,0.0006357700375687456,17136381.321788523,2171116.6792913363,0.5000000054884834,550103954.3030409,ok,34272762.64355845
51,549963839.5203888,0.0007230864475876994,15161621.579164088,992103.7389722826,0.5000000114597409,542631054.5031708,ok,30323243.158328176
52,542631516.1242605,0.0007779914979211748,14328919.54766191,662786.704610796,0.5000000005831338,535632753.0186131,ok,28657839.09532378
53,535745724.7481875,0.0008100324061260576,13600655.612359472,487665.1603258288,0.5000000022241197,529067313.2029243,ok,27201311.22471894
54,528957192.6535569,0.0008579937711940704,12801292.805642575,393862.4980874522,0.5000000000190689,522655011.87502086,ok,25602585.611285064
55,522914613.0253559,0.0008883109899313208,12303717.259260155,342682.0544920835,0.5000000142157583,516848424.7393136,ok,24607434.518520307
56,516659431.93095446,0.0009171163461717442,11737823.008304376,345330.9706066682,0.5000000000045747,510876853.1694018,ok,23475646.016608752
57,510479395.4669415,0.0009549641300267484,11574020.740532393,293395.2769792693,0.5000000001744884,504765733.91395175,ok,23148041.48106478
58,504596157.98428476,0.0010105221210467885,10619971.407398034,254608.0568926608,0.5000000000457518,499349824.2943347,ok,21239942.81479603
59,499329793.8205024,0.0010200817776519103,9677891.897861976,242088.5147689379,0.5000000018433672,494551369.98287,ok,19355783.795712553
60,494776467.5558429,0.0010942209270712285,9645076.873257414,218438.3663206842,0.5000000000854636,490008538.7099887,ok,19290153.746514633
61,489769430.2002776,0.0011117331883755495,9374747.150154576,221353.011544955,0.5000000004235243,485137394.8742099,ok,18749494.300309148
62,485145167.3397786,0.0011437992004042167,9143698.928894723,228149.9935224891,0.5000000000104388,480630355.3736188,ok,18287397.857789446
63,480579120.84067476,0.0011789295158171973,8863103.086849086,185931.94307854428,0.5000000000042223,476194052.2829832,ok,17726206.17369817
64,476354082.9952668,0.0012176379012304604,8493536.800014824,190968.23292528538,0.5000000561715787,472155056.1871223,ok,16987073.600029647
65,472035233.154544,0.0012515133944185405,8324505.983487285,176828.6178715502,0.5000000013652101,467917187.30614495,ok,16649011.96697457
66,468046206.50131375,0.0012965501904889586,8227186.371975791,208062.42678601152,0.500000002464735,463984628.9022573,ok,16454372.743951581
67,464115703.94348747,0.0013032961174852316,7910577.0653244285,190397.38187095968,0.5,460208014.756293,ok,15821154.130648777
68,460253752.82640845,0.001345430215613757,7658774.615122892,153159.54473363105,0.5000000024833721,456462655.38639116,ok,15317549.230245784
69,456727935.63983977,0.0013689627995762343,7436722.455884576,167468.18403387011,0.5000000004642299,453051441.4545313,ok,14873444.91176063
70,453088630.13495094,0.0014423640929749843,7036670.832852596,176680.10837825813,0.5000000009872982,449614464.73884636,ok,14073341.665705167
71,449481478.7693312,0.0014622020482627405,6828120.854102697,180421.46938370756,0.5000000000277478,446112523.70944136,ok,13656241.708205394
72,445984501.30576646,0.0015093222084703742,5938917.155285837,118436.02086808505,0.5000000000000103,443044651.7333405,ok,11877834.310571674
73,443263135.2456518,0.0015663358167918233,6432943.821866842,141988.0404231475,0.5000000020211319,440082160.33210933,ok,12865887.643733684
74,440077411.5415617,0.001568647702352577,6152363.329406109,136346.89089441998,0.5000000000020978,437035316.5995697,ok,12304726.658812217
75,437047479.3102887,0.0016432669416082115,6113620.704035226,128223.47994825814,0.500000007131149,434022724.78557545,ok,12227241.408070449
76,433883836.68840146,0.0016347669543439816,5900764.082817456,138495.15229121124,0.500000000097563,430968078.4345033,ok,11801528.165634908
77,431147475.97000563,0.0016515100408537452,5866614.634017418,144859.80474178912,0.5000000000674343,428250383.60379654,ok,11733229.268034833
78,428456834.11837894,0.0017461818312104842,5524086.772598484,98390.92696851985,0.5,425719388.4638218,ok,11048173.54519691
79,425683262.8985287,0.0017264485978576332,5430107.881075274,136558.8454140475,0.500000000199874,423002348.6682865,ok,10860215.762150291
80,422888245.38160616,0.001795260722798576,5149062.575396015,93647.04963988066,0.5000000005928724,420337125.8533209,ok,10298125.150792029
81,420408317.4967837,0.0018316284768434045,5094634.542651264,114341.77982093718,0.5000000000001757,417889585.67041236,ok,10189269.085302528
82,417944227.82837284,0.001855775513393054,5053533.855918014,112179.94798307859,0.500000000002948,415445505.887395,ok,10107067.711836029
83,415284787.68848985,0.001928702427617879,4981712.502478159,129134.41963140311,0.5000000000041809,412826215.04213834,ok,9963425.004956316
84,412883380.9164783,0.002006011230673895,4727460.327058612,86279.67175983624,0.5000000000822418,410541220.67050725,ok,9454920.654117223
85,410736054.550408,0.0019518275968793746,4725736.222751483,148482.7989458079,0.5000000000000013,408410307.13876873,ok,9451472.445502967
86,408455328.5357916,0.0020170650181934664,4556017.891493163,128026.83467566448,0.5000000000000513,406209326.2987137,ok,9112035.782986324
87,406187974.639519,0.002066235014523454,4367560.479772827,89844.78528475293,0.5000000000061051,404026655.5959276,ok,8735120.959545653
88,404038979.41767377,0.0020945985350951974,4262371.223487265,97649.04603592223,0.5000000010385003,401932206.06311405,ok,8524742.44697453
89,402023234.2263165,0.0021757423841322096,3967459.869546345,75194.66581412997,0.500000000039145,400058302.9578445,ok,7934919.739092688
90,399964150.37808603,0.0021884531639296805,3995725.8037979268,138518.7008026359,0.5000000054535085,398000917.13035244,ok,7991451.607595807
91,398134870.87624943,0.0022174081589854656,3971968.2126040766,93257.05795010706,0.5000000007992123,396172201.031335,ok,7943936.425208152
92,396188743.97589505,0.0022009105902593014,3939818.1066112597,107143.76347967841,0.500000000172317,394245620.8627989,ok,7879636.213222472
93,394206553.3713356,0.002282609716165536,3766039.3626067014,83610.0880392464,0.5000000000000008,392344436.21204203,ok,7532078.725213402
94,392368004.5501083,0.002332495740920011,3682795.9474218935,83366.43274112302,0.5000000000746609,390547448.1843139,ok,7365591.894839839
95,390661592.9269404,0.002380400698771525,3680553.83907915,102902.4921195723,0.5000000001298027,388847041.6299663,ok,7361107.6781583
96,388846987.0827871,0.00247793353344886,3520988.4204716543,70163.66864238452,0.5000000000199202,387104033.7896431,ok,7041976.840943307
97,387153124.9946343,0.0024855670274180042,3413435.773985901,94386.75725876883,0.5000000000913497,385470003.7966528,ok,6826871.547971802
98,385522562.0402291,0.0025257410576787227,3238396.8081799117,72288.06552341883,0.500000000002623,383921435.65251166,ok,6476793.616359823
99,384004337.0281062,0.002759159045573108,2573319.0219492456,59608.97202007228,0.5000000000003183,382732579.7601358,ok,5146638.043898437
100,382763216.8168004,0.002536101934804413,3281465.9230663697,63943.61231621507,0.5000000000476357,381138469.758193,ok,6562931.846132739
101,381231645.1516097,0.002589780670047719,3185715.0399667574,70008.59282727329,0.5000000000017025,379656289.7798279,ok,6371430.079933515
102,379642450.18870735,0.002714831068249293,3020656.5417144583,74966.93968176362,0.5000000000000622,378150863.6527704,ok,6041313.083428916
103,378121596.33211327,0.0026680239514250055,3042962.9459103644,106820.20507998721,0.500000000005025,376626819.9104133,ok,6085925.891820729
104,376728254.60194033,0.0027737277907834757,2854353.923862951,66495.45670498411,0.5000000000511453,375317701.50404257,ok,5708707.847722945
105,375295794.60383,0.0028349973320647465,2697146.289770415,78061.42298627095,0.5000000000387227,373966736.8145899,ok,5394292.57954083
106,374019585.3762913,0.002926726699055183,2424650.7669951045,86729.26498236142,0.5000000000035216,372828942.30903107,ok,4849301.533990209
107,372868485.2029874,0.002943364254704902,2687473.675900828,117319.55705302265,0.5000000008133433,371554078.25220984,ok,5374947.3518016245
108,371537721.65621674,0.0029463951676258564,2639633.8001082405,78084.6268484111,0.5000000000000004,370237425.91287476,ok,5279267.60021648
109,370279420.6149825,0.0032331336324435515,2067348.6764378329,62319.082828836064,0.5000000000000001,369261326.04747075,ok,4134697.352875555
110,369241239.9763452,0.0030583613394914635,2459255.7476655548,73148.20502824131,0.5000000000058704,368029899.1537555,ok,4918511.495331109
111,367986789.128255,0.003072086716468129,2613491.9765951363,75777.35386483668,0.5000000000140455,366698987.478388,ok,5226983.953190269
112,366745189.4188511,0.003165408494617082,2374310.015204085,69197.767356308,0.5000000000019458,365575333.8530836,ok,4748620.030408169
113,365513746.8707562,0.003109912352324058,2390275.3443430313,64998.61832490806,0.5000000000795926,364334858.8529808,ok,4780550.688686063
114,364312017.8671535,0.003182366633259289,2320640.3132574256,47980.92834387437,0.5000000000000123,363163692.94261074,ok,4641280.626514851
115,363158990.15777636,0.0031324937937629205,2469937.819781021,113957.28124017452,0.5000000000165267,361952510.56815696,ok,4939875.639562042
116,362001365.4907155,0.003234360871609623,2325062.897368127,93311.32791678101,0.5000000003527975,360862161.8732233,ok,4650125.794736253
117,360868049.3594716,0.003302070104173334,2258126.9948420078,68198.20105078048,0.5000000000624438,359756035.4121766,ok,4516253.9896840155
118,359690350.15373945,0.003328550859373019,2158570.2587835593,93383.77028836595,0.5000000005603358,358634410.96576256,ok,4317140.517567019
119,358598402.3325268,0.003371153374692824,2222135.496026971,83953.03206866102,0.5000000000000001,357508322.8425305,ok,4444270.992053941
120,357639906.0613352,0.0033704386604761103,2164316.4755365914,43132.12861131558,0.5000000041471667,356568530.8469228,ok,4328632.951073183
121,356538399.0104298,0.0038610350074810423,1571897.8236355842,68752.52416620495,0.5000000000000095,355769638.22965354,ok,3143795.647269749
122,355788034.10022974,0.003799042055270893,1900673.570869754,63214.79495520779,0.500000000004869,354853501.0135247,ok,3801347.141739508
123,354901566.70638216,0.003659430149717997,2002800.2809467257,84776.36073539704,0.5000000000000003,353921360.65609264,ok,4005600.5618934515
124,353901483.23722565,0.003736409917632489,2006261.9174441528,114247.41302032155,0.500000000129107,352926914.1315144,ok,4012523.834888305
125,352985590.6082311,0.0035914267090288803,1975884.42196931,140024.72704198462,0.5000000003629131,352032654.5783407,ok,3951768.84393862
126,352048981.9098486,0.0038379139926091967,1821892.0408050236,68922.5575091923,0.5000000001458583,351155266.5285677,ok,3643784.0816100435
127,351203865.1167587,0.0037106100581806066,1877723.720038208,77834.75573579122,0.5000000000436728,350284461.94559497,ok,3755447.440076416
128,350330298.989593,0.003923633234971482,1820195.1681329622,126041.32856246496,0.5000000000163601,349451711.7376394,ok,3640390.3362659216
129,349359894.781454,0.003930937859824671,1844590.956916066,73072.96434626689,0.5000000000050214,348455867.5440737,ok,3689181.9138321313
130,348439125.7488001,0.003944522704492783,1825358.8297830012,140754.8738551022,0.500000000196329,347561635.05204165,ok,3650717.6595660024
131,347550391.66228753,0.003909771687791459,1804862.8914565204,71542.06173271286,0.5000000000210933,346665845.7319559,ok,3609725.7829130213
132,346777006.9259578,0.004019794219472235,1680183.0818249742,102262.22252260422,0.5000000000001159,345962480.9406758,ok,3360366.1636499483
133,345907650.3981729,0.0039256748305734,1787131.7210320183,190777.1179794455,0.500000000018174,345061778.81712276,ok,3574263.442062392
134,345049617.96877337,0.004226443390925682,1630877.0441774402,72297.62245812215,0.5000000000000001,344252253.8522992,ok,3261754.0883548497
135,344252905.9172629,0.004377431024730186,1511810.169570486,58438.697683897284,0.5,343511610.50689864,ok,3023620.3391395807
136,343508002.76849306,0.004399121070716396,1629595.6691853206,214273.57734407153,0.5000000000003072,342746773.328236,ok,3259191.3383706305
137,342758936.221314,0.004029263305841513,1708011.600605226,505480.9621502514,0.500000000002106,342031300.66154647,ok,3416023.2012089114
138,342012853.9657773,0.0037265247394987783,1736559.016964816,1041903.4547656216,0.4166794459270362,341470162.62902087,ok,3473118.033929632
139,341501463.21497965,0.0037076624399938985,1856462.6364839543,2667373.4932650095,0.17399725246309092,341259198.6664432,ok,3712925.2729679067
140,341236271.9412576,0.004308899321791027,1515539.806266547,80821.15909869266,0.5000000062218483,340498707.3189724,ok,3031079.6125330934
141,340469241.7207483,0.004369033284150398,1559262.728036488,66177.29869415116,0.5000000000144394,339706154.68138206,ok,3118525.456072976
142,339760937.31089556,0.004699842702405936,1487591.3657656638,103974.31733053675,0.5,339043135.20734537,ok,2975182.731531324
143,339035333.94685113,0.0047464737927657005,1521437.2286553262,104214.15480146898,0.5000000000024416,338300668.8712204,ok,3042874.4573106514
144,338338158.91398764,0.00457111955048848,1471393.3490315103,82936.62801752912,0.5000000000517179,337623196.39640445,ok,2942786.6980630206
145,337631179.9655034,0.004958128019758593,1413133.952915615,172824.15400327076,0.5000000000014794,336967819.02754456,ok,2826267.9058312224
146,337013554.6114725,0.004539517628256628,1493348.7788127607,189452.56514848478,0.5000000000001472,336314243.363353,ok,2986697.5576255214
147,336332297.3109554,0.004664334275075978,1375630.5079470498,59676.173184358195,0.5000000014736942,335659401.09833866,ok,2751261.0158929233
148,335667027.5168536,0.005042796910250875,1371634.8793765465,52630.62351800385,0.5000000000026547,334994367.7330413,ok,2743269.758753083
149,334983990.39773095,0.004913942394446295,1316987.4769478943,28818.01752127603,0.5000000022457246,334332701.1607444,ok,2633974.9538946976
150,334329803.8871739,0.005062142115142587,1252419.0798425856,52709.191911042115,0.5000000006151587,333716771.6444923,ok,2504838.159685171
151,333686421.75721115,0.005100565908674991,1251328.9173751953,69095.70944351045,0.50000000002004,333078031.2258607,ok,2502657.834750377
152,333077812.9952472,0.005199699182764354,1182785.0319227674,88283.96565051685,0.5000000000010819,332508491.4706972,ok,2365570.063845535
153,332497546.74752575,0.005104292940957188,1269616.8712047888,54593.941716530375,0.5,331876386.7973525,ok,2539233.7424095776
154,331930310.0119326,0.005233718405564615,1306849.4830088213,127689.6603745943,0.5000000000000034,331308807.68552184,ok,2613698.9660176425
155,331328937.61842406,0.005015309368714595,1247354.924660574,101012.25907601684,0.5000000000046079,330730513.22085744,ok,2494709.8493211474
156,330739433.5216141,0.005297293390541141,1217777.2170660545,84036.59279449446,0.5000000000098598,330151554.0612685,ok,2435554.4341321075
157,330139987.4779484,0.005590390160978535,1155768.6238540108,79625.6841976349,0.500000000000204,329582009.5870706,ok,2311537.2477080207
158,329606996.8064271,0.0054039662952312245,1181289.4309012562,181940.74326077662,0.5000000000008091,329061837.27679086,ok,2362578.8618025123
159,329085572.9258901,0.005209311635372595,1172738.0325969076,95580.67761068507,0.5000000010041883,328523099.0779127,ok,2345476.06519288
160,328515152.3387201,0.005461686895775708,1145550.1598842195,83485.47174644911,0.5000000000056031,327963248.6267086,ok,2291100.319768439
161,327999261.60974205,0.006184729582167254,832710.608040713,249141.99669597938,0.5000000000000002,327645191.8048957,ok,1665421.216081426
162,327667746.92090833,0.00431321841499846,1447947.0955051116,3703786.965553302,0.09773423181270939,327561611.42309487,ok,2895894.191010223
163,327558843.97902554,0.006096827820380411,891028.9489735647,56844.19999664445,0.5000000000151451,327127540.55452526,ok,1782057.897947129
164,327157911.3481584,0.005876517012553546,1057067.367682508,91311.47066910114,0.5000000000057783,326652205.53197885,ok,2114134.7353650155
165,326659021.3235172,0.005495499176585473,1061565.3075213647,97218.95808788463,0.5000000000037504,326152543.4092749,ok,2123130.6150427293
166,326139291.6731999,0.007605950013387948,664522.8837717823,89459.77407898914,0.5000000000325239,325829395.174815,ok,1329045.7675435643
167,325832544.6756696,0.005624305289350662,1057425.384359932,137772.39143847185,0.5000000006142455,325338275.0807844,ok,2114850.768719864
168,325325963.1279436,0.006048024755490002,1099092.2508037095,315831.0241617341,0.5000000000042408,324855374.75857884,ok,2198184.501607411
169,324845613.4293366,0.006054892150299746,992260.6308631893,149717.08353155912,0.5000000000000061,324386912.3847879,ok,1984521.261726359
170,324352503.50015926,0.0057809547385126525,994518.0078754538,491864.1626671677,0.5000000000006402,323978210.536888,ok,1989036.0157499607
171,324005589.90397733,0.0033072759631556305,1598825.311413549,5894727.929902729,0.06780742599259929,323924280.7322433,ok,3197650.622827098
172,323919528.751513,0.008360092872353004,1159620.4214608571,5008400.539090343,0.05788377009836132,323869186.3501051,ok,2319240.842921714
173,323866128.6253146,0.005871423162790765,989287.0281861522,617175.9752841245,0.40073134235771324,323568799.886228,ok,1978574.0563723044
174,323559850.1712797,0.0041138541272676766,1514231.760310473,7094622.388817026,0.05335843394206916,323499252.3947631,ok,3028463.520620945
175,323502943.3150118,0.0052321482830559665,1139843.5348539809,1801686.0821850284,0.1581634484115588,323367732.1269202,ok,2279687.0697070593
176,323374105.13003004,0.005956722467730984,979086.9038223447,103342.31805359555,0.5000000000000108,322910397.2576322,ok,1958173.8076446895
177,322929224.22322804,0.006163767085256003,998402.3641706363,178333.46109975243,0.5000000000053058,322474606.40641326,ok,1996804.7283412723
178,322455998.35803133,0.00627952309574309,964690.6768423202,76453.69792083747,0.5000000000182288,321992766.4440742,ok,1929381.3536846405
179,321995596.2890162,0.006300670529362507,926410.8311639633,514274.0232849904,0.4503488360380313,321682690.2593854,ok,1852821.6623279254
180,321677218.5131185,0.003407004515351581,1594577.0938031226,6609160.557783673,0.06031692980756738,321605083.5171387,ok,3189154.1876062453
181,321595653.8792759,0.005922812217973336,996119.8057748497,1435656.1112134138,0.17346072607404067,321466063.1307011,ok,1992239.611548898
182,321484549.349796,0.006610980870943094,860528.5163518032,84356.65028185319,0.5000000000000719,321075374.2541905,ok,1721057.0327035752
183,321047644.5931617,0.0060145010876099065,1005425.6476763538,561170.2608325374,0.44791470514881293,320709885.8937657,ok,2010851.2953527076
184,320734856.47550696,0.004943118273799822,1276770.4544561594,3151336.255500821,0.10128802125031011,320637865.3108149,ok,2553540.908911368
185,320640059.43952805,0.005785850288737787,1013317.4789518217,722830.1030543565,0.3504687597645683,320373707.349456,ok,2026634.9579028403
186,320383627.5504218,0.0064618620081434396,935053.8634700736,788817.0199521035,0.29634688394744874,320175802.32635,ok,1870107.726940129
187,320192493.1055353,0.005810133776881243,973302.2986282152,579702.7567392979,0.41974196573724665,319886091.2404733,ok,1946604.5972564302
188,319881473.11066175,0.0060287773171773616,1035158.9924059387,1533413.7799532018,0.16876706827910642,319750447.5493984,ok,2070317.9848118764
189,319762469.57458776,0.006701160013448761,877540.8499653488,74429.77208822017,0.5,319342306.59262717,ok,1755081.6999306974
190,319344821.2443846,0.006522771742160256,890315.2290391373,117616.39068158327,0.5000000000319895,318929067.7275107,ok,1780630.4580782745
191,318942949.2334618,0.007426366183358101,655345.3507985832,135929.8228379898,0.5000000000610089,318649259.0137403,ok,1310690.7015971665
192,318640861.593348,0.007033092855161532,892295.5092775949,384449.1321581845,0.500000000000153,318290826.12174875,ok,1784591.0185544253
193,318247400.02103424,0.006370847525631163,868874.9320955622,546447.0728493775,0.397511019486721,317988359.5009864,ok,1737749.8641904858
194,317961779.2125738,0.0068107329161667535,869889.4258268819,326290.6141983273,0.5000000000011803,317608407.1532093,ok,1739778.851653761
195,317602966.19819623,0.006234398225937388,900627.3717390246,915812.686302635,0.24585468873964902,317436898.60158426,ok,1801254.7434773433
196,317454322.2779159,0.007106144123055969,816358.0245051249,80116.87034257974,0.500000000000383,317066172.4832487,ok,1632716.0490102498
