round,beta_used,J_used,beta_best,J_best
0,6.458478121563971e-05,589591025.2406635,0.000292352867647942,1017647939.8328183
50,0.001331824831162042,5280606.272788405,0.0091602852594237,10243287.243840644
100,0.004216515839797077,1214008.9565238357,0.019357713279257296,1993645.227617947
150,0.0072882589702830515,370273.58286207914,0.010935169340727871,388713.28272438154
200,0.008282575259649715,139392.48842561245,0.00662327251951775,152751.2932852971
250,0.011813895973293648,66773.22014409304,0.009078899578602898,73656.99664839392
300,0.014263159588268924,137211.76644670963,0.015674450173977804,137126.17553511367
350,0.016380550405233858,75532.93606889248,0.018427198286411723,68618.64790867819
400,0.01275012134091592,11442.285637617111,0.0070956307607857256,20097.73158151964
450,0.01745527747287886,19516.956533312798,0.013333900548216569,19583.169833244465
500,0.0137018354522473,8784.923331677914,0.004759422397248896,12544.200311917608
550,0.024195296557772587,35721.47616750002,0.045046527611911656,38021.832539288946
600,0.024721159255309114,21935.5253174901,0.01947825699864857,29947.077132983384
650,0.02791505865962306,15526.800008416176,0.01586457312288918,17797.235003146056
700,0.037767156019588494,487.068650662899,0.01547979960070507,8222.974662823462
750,0.04374749331576912,144.8473845720291,0.013975865573651608,1594.5691512956346
