round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,4920590974.905018,4.6887792168211785e-05,907029903.2702616,154563188.509889,1.0033527624061838,4166121369.1265445,ok,1814059806.540523
1,4167252334.203532,6.777458170492425e-05,622245800.3233473,120814207.13888696,1.0110312749645822,3661636747.7406588,ok,1244491600.6466947
2,3658786151.3707714,0.00010583795984313882,389034678.560182,98544696.2897088,1.003143543884154,3367693754.4761567,ok,778069357.1203561
3,3367923550.3495393,0.00019636364797686614,214448877.3857041,63983783.0564109,1.0000539158389492,3217453793.493791,ok,428897754.7711676
4,3218411242.014279,0.00028168059700830615,177619490.34503108,33748825.221210614,1.0000000000027964,3074540576.8901505,ok,355238980.6900621
5,3076180194.2497864,0.00021875276682082863,192809618.1302931,45146039.44352633,1.000000008124086,2928516614.7301583,ok,385619236.2605759
6,2928043495.622021,0.0002216283767717009,199298220.0380636,62062321.86727119,1.0000000202037107,2790807595.9324436,ok,398596440.0761272
7,2791932831.3753166,0.00019422341233425665,208614598.744106,53019561.29351571,1.0000000681118768,2636337786.938118,ok,417229197.488212
8,2636834277.7526426,0.00021021336488437041,192316100.2898803,40941177.704788774,1.0000000022391156,2485459354.9202776,ok,384632200.57975984
9,2485912307.68888,0.00020043137493398644,193679785.08272916,33403468.9908119,1.0000000202684312,2325635989.0254493,ok,387359570.1654583
10,2326043771.1876025,0.00021235850267552252,180907220.9207317,23875455.91548632,1.0000000000053024,2169012006.181651,ok,361814441.8414634
11,2169811587.105015,0.00020516771395480247,180490614.682264,22993147.21896836,1.0000000018128778,2012314119.3978794,ok,360981229.36452794
12,2011648107.2983413,0.00021620981316766182,169462554.0334034,14989870.533172308,1.0000000036465546,1857175423.2894785,ok,338925108.0666619
13,1857756487.4748206,0.00021744967643455533,161935173.73882058,11715953.445856806,1.0000000198083505,1707537264.4383354,ok,323870347.47764105
14,1707607796.1517725,0.00022726110130821497,152739926.98359895,7037228.3402047595,1.0000000388652006,1561905092.119117,ok,305479853.9671979
15,1562441955.1970649,0.00023492997348984306,142006195.70281184,5680907.301433115,1.0000000030085312,1426116666.4026384,ok,284012391.40550905
16,1425990261.464389,0.0002468620966112269,133603603.14325687,5787105.667224364,1.0000000965128104,1298173752.210957,ok,267207206.2865137
17,1298345825.8909795,0.00025655284989064517,124850274.25166258,5837064.274373365,1.0000000335239014,1179332612.1195843,ok,249700548.50322497
18,1179753840.834769,0.0002756928150619357,116405288.3463726,5645230.771289413,1.0000000663222521,1068993776.2882339,ok,232810576.6927452
19,1068783458.7991433,0.0002941999744460399,108174499.7092037,5824785.581178579,1.0000000707886127,966433737.8382524,ok,216348999.41831607
20,965872965.9990168,0.00031743251239459516,98548798.97278276,5812124.764976024,1.0000000001765332,873136291.775865,ok,197097597.94556552
21,872492662.4383905,0.00034475238918797816,88949998.97779216,6050727.017804648,1.0000000515989131,789593386.5131017,ok,177899997.95558423
22,790261791.3775979,0.00037369763163196606,82432392.1462121,8181476.019546983,1.0000000086546348,716010874.6791259,ok,164864784.29242414
23,715769097.3018614,0.0004043884987324449,76322835.18217401,16428280.181757528,1.0000000314288118,655874540.9353515,ok,152645670.3643473
24,655578212.7320685,0.00037216788381646724,81532529.0196699,54645314.38966724,0.746015737399497,625165937.852741,ok,163065058.03933978
25,624593004.4408807,0.0002927653517797164,114885568.07927197,335649029.38152564,0.17113943140393206,614762279.0420785,ok,229771136.15854394
26,614983581.996999,0.0003624711033707007,25473697.62097106,1898805.647742003,1.0002193257587768,591403935.991029,ok,50947395.24191573
