round,beta_used,J_used,beta_best,J_best
0,4.5001831657949184e-05,799860281.6168394,0.0005472270530380491,1294206761.6794124
50,0.0010622845060469172,6294970.404841185,0.010118613884878513,11811069.14456415
100,0.003417078242152443,838378.6570231318,0.008252548097813488,1049640.4487734546
150,0.0034753833668632167,109976.39715737104,0.015827700383444377,138054.88980533418
200,0.003455897795915301,81037.99252158403,0.006529622762427583,81367.86901375337
250,0.007393468500525445,262692.87081956863,0.0055828896609256915,227609.20751131224
300,0.008130339664531432,86346.09873151779,0.006885521973974438,92630.880884249
350,0.009484649138883992,78101.29499137402,0.008690989391447706,78973.66098192283
400,0.003658813543206046,13941.984639585018,0.012459305870022952,15439.077662793803
450,0.007491748958311375,8323.022791862488,0.0515283986712241,9044.644114626655
500,0.008929483677517867,9618.39341723919,0.006382774703684533,10482.624612756825
550,0.00945206191960431,10103.496661901474,0.022196265851439703,10164.982201393534
600,0.009615032322446237,4334.340106129646,0.040582738696626534,5222.252592375209
650,0.023460196557829213,7474.280450701714,0.0203854578470188,7882.067480770155
