round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,5083553552.559728,6.175939660032894e-05,932737099.3411472,160009197.66678354,1.0000000470287298,4310825622.069982,ok,1865474198.6822944
1,4312975195.290464,8.768371811915842e-05,656375225.9714028,116707590.61500566,1.0000000273389296,3773307548.3707924,ok,1312750451.9428053
2,3767359091.552138,0.00013174844226572082,427284947.2687915,98154953.28258866,1.0000002164719404,3438229047.566324,ok,854569894.5375754
3,3439133263.067946,0.0002245702547974917,240772616.71383008,66074177.260928944,1.0000000002139025,3264434823.59181,ok,481545233.42766017
4,3263947291.253495,0.00031899565238727563,165246354.59212154,24906856.253456295,0.9999999999999998,3123607792.9148297,ok,330492709.1842431
5,3124537371.063546,0.0002698360593070261,191652309.27002582,19631031.16072072,1.000000000013271,2952516092.9522185,ok,383304618.539815
6,2952343608.5798397,0.0002816766153465647,179659624.73986816,17434617.679889932,1.0000000000000033,2790118601.519861,ok,359319249.4795642
7,2788498293.434925,0.0002604709209662628,191458774.67277342,10270068.193071693,1.0000000000000107,2607309586.9552217,ok,382917549.34554684
8,2607628226.941742,0.0002607984503825743,188273985.68351507,7716982.3780254945,1.0000000000000462,2427071223.6362443,ok,376547971.36703014
9,2427963501.6086125,0.00025802651703355666,188823124.38665646,5904326.970506584,1.0000000000000022,2245044704.1924624,ok,377646248.7733128
10,2245674520.674405,0.0002587205701322046,186070864.74305093,6036190.060269742,1.0000000000000002,2065639845.9916239,ok,372141729.48610187
11,2065524704.3393323,0.00026114960028116924,182688563.44952154,6283558.444466988,1.0000000000000007,1889119699.3342776,ok,365377126.899043
12,1887606153.7036593,0.00026769788569916636,176855180.32068926,6817183.267125282,1.0000000000000027,1717568156.650095,ok,353710360.6413746
13,1717903785.5193179,0.00028091308338898375,167753301.830895,6776519.850486796,1.0000000000000535,1556927003.5389013,ok,335506603.661786
14,1557143732.5816624,0.00029395997939795157,159132141.9022626,7116299.205455901,1.0000000000000477,1405127889.8848488,ok,318264283.80452514
15,1406098147.991509,0.0003124091932873766,148635393.86480594,7385992.085711667,1.0000000000000293,1264848746.212411,ok,297270787.7296119
16,1265499062.6480281,0.0003344321212391219,135532428.71436623,7285455.678927096,1.0000000000000187,1137252089.6125867,ok,271064857.42873186
17,1137438349.6449594,0.000368543923276635,124560394.7054418,7286094.738532761,1.000000000000015,1020164049.6780488,ok,249120789.4107722
18,1020765181.9365565,0.0004104453695194621,110058968.90252197,7067049.9029351985,1.0000000000000697,917773262.9369631,ok,220117937.80504367
19,918298204.0417365,0.00045561258710397805,98018108.35722786,6744229.884651373,1.000000000000105,827024325.569151,ok,196036216.71445572
20,826517974.8495388,0.0005136348548960213,85711297.89369707,6501758.391633885,1.0000000000018958,747308435.3473377,ok,171422595.78739408
21,747313386.1779655,0.0005762995952128931,77369698.81721202,7906566.416295555,1.0000000000000013,677850253.777049,ok,154739397.63442376
22,677594808.4915215,0.0006418478844072458,68837998.76090953,18543331.234811004,1.0000000000000095,627300140.9654226,ok,137675997.5218186
23,627215617.5693989,0.0005025870436464512,82732004.95333546,96808169.51834683,0.42729867409411304,609539979.558545,ok,165464009.9065916
24,608967159.3120013,0.0005585145226770582,78327487.26480494,330412709.6589011,0.1185297734849027,604325089.6504319,ok,156654974.52953798
25,604319928.3225535,0.0004785345110399033,9766300.190649137,342148.32696902653,1.000000222234183,594895774.4405417,ok,19532600.381286956
26,594791212.2613069,0.0004948150090158396,9834083.503345836,385777.93868518807,1.000000026328854,585342906.4580402,ok,19668167.006691672
27,585302600.2512993,0.0005497619763581219,9027440.326614818,319230.72957221145,1.0000000362678008,576594390.3500068,ok,18054880.653229635
28,576779156.9914455,0.0005935185688859953,8148808.136615975,275251.02577886876,1.000000452841828,568905596.4397776,ok,16297616.273221698
29,568870181.6486924,0.0006579822009180025,7420664.1162027065,187527.7523996744,1.000000335197866,561637042.9232163,ok,14841328.232396232
30,561565603.998524,0.0007018949417406385,6919899.386257687,155912.02633634084,1.0000003229814214,554801614.504317,ok,13839798.772515109
31,554852880.6240934,0.000760319850083153,6328258.601431563,97957.90299975888,1.0000002101586278,548622578.636897,ok,12656517.202863121
32,548496324.2874626,0.000789769871259629,5908705.217944255,82722.50234342237,1.0000001725752825,542670340.580717,ok,11817410.435888506
33,542862368.2711569,0.0008079134606351593,5799981.553424745,89117.45118009037,1.0000000116188457,537151504.1035941,ok,11599963.10684949
34,537053520.8916174,0.0008824349034023824,5200782.934050647,71128.84696771376,1.000001278413218,531923860.3376491,ok,10401565.868101291
35,531844305.3731961,0.0009146873896768811,5015978.79679455,63540.52747350965,1.0000000578557415,526891866.82102424,ok,10031957.593589097
36,526910580.6450363,0.0009356073687767254,4823176.72866386,51759.19861016772,1.0000000000025,522139163.1149708,ok,9646353.457327716
37,522016836.33941305,0.0009634183605260678,4730367.165458075,52159.57666245415,1.0000000183435858,517338628.6657591,ok,9460734.330916148
38,517245747.60923654,0.001002353379965884,4486069.722035915,39975.39706012601,1.0000000578811656,512799653.02922946,ok,8972139.444071827
39,512803442.8705983,0.0010450551701119246,3541280.5786288558,29288.913440199914,1.0000000072947874,509291451.1800041,ok,7082561.15725771
40,509229954.3950806,0.0010980709473194037,4030049.7835188406,29227.3049584004,1.0000000077537323,505229131.8857255,ok,8060099.567037679
41,505324629.079751,0.0010986144797228883,3771273.7461532536,40061.512270188585,1.000000081906964,501593416.54353696,ok,7542547.492302572
42,501582517.09964734,0.001135976152022651,3746034.423362146,29761.94948648578,1.000000300573467,497866243.5177044,ok,7492068.84672429
43,497902703.3743811,0.001153834346615078,3719067.099221888,31024.636670615397,1.0000000434710987,494214660.75285524,ok,7438134.198443774
44,494189655.2661456,0.0011640261567559818,3560012.244291501,34947.68751081064,1.0000000005343055,490664590.7075001,ok,7120024.488579183
45,490615949.5669253,0.0012232029272612789,3330717.154842331,30491.29175493739,1.0000003295043525,487315722.62644607,ok,6661434.30968466
46,487384667.326363,0.0012527539025562024,3399370.9938441035,31070.032610738883,1.0000000065311216,484016366.3433338,ok,6798741.987684192
47,483960017.96579075,0.0013470730462584299,2883386.422359968,23645.869305936467,1.0000000000879063,481100277.4124874,ok,5766772.844716585
48,481029522.70939916,0.0013088731466520287,3073768.7702730675,23429.46929136888,1.0000000013684016,477979183.4042754,ok,6147537.540543016
49,478028010.5582949,0.0013278776917509698,3033805.9360087486,32720.517280042266,1.0000000089897654,475026925.1128813,ok,6067611.872014267
50,474971515.3762556,0.0013721802370000604,2892502.8415164864,19753.122731126954,1.000000006896005,472098765.6377959,ok,5785005.683029799
