round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,4940022557.863221,6.680358708888371e-05,867931960.0130122,132146910.8528724,1.0000001571076023,4204237413.8669443,ok,1735863920.0260243
1,4204908138.531781,9.282512153801207e-05,614833681.0087252,112737817.7004387,1.0000000339312312,3702812262.012097,ok,1229667362.0174496
2,3704552418.7540503,0.00014071605281036913,395807648.4625221,94863362.52633391,1.0000000703809337,3403608118.313695,ok,791615296.9250442
3,3402908142.0581517,0.00024599127044589786,218464484.90290755,52178744.68362369,1.0000000004548864,3236622401.786962,ok,436928969.8054996
4,3237019700.185612,0.00031318238721694396,166178836.52420294,33239762.11557946,1.0,3104080625.776989,ok,332357673.0483961
5,3104051536.589764,0.00026339362048570226,196986369.38494736,26114495.247013476,1.000000000000049,2933179662.451823,ok,393972738.76964676
6,2932480157.126902,0.00027542018865121825,182782571.01657033,28078409.65085767,1.0000000000000002,2777775995.761189,ok,365565142.0329697
7,2777427112.764998,0.00024909155309964703,199677046.25737622,22013304.681828454,1.0000000000040543,2599763371.188819,ok,399354092.5145353
8,2599787926.678028,0.00025422738942475605,196248279.31922147,19272316.3308208,1.0000000000000007,2422811963.6896276,ok,392496558.6382442
9,2423428217.932687,0.0002488282240242533,196193187.76849505,15463663.827628393,1.0000000000000402,2242698693.991813,ok,392386375.5369888
10,2243833512.0106235,0.00025460697411759875,190732934.0621597,7876021.907613771,1.0000000000000002,2060976599.8560774,ok,381465868.12413466
11,2060610872.3791249,0.0002633534961178313,181772132.3286345,6364605.554836632,1.0000000000000295,1885203345.6053221,ok,363544264.65709907
12,1884317945.8155198,0.0002719271309849789,176583735.1772489,6688910.484101882,1.0,1714423121.1223726,ok,353167470.3544978
13,1714620035.2841568,0.0002802758119507811,168156000.18436494,6904100.78755347,1.0000000000000253,1553368135.8873415,ok,336312000.36872053
14,1554785302.5157032,0.0002938320135723655,157974916.29519102,7041738.336497395,1.0000000000000027,1403852124.5570092,ok,315949832.5903757
15,1403695604.9361384,0.0003137848616092697,147027877.20074424,7093590.242138582,1.0000000000000588,1263761317.9775248,ok,294055754.40135676
16,1264003988.0148027,0.00033439122773296445,136929407.59365904,7279253.529891159,1.000000000000001,1134353833.9510348,ok,273858815.1873181
17,1134544186.93589,0.0003675668299157026,124329112.20410539,7180153.089368265,1.0000000000002605,1017395227.8211242,ok,248658224.40821075
18,1017390769.3624767,0.0004060515830311622,110831219.26834944,7004253.744370347,1.0000000000001956,913563803.8384787,ok,221662438.53659514
19,913851575.1301664,0.0004552027923136405,97349471.85199842,6664541.598672865,1.0000000000000002,823166644.8768408,ok,194698943.70399684
20,822617059.4470367,0.0005178677722710248,86111709.40879765,6229339.233423485,1.0000000000000053,742734689.2716622,ok,172223418.8175953
21,742830491.8503541,0.0005833891631330072,74171961.28687385,6256272.7284164075,1.0000000000000002,674914803.2918967,ok,148343922.5737477
22,675730536.5015609,0.0006475237226491756,66316446.8450839,10375631.824314438,1.0000000000005664,619789721.4807656,ok,132632893.69016604
23,619464906.3511598,0.0006262045286757619,71764456.00813141,72842517.83284506,0.49260005106366916,601789319.0040787,ok,143528912.01626283
24,601613509.5345452,0.0005434510775915476,72584471.4161219,87202645.22404759,0.41618273866367483,586509307.4853368,ok,145168942.8322438
25,585912021.1000303,0.000644679795009611,69560570.56582329,239113161.09107783,0.1454553363947369,580853043.0042994,ok,139121141.13164657
26,580620207.4488648,0.0005049397518759471,9074253.804833539,416256.96884202346,1.000000042831705,571962210.2598655,ok,18148507.609656837
27,571681000.0886515,0.000541261186058648,8991551.47469572,376824.12266843003,1.0000013776521492,563066261.3876599,ok,17983102.949380457
28,563186145.5969546,0.000584828917838074,8102234.464963211,297754.1791050038,1.0000001505481606,555381664.1809726,ok,16204468.92992642
29,555374257.4416841,0.0006497266964147951,7424448.358747039,217981.1591053137,1.000000026045319,548167790.0600251,ok,14848896.717484558
30,548170889.1924224,0.0007035678087448424,6910885.812623339,158955.5173214778,1.0000015389382864,541418948.7509396,ok,13821771.625246678
31,541343855.451394,0.0007497287450738478,6396256.483886947,127662.12056996638,1.0000001916579204,535075259.9111187,ok,12792512.967773773
32,534974763.1135446,0.0008107747940408991,5789995.216790788,85624.05991033898,1.0000000525868884,529270391.6611917,ok,11579990.433581576
33,529099258.66607344,0.0008321761575392436,5589599.215098251,94399.47305407218,1.000005210038712,523604030.78565335,ok,11179198.430196501
34,523783960.5470613,0.0008978012606967472,5236839.719846956,74712.47650588775,1.0000002008334397,518621832.28199726,ok,10473679.439693911
35,518585940.77897954,0.0009379713405657323,4764518.236205313,55546.64516977734,1.0000014468211278,513876962.4552706,ok,9529036.472410617
36,513919938.1709957,0.0009473354255488529,4845810.438570224,61673.28695284888,1.0000000917320757,509135800.5861769,ok,9691620.877140446
37,509084830.6693162,0.0010061271425244398,4591117.020718217,116013.4763482029,1.0000002046635632,504609726.23279923,ok,9182234.041436423
38,504668371.12352467,0.0010229932152258574,4222456.496939066,44749.26088285755,1.0000051069562736,500490642.7806339,ok,8444912.99387813
39,500512669.88157904,0.0011137967695844402,4048683.9237394016,50177.92887921944,1.0000000996301937,496514163.49334615,ok,8097367.847478611
40,496588480.16680646,0.0010864072503196252,4008407.494460755,44678.29243616618,1.0000000294560158,492624750.8493422,ok,8016814.988916675
