round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,4920590974.905018,6.299185359079617e-05,907029903.2702972,154744183.99699354,1.000000004846291,4168305252.735854,ok,1814059806.540523
1,4164885255.354151,9.190794015609813e-05,619663041.3903217,118495550.57064827,1.0000004992390046,3663717573.489748,ok,1239326082.7806435
2,3657976286.052807,0.00014388050863269468,383918461.05579287,96726518.76504126,1.000000217247114,3370784302.3839965,ok,767836922.1115495
3,3371234490.0900497,0.00025760613547369846,207383126.24867913,47903616.81356162,1.0000000338297552,3211754976.8803473,ok,414766252.4973582
4,3212554673.062133,0.00031210285487576526,165823359.29534766,34357391.36460811,1.0000000000000018,3081088705.131393,ok,331646718.5906881
5,3081424606.6989603,0.00025952618984465204,199949629.29392147,25001328.558726724,1.0000000000010136,2906476305.9636135,ok,399899258.58758897
6,2906075837.4598265,0.0002748853182275731,181932298.6861241,24193568.78773821,1.000000000000001,2748337107.5614405,ok,363864597.3720812
7,2749640044.963856,0.0002501796053563186,200455922.3595499,19756787.76569518,1.0,2568940910.3700013,ok,400911844.71909976
8,2570247678.9014297,0.00025474620109296105,196427937.33234712,17901739.50437204,1.0000000000000002,2391721481.0734544,ok,392855874.66469425
9,2391425715.636257,0.0002552643890892459,190477066.65118587,10677951.431932822,1.0000000000000004,2211626600.417004,ok,380954133.3023717
10,2210205824.895424,0.00025872889183782744,186991864.08182925,7460593.816151526,1.0000000000000104,2030674554.6297443,ok,373983728.1636568
11,2029320008.916351,0.00026531913294565283,180875569.3351698,6866534.897975251,1.0000000000000357,1855310974.4791505,ok,361751138.6703396
12,1855864434.357704,0.0002719511889599745,173144542.70557913,6831923.013387809,1.0000000000001525,1689551814.6654882,ok,346289085.4111555
13,1688715901.3856354,0.000281425718564492,166173076.45855305,6858821.923860743,1.0,1529401646.850943,ok,332346152.91696334
14,1528818417.001302,0.0002982654370410389,156293590.0992686,7110230.359300686,1.0000000000000002,1379635057.261334,ok,312587180.1983991
15,1379287559.9879363,0.00032140811859923235,142887009.64557853,7015344.58000523,1.0000000000000002,1243415894.9223628,ok,285774019.29115415
16,1243215789.811496,0.000344962723557644,133385576.44407783,7154690.133487899,1.0000000000000002,1116984903.500906,ok,266771152.88815564
17,1116556019.8246102,0.00038148002681132043,119277786.422384,7227801.023329107,1.000000000000002,1004506034.4255551,ok,238555572.844768
18,1004862400.5623693,0.0004169771785031712,108360962.02810332,6921790.986648837,1.000000000000048,903423229.5209104,ok,216721924.0561026
19,903664124.4951204,0.0004618933705424169,96887043.17286694,6995769.060575688,1.000000000002032,813772850.3826606,ok,193774086.34573388
20,814254884.4557621,0.0005230001278090448,84492797.90989251,7021865.20079645,1.0000000000001759,736783951.7466537,ok,168985595.81978503
21,735962167.0817407,0.0005851561411579814,73988414.97724977,8914544.253204558,1.000000000000008,670888296.3576951,ok,147976829.9544994
22,670725876.0936412,0.0006199090980235652,69242557.33632086,30289953.711308155,1.0000000000000027,631773272.4686285,ok,138485114.6726417
23,631195453.8617798,0.0001890684860837336,141558899.32535994,449709419.8430982,0.1573892974876413,620055526.0028088,ok,283117798.6507199
24,619677007.0744072,0.0005267750695551394,21094119.735341873,1984546.6609579267,1.0000000065462262,600567433.8879191,ok,42188239.47068374
25,600392716.4334341,0.0006094275419333253,18101179.828602303,1049177.706188651,1.0000000401131932,583340713.669096,ok,36202359.657204606
26,583463705.243606,0.0006811050593326041,16352831.809802247,553849.4785891036,1.000000210681022,567664719.7005327,ok,32705663.619604494
27,567785994.2902403,0.0007267184462919156,14826645.079030426,447615.12243878655,1.0000000003019196,553406964.3294425,ok,29653290.158060186
28,553582277.4694974,0.0008029842767766013,12992279.795712635,348140.3064737773,1.0000003395114387,540938133.8056263,ok,25984559.591409154
29,541019765.3815391,0.0008720006741722897,11414499.466457218,291360.187363156,1.000000032807826,529896625.7470779,ok,22828998.932900745
30,529803497.9101544,0.0009437493974495486,10740267.30011889,284438.4331406155,1.000000000406609,519347669.0390403,ok,21480534.60022521
31,519195286.6490596,0.0010029751029177701,10279395.390524495,253073.35770442404,1.000000014298981,509168964.47649205,ok,20558790.781048834
32,509464095.5816798,0.0010747137732974108,9372080.165187592,208255.4711499561,1.0000000098003343,500300270.7998746,ok,18744160.33036479
33,500293906.81042755,0.0011071273646254844,8931592.54228524,235143.12907801074,1.0000000033038416,491597457.3692655,ok,17863185.084570475
34,491644354.316525,0.0011703775896211358,8366610.863038899,286933.6262073216,1.0000000042745922,483564677.0463826,ok,16733221.726077685
35,483431626.9978616,0.0012266395814565189,7837948.5249089785,260208.71167951258,1.000000000423755,475853887.1815313,ok,15675897.049817953
36,475746320.484824,0.0012884175307358583,7501318.565154103,174660.72331529195,1.0000000000037106,468419662.6429587,ok,15002637.130308192
37,468562860.32207245,0.00132661793900991,6981017.117957939,164524.9899488703,1.0000000011789574,461746368.186221,ok,13962034.235907877
38,461805380.4245377,0.0014067860720444424,6810192.057866424,161665.39302526298,1.0000000006446879,455156853.75551456,ok,13620384.115732826
39,455056622.8730387,0.0014651485619922744,5983046.572960713,254448.84440397442,1.000000003967894,449328025.12276113,ok,11966093.145921424
40,449439499.77552956,0.001522653846942457,5834658.816432179,327973.50706152356,1.0000000000165186,443932814.46607333,ok,11669317.632864356
41,443909881.5126938,0.0015731976826146162,5801302.837897303,496612.8092483285,1.0000000080138831,438605191.4455135,ok,11602605.675794605
42,438577391.64665115,0.0015995970855762628,5481274.729530292,779360.7065048018,1.000000019997335,433875477.545185,ok,10962549.459060583
43,433790610.2688747,0.001594671965599475,5661800.519708822,2108548.4350271495,1.0000000019794708,430237358.18133324,ok,11323601.03941764
44,430231774.6659259,0.0009621989090241711,8033056.226078854,12849183.60250543,0.3125901409219691,428976247.57705384,ok,16066112.452157704
45,429079551.50751853,0.0017637382449095626,4927189.298687124,586108.5818500567,1.000000006552219,424738470.7660781,ok,9854378.597368434
46,424746224.551734,0.0016948645477522306,5214273.743554544,2513100.734542017,1.0000000014828507,422045051.54244256,ok,10428547.487109087
47,421990887.4710849,0.0009540323476596776,7777869.7572908085,13565076.04002457,0.2866872892692138,420875979.2725816,ok,15555739.514581615
48,420884932.460955,0.0017976600315415072,4641499.799248719,1627526.8249876958,1.0000000037851016,417870959.48144615,ok,9282999.59849229
49,417939814.1620699,0.0010063206824114383,7038636.2475967705,15485667.344119918,0.22726292936511452,417140003.61588776,ok,14077272.495193541
50,417180213.98059654,0.001962918854765239,4223049.703417827,351346.1426115456,1.0000000000015765,413308510.41978467,ok,8446099.406835655
51,413333771.6652593,0.001932041168012164,4230115.670030074,754086.5270081456,1.0000000001121812,409857742.521932,ok,8460231.340060148
52,409870783.316619,0.001736754814631222,5253312.908385865,4541080.595798847,0.5784210164917504,408351470.0204101,ok,10506625.816771729
53,408319147.2406905,0.0012530136194382339,6076775.028590573,16305806.031470891,0.1863377687941995,407752980.8905446,ok,12153550.057181146
54,407778738.1076359,0.002030103287773821,3886355.531545968,303490.5858350658,1.000000003452442,404195873.1506032,ok,7772711.063091934
55,404174409.45746416,0.0020843706264682795,4169721.14756729,889413.9128894738,1.0000000000067002,400894102.22277033,ok,8339442.295129841
56,400921444.6466074,0.0016257251348285246,5121119.75471972,5803473.923514424,0.44121157622248014,399791695.9871054,ok,10242239.509439439
