round,beta_used,J_used,beta_best,J_best
0,6.027006625630734e-05,797171707.1556101,0.00027361352651902453,1292215784.6039963
50,0.0021252419896486663,2091888.927830398,0.01552803365143293,4019333.4722847175
100,0.003431413972812602,138152.13721358776,0.0015276171848909057,194534.76402233643
150,0.006662861728450195,202980.0620636344,0.0049125626737825945,214831.54715813996
200,0.008841981569320407,311141.80198323727,0.007564908968867966,321837.0811865862
250,0.003611085487962445,48735.624664247036,0.03253065407242629,67528.50438643029
300,0.013596181538407415,173777.81395566463,0.011083565926913265,189446.29422942456
350,0.0028646211505645534,38141.277438759804,0.0028202718549997946,38263.33240458178
400,0.013749039186481953,29114.460794746876,0.009431755532059698,38464.329921623874
450,0.004061316399198359,17579.127549231052,0.004721021048389435,17201.475246791757
500,0.028250744848279823,5272.889905452728,0.017492725684808617,6347.821050081793
550,0.008011375896447182,3002.068068623543,0.006326427051135412,3530.026458044758
