round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,4920590974.905018,4.1833233793455215e-05,907029903.2702615,148929669.16591159,1.0000033148691474,4162488721.481593,ok,1814059806.540523,0.019366289698764305
1,4161158545.3038864,6.0586672740413905e-05,620337946.6901351,121887471.80218899,1.0001625084187091,3662646878.976689,ok,1240675893.3795125,0.03894248682535295
2,3660510829.530841,9.624346678335338e-05,378269275.74032956,97936654.72468941,1.0000085000877426,3380176658.1405597,ok,756538551.4801815,0.06564338116394408
3,3378438800.1178217,0.00017615621788566493,202559556.63280287,45596710.33482596,1.0000032882905203,3221475587.6161284,ok,405119113.2653646,0.09647827831191158
4,3220913131.5747757,0.00020242296192375726,165888595.60627413,40464025.90780942,1.0000000021610518,3095488561.692707,ok,331777191.2125469,0.14890037173587523
5,3094817099.6157923,0.00017454813290372834,198247618.3125453,22658217.54832574,1.0000000317145221,2919227694.0014334,ok,396495236.62487143,0.20766496292027092
6,2917750141.327612,0.0001861072297142869,177057054.54573938,17402356.44549333,1.0000000000487377,2758095443.2204328,ok,354114109.09147877,0.28819892816047243
7,2759853066.9512167,0.00017194109143695618,191864908.55750436,9613540.775200369,1.0000000066408945,2577601698.0224433,ok,383729817.11500865,0.3493442294109377
8,2577350390.4281836,0.0001712040045756893,188385159.6955092,7634941.722068448,1.0000000016681971,2396600172.165952,ok,376770319.39101833,0.43250050216575087
9,2397781265.402603,0.00016765272343396284,189974589.00296018,6737542.377721622,1.0000000003948404,2214544218.7076755,ok,379949178.00591874,0.5029702933044677
10,2214174162.5422287,0.00016968379666109775,185959924.3117866,6239588.372405419,1.0000000000010887,2034453826.6026587,ok,371919848.62357247,0.5718941754337621
11,2035133905.521308,0.00017099530749344952,180539053.98423004,6617771.366232957,1.0000000038090378,1861212622.2660456,ok,361078107.96846,0.6323980446985513
12,1859640439.7266471,0.00017532571297710047,176044111.96465245,6741827.364667176,1.0000000013017982,1690338154.915041,ok,352088223.9293049,0.7054399602225017
13,1690595624.2799459,0.0001819961781644813,166534802.62440246,6962166.553155667,1.0000000010388206,1531022988.0501642,ok,333069605.2488049,0.7640621271535686
14,1532406396.7590015,0.00018905196121111632,158126882.41350827,7214296.916809996,1.0000000087644736,1381493810.0028632,ok,316253764.8270165,0.8138870682415975
15,1383217332.7968936,0.0002018940680499686,148068502.1841478,7544185.6612961255,1.0000000001207578,1242693016.2579834,ok,296137004.3682956,0.8537570173174434
16,1244563450.8868184,0.00021722492761746843,135562374.5854554,7338818.40230663,1.0000000000233706,1116339894.7008445,ok,271124749.1708002,0.8976937646488956
17,1115500000.0537367,0.00023755301472153356,122487040.76848349,7088094.999842271,1.0000000006031484,1000101054.2197679,ok,244974081.53696698,0.9437966252717223
18,1000032800.3519921,0.00026049614581818926,111221897.46224141,6991236.269122636,1.0000000079198221,895802138.3887544,ok,222443794.9243888,0.9738298445646061
19,895164550.3383019,0.0002925761070963286,97976244.51465149,7142835.510477583,1.0000000065155301,804331140.7888395,ok,195952489.02930295,0.9943792838578012
20,804754618.8027799,0.0003321426782809001,85275452.86893186,7284633.963316439,1.0000000149820758,726763798.8378391,ok,170550905.73786336,1.0098267417525806
21,727062850.7976149,0.0003678374090601058,76510157.39292566,12238637.663433166,1.0000000049677864,662791330.8096342,ok,153020314.78585088,1.020903921471212
22,662976638.3661153,0.0003435787716231721,85303738.10896322,197935243.97051388,0.21548395424129416,653785844.9664738,ok,170607476.21792644,1.0416039865937448
23,653869139.7597661,0.0003534528357312464,75828979.53399722,99678198.0929265,0.380368932147552,639447645.7741736,ok,151657959.06799442,1.0310912972021384
24,640116872.8031831,0.0002521127641044477,97041511.72900556,363628812.2020856,0.13343484959474972,633642513.0421796,ok,194083023.45801097,1.0322533828940461
25,633854822.9941949,0.0003411799870544978,21862272.362910073,1398306.4191718493,1.0000198556575557,613390478.4898014,ok,43724544.725798376,1.0293091704840123
26,613531153.8822095,0.0003746907482485642,19928058.151948877,1051497.713828687,1.0000186346001245,594654261.2815384,ok,39856116.30387607,1.0220583518400215
27,594836614.8318838,0.0004161128419119369,17885520.108874787,696713.3247637221,1.0000005848611297,577647798.4021885,ok,35771040.21772964,1.0189481809581373
28,577408689.8645854,0.0004577567051954571,16339203.51271537,500338.0688887979,1.000161395762856,561567348.860465,ok,32678407.0254125,1.0160198782325924
29,561509780.5125856,0.0004904861226445167,14516518.984972198,461849.3245309949,1.0000008983070559,547455098.6416184,ok,29033037.96994406,1.0128194500590082
30,547411599.957887,0.0005306851030730323,13085953.44745191,441837.4766144077,1.000001965041078,534767460.0090727,ok,26171906.894890096,1.0154501564047305
31,534681227.21455705,0.0005806554915957381,11943460.1499756,345039.5729511381,1.0000216963276565,523082562.48065346,ok,23886920.29993888,1.0216177093345689
32,523124359.11550695,0.0006255848789806919,10563137.194611624,232914.07944039762,1.0000001472091176,512794134.5139198,ok,21126274.389222935,1.024555550085779
33,512905917.8096379,0.0006516141490759627,10232533.144559756,266894.1912570935,1.0000002338012388,502940276.58875674,ok,20465066.289119504,1.0278350393592968
