round,beta_used,J_used,beta_best,J_best
0,6.458478121563971e-05,749270809.9534354,0.000292352867647942,1214234392.8388984
50,0.0010969639915841987,7840062.5207026005,0.008199315869001833,15026567.837681694
100,0.0020575438713459093,366509.32057899237,0.023202284955584494,448663.52601605584
150,0.003119728685729675,165971.11606681347,0.009539598628194272,177060.06727877946
200,0.009620971354999657,377154.81733852625,0.01748322698450067,459873.0703029007
250,0.007929002885969167,20481.705594599247,0.07222541628365499,27401.37766969883
300,0.012428799301245274,27595.187930703163,0.00710043343700965,69731.7250320847
350,0.0330153279834133,16707.235820114613,0.013932173286278568,55450.85752892958
400,0.011516737558031393,16482.064862668514,0.006071333541232557,21781.668540752962
450,0.010170058620257865,4719.5414553284645,0.004087213106403235,8878.298051652837
500,0.00820909495777159,14391.716403365135,0.0028967302697929247,15363.642266948127
550,0.022005593549365744,48733.37370747328,0.020387679589342178,53253.168458180655
600,0.027920141106853195,50729.070648252964,0.026672022484085806,50444.01563077173
650,0.022520136480421088,7808.6661539673805,0.011687463474423168,11860.90314446728
700,0.024626910192321314,17834.92393386364,0.030717590934480694,16226.704513971556
750,0.01350528216876674,5402.029028058052,0.008105617878116676,6423.2688433458625
800,0.03351621638570686,22051.454275727272,0.02680287810805026,22760.22009123417
850,0.04024283858191577,27961.252076148987,0.027011397739167668,22696.925114312606
