round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,4572640879.0,4.3966695496019695e-05,866579613.0005512,131284016.6246721,1.0000488944698538,3837315750.112,ok
1,3841206337.0,6.14512912878178e-05,611483270.0003839,114675801.64980946,1.0000165019140332,3344392562.77674,ok
2,3346201539.0,9.377688857235821e-05,391868396.50024223,98182326.09235881,1.0000163677240501,3052512268.6670823,ok
3,3051266825.0,0.00016840633818726366,211390661.00012606,52115129.8967374,1.0000551534404356,2891985383.7903357,ok
4,2892030535.0,0.00020512699984965525,165240504.5000659,38290810.73512419,1.0000000000008051,2765080841.234987,ok
5,2765130010.0,0.00017427906137386435,199099712.0,26468649.6380901,1.0000020537768681,2592498647.4532194,ok
6,2592125835.0,0.00018358748551716052,179454978.5,21705097.033059724,1.0000000001192462,2434375953.5168366,ok
7,2434395368.0,0.00016980474554370006,196945454.50000003,12822363.839053545,1.0000000022080475,2250272276.9608135,ok
8,2251407080.0,0.0001720332664542683,187569152.50000173,8461064.18612345,1.0000000005495955,2072298991.592335,ok
9,2071757994.0,0.00016992111420128007,187705493.00000006,6706640.208635774,1.0000000000078098,1890759141.2072744,ok
10,1890700756.0,0.0001683413584814673,186483843.5,6362189.397377481,1.000000000315189,1710579101.8426106,ok
11,1710314366.0,0.0001692037395628353,182781416.50000003,6895540.876734872,1.0000000001436369,1534428490.3524616,ok
12,1534708406.0,0.00017264673983034855,176543768.0000037,7170249.804999776,1.0000000009665901,1365334887.6482122,ok
13,1363792737.0,0.00017909972578666934,168091521.5,7171862.998215315,1.0000000021478814,1202873078.1679833,ok
14,1203156042.0,0.0001895264944111104,157800683.00000003,7204574.964804105,1.0000000104420461,1052559932.4675031,ok
15,1053108786.0,0.00020099858880352447,148645235.5,7322933.888933808,1.000000000286579,911786484.3505324,ok
16,911992177.0,0.00021448153990530797,136897556.0,7302739.622120013,1.0000000018641597,782397360.394148,ok
17,781516865.0,0.0002363783023333171,122572253.00004931,7151562.185909091,1.000000000422103,666096174.1401591,ok
18,666376656.0,0.0002620303689781019,111091493.0,7059055.275679272,1.0000000014088526,562344218.1390581,ok
19,562721416.0,0.00029023983298801686,97410498.50004092,7016578.271324012,1.0000000005216276,472327495.7277912,ok
20,472125534.0,0.00033132928270924935,86291188.00000027,7128955.998062556,1.00000000161182,392963301.8819576,ok
21,393384315.0,0.0003764794500334562,73326759.00000094,7198770.4099364355,1.0000000035584697,327256326.2002377,ok
22,327165615.0,0.0004226772002331348,66418137.00000184,12604188.675274335,1.0000000123681194,273351666.1655853,ok
23,272437736.0,0.00032533170864918495,85786144.5,382179043.97454405,0.11223292570917885,267623721.0087273,ok
24,267190567.0,0.0004916703741408656,56832888.00002724,14336024.751578916,1.0000000189547757,224693703.2177693,ok
25,223911167.0,0.00039722744442396946,78078746.50000194,212433816.11829802,0.18377193407033235,216736825.87295374,ok
26,215935359.0,0.0005171896513071311,53002919.5,41571676.92275258,0.6374883505239476,199040987.1374957,ok
27,199276604.0,0.00020155351821326447,97459152.50000001,424879604.2713114,0.11469031640992401,193687793.48136598,ok
28,193999866.0,0.0006131085308236591,45607634.50000127,19072933.03755743,1.0000001905296065,167465163.11586905,ok
29,167510426.0,0.0003519130569222688,76978334.5,132209020.69240142,0.29112360902777734,156305320.72170627,ok
30,156194101.0,0.0006862462782147383,40888551.00000001,31293718.210308906,0.6533028565862514,142837797.4150137,ok
31,143159277.0,0.00039196498924732757,77312436.00000004,227824233.43099093,0.16967561974353873,136600259.25390866,ok
32,136504074.0,0.0007593598529839354,36084564.0,20521718.81184762,0.879179866239265,120641662.9245889,ok
33,120696340.0,0.0004171599700178189,81102851.0,234381268.988198,0.17301478772197415,113680343.72529405,ok
34,113516520.0,0.000864446291511501,30075570.500000004,19442549.517696988,0.773447187896439,101885587.28619695,ok
35,102522417.0,0.0003232878898045618,94300839.50000003,679286357.9931222,0.0694116983142438,99249626.28892304,ok
36,99529160.0,0.0007295815005994864,45348773.5,228727313.03699276,0.0991328339800538,97281383.78271273,ok
37,96984882.0,0.0009680723481738104,27152942.500000004,18589953.12436911,0.7303122906858189,87069818.18198234,ok
38,86710578.0,0.00034692678284097353,82928383.50004312,654984613.7203974,0.06330559662233833,84085662.60280184,ok
39,84055343.0,0.0008068239275323856,38878262.0,169026813.90731785,0.11500619665385767,81819722.47743389,ok
40,81873510.0,0.0009999303181772077,25023830.5,49973747.87841827,0.2503697597474656,78740904.78487684,ok
41,78742119.0,0.0005910757850712797,39833913.00000001,533514393.6732327,0.03733161979543284,77998586.75245982,ok
42,78046694.0,0.0012248693567601951,20965627.5,8011308.4952058885,1.000001397803909,65092368.08586213,ok
43,64585593.0,0.00042715124303497357,63143500.5,519156363.8354713,0.06081356687367041,62665602.25485281,ok
44,62797078.0,0.0009525170273687589,31298359.000000387,115118581.51048478,0.1359396484448073,60669734.04032029,ok
45,60855264.0,0.001372552958981061,19510281.5,34952993.529572725,0.27909314095648075,58132671.127609946,ok
46,58051344.0,0.0007489215353733797,30529512.000000007,255795152.22523442,0.05967570482555112,57140408.926709935,ok
47,57116700.0,0.0013954229457292732,17466180.500000004,25986975.88169547,0.3360564264867524,54181888.898398705,ok
48,53746153.0,0.0005274604936589194,40574288.5,575738407.5666713,0.03523673943474185,53031300.18418773,ok
49,53021850.0,0.0015184811779773934,17110375.5,39201427.27469036,0.21823663944816343,51154794.57559191,ok
50,50772138.0,0.0011702495120476703,19721345.0000076,79184503.0221278,0.12452780687716475,49544210.07924055,ok
51,49717305.0,0.0013717246508551477,18817786.5,167799593.9639064,0.05607220510929155,49189727.60783457,ok
52,49173523.0,0.0016581567636984632,14333943.000007715,9026148.890672445,0.7940231860578051,43482781.45518145,ok
53,43695436.0,0.00026896796443673696,79918926.0,665287334.192567,0.060063465733189145,41295332.163382865,ok
54,41304002.0,0.0010692824878873299,29233513.500000022,380564374.50262856,0.03840810577475389,40742600.06066215,ok
55,40715006.0,0.0017305632983122448,15245957.500007344,30641173.709160637,0.24878220470140375,38818544.540182136,ok
56,38922486.0,0.0013528139435723002,21873201.500011567,143733758.7065644,0.07608929765994009,38090327.73014488,ok
57,38132076.0,0.0015760023917066265,14950831.000000002,46536695.925547734,0.16063485710200892,36931263.69937936,ok
58,36739244.0,0.0013610150682380718,18456800.000007603,322310555.709145,0.028632012934542442,36475016.331834756,ok
59,36481288.0,0.0021037686581760638,11496861.50000006,8175899.081861046,0.7030946312379798,32439597.201631665,ok
60,32482164.0,0.000886426101562798,32706551.00000009,132847703.01052038,0.12309791685826142,30469109.85214075,ok
61,30400593.0,0.0017620301422791728,14011222.500000007,37609775.54326097,0.18627101993580736,29095650.64718873,ok
62,29094087.0,0.001840188562917377,14033939.500000004,123345204.6515454,0.05688887354658976,28694899.495212004,ok
