round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,4521953594.0,4.424827831438386e-05,861634773.0000001,134630319.5113054,1.0000161874527793,3794939551.5182614,ok
1,3792605426.0,6.27052794229972e-05,596194361.0,114090958.4106809,1.0000327763232353,3310489961.438422,ok
2,3307113088.0,9.808397399993058e-05,374415581.50023544,95867954.33369401,1.0000314247739075,3028559720.2607136,ok
3,3029828437.0,0.00017516161902868344,203101509.0001206,46517104.465151586,1.0000008487363095,2873243939.0469503,ok
4,2874026280.0,0.0002043578649863284,164838506.000001,38117178.784515895,1.0000000000000162,2747304952.7845135,ok
5,2750352316.0,0.0001723128999461866,201242041.5,24534358.91642122,1.0000000000107059,2573644633.414792,ok
6,2572275671.0,0.00018558539654691642,176268766.00007093,16845298.734524775,1.000000000012951,2412852203.7326074,ok
7,2413564926.0,0.00017151949320434167,194474439.5,9794744.745646467,1.0000000140347418,2228885228.791181,ok
8,2228834720.0,0.0001718931912717856,186723236.00000003,8006175.230155807,1.0000000000062939,2050117659.2290814,ok
9,2049564523.0,0.00016840061780621756,189959992.00000152,6395396.675698728,1.0000000001539007,1865999927.6484306,ok
10,1865213410.0,0.00016856631606162095,185088150.5000729,6432601.110750494,1.000000000744589,1686557860.4824424,ok
11,1685254813.0,0.00017011265875860194,181157385.0000001,6470764.336283823,1.0000000009654353,1510568192.1738822,ok
12,1510008198.0,0.00017490898765863854,173692554.5,6708713.74546196,1.0000000009491714,1343024357.0933332,ok
13,1341605965.0,0.00018174090158909896,166191989.50006735,7224723.14315671,1.0000000005904839,1182638698.5534878,ok
14,1183261588.0,0.0001908406496897881,156958623.00000003,7067793.742662991,1.0000000301264376,1033370754.4399137,ok
15,1033872506.0,0.00020475590679780277,144703583.0,7192641.421929719,1.000000008848911,896361563.2687546,ok
16,895163649.0,0.00021704964345943507,133724443.5000542,7419737.651627289,1.000000002503055,768858942.8539976,ok
17,768709745.0,0.0002389213894616643,121045574.50005084,7227075.775437208,1.0000000011397876,654891246.1538948,ok
18,655449599.0,0.0002650178321980795,109245465.5,7195728.729737911,1.000000000089918,553399862.2212089,ok
19,553534872.0,0.0002968116081621385,94964115.00000004,6928750.660649567,1.0000000007042646,465499507.603529,ok
20,466013910.0,0.00033748011907704215,84819304.5000002,7445673.278962412,1.000000116831154,388640270.6091983,ok
21,388193585.0,0.0003808460498363475,72542720.50000033,9143085.223581685,1.0000000049091569,324793949.45722747,ok
22,324485908.0,0.0004144705405846485,68096888.50000013,19205525.917706385,1.0000000774799065,275594543.1176505,ok
23,275957992.0,0.00029588631394684593,103045172.0,375044409.6086726,0.1373772936750597,268879958.5721795,ok
24,268905870.0,0.00036248690510499423,20538631.5,1792374.7639646549,1.0000039718698615,250159545.9253801,ok
25,249698216.0,0.0004097616576023816,18596076.0,1020253.9952454774,1.0000291840132038,232121910.83819905,ok
26,232372887.0,0.0004657297016277187,16457436.500000002,630122.5620407731,1.0000240154154794,216545208.09553918,ok
27,216616493.0,0.0004948708761856798,15306479.000000047,529408.1485041603,1.000010561378853,201839271.6735996,ok
28,201656972.0,0.0005320798716370689,14129403.0000003,436630.0365616517,1.0000371382103457,187963706.72773916,ok
29,187787104.0,0.0005861350090047835,12585524.000007013,395199.1333092233,1.000014546179929,175596607.55936465,ok
30,175651465.0,0.0006297365990626501,11830380.500000127,380066.14320399164,1.0000004962452271,164201145.14964613,ok
31,164240448.0,0.0006627563581284307,10812863.500000006,355341.27347778337,1.0000012564672185,153782913.08041915,ok
