round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,4572640879.0,4.3966695496019695e-05,866579613.0005512,131284016.6246721,1.0000488944698538,3837315750.112,ok,1733159226.0,0.017080842237167992
1,3841206337.0,6.14512912878178e-05,611483270.0003839,114675801.64980948,1.0000165019140332,3344392562.77674,ok,1222966540.0,0.03522599795868997
2,3346201539.0,9.377688857235821e-05,391868396.50024223,98182326.09235883,1.0000163677240501,3052512268.6670823,ok,783736793.0,0.05761237990609436
3,3051266825.0,0.00016840633818726366,211390661.00012606,52115129.8967374,1.0000551534404356,2891985383.7903357,ok,422781322.0,0.089192633048782
4,2892030535.0,0.00020512699984965525,165240504.5000659,38290810.73512419,1.0000000000008051,2765080841.234987,ok,330481009.0,0.14165361557371714
5,2765130010.0,0.00017427906137386435,199099712.0,26468649.638090104,1.0000020537768681,2592498647.4532194,ok,398199424.0,0.20397091597345973
6,2592125835.0,0.00018358748551716052,179454978.5,21705097.03305972,1.0000000001192462,2434375953.5168366,ok,358909957.0,0.2759745734388179
7,2434395368.0,0.00016980474554370006,196945454.50000003,12822363.839053545,1.0000000022080475,2250272276.9608135,ok,393890909.0,0.3383055563576054
8,2251407080.0,0.0001720332664542683,187569152.50000173,8461064.18612345,1.0000000005495955,2072298991.592335,ok,375138305.0,0.4134635547189891
9,2071757994.0,0.00016992111420128007,187705493.00000006,6706640.208635774,1.0000000000078098,1890759141.2072744,ok,375410986.0,0.491112607190336
10,1890700756.0,0.0001683413584814673,186483843.5,6362189.397377481,1.000000000315189,1710579101.8426106,ok,372967687.0,0.5657593207214209
11,1710314366.0,0.0001692037395628353,182781416.50000003,6895540.876734872,1.0000000001436369,1534428490.3524616,ok,365562833.0,0.63085059419137
12,1534708406.0,0.00017264673983034855,176543768.0000037,7170249.804999776,1.0000000009665901,1365334887.6482122,ok,353087536.0,0.6978950657953389
13,1363792737.0,0.00017909972578666934,168091521.5,7171862.998215315,1.0000000021478814,1202873078.1679833,ok,336183043.0,0.7573078966338778
14,1203156042.0,0.0001895264944111104,157800683.00000003,7204574.964804105,1.0000000104420461,1052559932.4675031,ok,315601366.0,0.815514131223261
15,1053108786.0,0.00020099858880352447,148645235.5,7322933.888933806,1.000000000286579,911786484.3505324,ok,297290471.0,0.8650151163946362
16,911992177.0,0.00021448153990530797,136897556.0,7302739.622120013,1.0000000018641597,782397360.394148,ok,273795112.0,0.9087864174313358
17,781516865.0,0.0002363783023333171,122572253.00004931,7151562.185909091,1.000000000422103,666096174.1401591,ok,245144506.0,0.9464778130487215
18,666376656.0,0.0002620303689781019,111091493.0,7059055.275679272,1.0000000014088526,562344218.1390581,ok,222182986.0,0.9734057920791153
