seed,rule,rule_type,n_rounds,rho,W,eps_L1,final_loss,normalized_l1,squared_loss,accept_count,accept_rate
42,A0,A0,500,0.01,20,,457.5,0.009466666666666667,457.5,358,0.716
42,A1,A1,500,0.01,20,0.02,457.5,0.009466666666666667,457.5,358,0.716
43,A0,A0,500,0.01,20,,372.5,0.0098,372.5,356,0.712
43,A1,A1,500,0.01,20,0.02,372.5,0.0098,372.5,356,0.712
44,A0,A0,500,0.01,20,,467.5,0.010333333333333333,467.5,357,0.714
44,A1,A1,500,0.01,20,0.02,467.5,0.010333333333333333,467.5,357,0.714
45,A0,A0,500,0.01,20,,517.5,0.011066666666666666,517.5,359,0.718
45,A1,A1,500,0.01,20,0.02,517.5,0.011066666666666666,517.5,359,0.718
46,A0,A0,500,0.01,20,,824.0,0.015133333333333334,824.0,342,0.684
46,A1,A1,500,0.01,20,0.02,824.0,0.015133333333333334,824.0,342,0.684
